X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
977.07,1516.1,204.0049852,-29.9498991,22.239,22.448,0.005,1.82,202.2,0.04,0.046,0.0,0,21.552,21.544,0.007,1.51,154.8,0.05,0.038,0.0,0
2011.91,3805.96,203.9651588,-29.9446677,22.169,22.162,0.005,1.5,211.8,0.05,0.045,0.0,0,22.192,22.186,0.01,1.28,113.7,0.043,0.036,0.0,0
1158.96,589.31,204.0158713,-29.9590171,22.366,22.567,0.008,1.22,137.5,0.008,0.003,0.0,0,21.7,21.692,0.01,0.96,104.8,0.006,0.053,0.0,0
3040.97,1699.18,203.9845316,-29.9725769,22.495,22.741,0.006,1.38,178.8,0.019,0.061,0.0,0,21.706,21.698,0.008,1.82,144.1,0.013,0.025,0.002,0
2895.54,2422.55,203.976066,-29.9654179,22.659,22.976,0.007,1.44,165.8,0.042,0.033,0.0,0,21.658,21.65,0.007,1.06,149.6,0.03,0.015,0.0,0
1496.0,1915.48,203.995089,-29.952933,22.353,22.325,0.006,1.54,187.9,0.023,0.037,0.003,0,22.506,22.501,0.012,1.19,91.0,0.04,0.039,0.004,0
2933.25,1804.86,203.9840486,-29.970523,22.774,23.121,0.007,1.34,156.8,0.031,0.061,0.0,0,21.676,21.667,0.007,1.27,149.1,0.021,0.032,0.0,0
2891.82,3554.04,203.9608754,-29.9568268,22.588,22.748,0.006,1.28,171.2,0.037,0.008,0.0,0,22.028,22.021,0.01,0.99,106.6,0.026,0.033,0.0,2
4074.21,2427.69,203.9657184,-29.9791178,22.833,23.175,0.007,1.26,151.4,0.018,0.021,0.012,0,21.752,21.743,0.008,1.18,142.6,0.03,0.049,0.015,0
1217.63,2938.83,203.9837475,-29.9419594,22.825,23.051,0.008,1.2,141.9,0.017,0.05,0.007,2,22.09,22.082,0.009,1.08,119.3,0.013,0.026,0.007,0
966.81,3093.65,203.983851,-29.9378662,22.936,23.204,0.008,1.45,141.9,0.031,0.042,0.0,0,22.084,22.076,0.009,1.3,117.9,0.039,0.045,0.0,0
1301.91,3376.75,203.9771219,-29.9396341,22.961,23.237,0.008,2.02,134.0,0.016,0.051,0.0,0,22.084,22.076,0.009,1.08,115.3,0.025,0.032,0.0,0
2855.64,1809.59,203.9846616,-29.9695826,22.747,22.789,0.007,1.39,158.9,0.017,0.035,0.002,0,22.539,22.532,0.012,1.34,93.8,0.022,0.058,0.014,0
1192.49,3171.85,203.980832,-29.9399063,22.771,22.769,0.007,1.89,145.5,0.018,0.025,0.0,2,22.762,22.756,0.013,1.03,83.5,0.025,0.01,0.0,0
2044.77,548.35,204.0087028,-29.9696539,23.295,23.708,0.009,1.14,114.6,0.008,0.011,0.0,0,21.96,21.95,0.009,1.16,123.4,0.003,0.008,0.0,0
1788.06,2944.81,203.9786947,-29.9485636,23.333,23.757,0.009,1.12,114.4,0.011,0.034,0.001,0,21.953,21.944,0.009,0.98,125.5,0.015,0.025,0.0,2
2897.16,2662.28,203.9728263,-29.9636259,23.126,23.415,0.008,1.05,130.8,0.022,0.003,0.0,0,22.214,22.206,0.01,1.03,112.5,0.018,0.016,0.001,0
3857.08,3079.28,203.9588448,-29.9716643,23.981,24.574,0.013,1.17,82.8,-0.003,0.059,0.002,0,21.74,21.728,0.007,1.06,145.0,0.005,0.019,0.001,0
1189.63,2873.16,203.984875,-29.9421289,22.929,22.947,0.008,1.02,143.3,0.01,0.007,0.004,0,22.816,22.81,0.014,1.14,79.9,0.006,0.019,0.004,0
1977.65,2365.13,203.9848409,-29.955152,23.207,23.499,0.009,1.21,125.6,-0.007,0.041,0.004,0,22.284,22.275,0.01,1.0,108.0,0.009,0.034,0.007,0
2739.63,1884.94,203.9846591,-29.9676612,22.933,22.957,0.011,1.42,102.1,0.039,0.032,0.0,0,22.794,22.788,0.014,1.12,80.0,0.038,0.037,0.0,0
3377.47,3055.72,203.9633445,-29.9662522,23.159,23.375,0.009,1.17,125.4,0.003,0.04,0.008,0,22.454,22.446,0.011,1.01,98.3,0.005,0.014,0.001,0
665.12,1509.57,204.0077914,-29.9463115,23.763,24.284,0.012,1.43,92.2,0.058,0.059,0.001,0,21.946,21.936,0.008,1.44,129.0,0.046,0.028,0.001,0
1507.62,2259.87,203.9903541,-29.9504677,23.985,24.558,0.013,1.22,80.6,0.001,0.08,0.0,0,21.88,21.868,0.008,1.06,130.8,-0.009,0.032,0.0,0
2386.86,1319.55,203.9953426,-29.9678187,23.769,24.28,0.012,1.15,93.2,0.023,0.037,0.0,0,22.004,21.994,0.009,1.19,126.1,0.016,0.019,0.0,0
2502.1,2194.38,203.9825663,-29.9625551,23.022,23.021,0.011,1.23,97.5,0.026,0.069,0.0,0,23.006,23.0,0.021,1.06,51.3,0.019,0.041,0.005,0
1678.63,532.32,204.0121096,-29.9655062,23.39,23.729,0.009,1.28,115.6,-0.005,0.041,0.0,0,22.316,22.307,0.01,1.13,107.8,0.003,0.044,0.0,0
1380.78,2932.96,203.9824044,-29.9439055,23.126,23.135,0.008,0.88,131.1,0.003,0.008,0.0,0,23.06,23.053,0.015,1.08,70.2,0.03,0.075,0.002,0
925.28,520.8,204.0188294,-29.9568098,24.044,24.606,0.014,1.14,77.0,0.01,0.034,0.001,0,22.006,21.995,0.009,1.33,118.0,0.002,-0.011,0.001,0
1510.23,2734.93,203.9839401,-29.9469102,23.411,23.719,0.01,1.18,110.2,-0.016,0.006,0.0,0,22.437,22.429,0.011,1.02,97.9,0.026,0.067,0.001,0
143.24,638.75,204.0240558,-29.9468012,24.283,24.871,0.016,1.15,70.0,0.008,0.07,0.001,0,22.072,22.06,0.009,1.07,122.1,0.003,0.043,0.0,0
3493.2,4000.07,203.9496306,-29.9604659,25.331,26.015,0.029,1.04,37.2,0.025,0.041,0.002,0,22.059,22.046,0.009,1.05,122.8,0.003,0.029,0.016,0
651.66,1811.58,204.0038453,-29.9438742,23.48,23.756,0.01,1.41,107.2,0.046,0.083,0.0,0,22.605,22.597,0.012,1.32,90.0,0.038,0.057,0.0,0
