X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3921.61,1776.99,35.6822951,42.3995675,22.66,23.27,0.003,1.51,416.6,0.021,0.031,0.0,0,20.288,20.276,0.001,1.51,836.3,0.031,0.032,0.0,2
3904.71,2040.62,35.6868966,42.4009506,22.623,23.203,0.003,1.43,427.5,0.036,0.013,0.0,0,20.467,20.455,0.001,1.8,802.5,0.042,0.019,0.0,0
3476.14,686.19,35.6674799,42.3874003,23.25,23.887,0.004,1.4,286.1,0.002,0.018,0.001,0,20.646,20.633,0.002,1.2,709.5,0.01,0.016,0.001,0
2145.34,362.39,35.6728992,42.3688054,22.638,23.109,0.003,1.42,426.1,0.004,0.015,0.0,0,21.067,21.057,0.002,1.25,598.7,0.005,0.033,0.001,0
3008.1,262.57,35.6641446,42.3789866,22.346,22.408,0.002,1.26,475.0,0.001,0.031,0.003,0,22.062,22.055,0.003,1.3,336.4,0.014,0.054,0.006,0
3465.23,928.24,35.6716659,42.3887283,23.167,23.666,0.003,1.45,312.8,0.02,0.038,0.005,0,21.466,21.456,0.002,1.23,477.2,0.03,0.03,0.007,0
3917.21,797.92,35.6657577,42.3935899,22.749,23.065,0.003,1.27,372.9,0.0,0.051,0.003,0,21.751,21.742,0.003,1.33,379.3,0.023,0.101,0.006,0
1550.13,154.91,35.6742619,42.3601096,23.433,23.983,0.004,1.59,277.4,0.002,0.018,0.002,2,21.462,21.451,0.002,1.81,491.6,-0.009,0.042,0.002,0
3451.68,237.79,35.6600916,42.3843814,22.469,22.491,0.002,2.52,441.5,-0.025,0.06,0.039,0,22.339,22.333,0.004,1.93,278.2,-0.009,0.1,0.089,0
3966.82,1966.78,35.6851379,42.4012805,23.078,23.502,0.003,1.32,336.5,0.024,0.034,0.0,0,21.703,21.694,0.003,1.54,431.3,0.038,0.028,0.001,0
3614.02,728.66,35.6670692,42.3893809,24.031,24.655,0.006,1.3,182.9,-0.012,0.212,0.001,0,21.546,21.534,0.002,1.33,440.1,-0.002,0.049,0.001,0
