X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
297.99,2712.94,11.9538282,-25.3481262,23.132,23.566,0.012,1.19,91.5,0.008,0.074,0.0,0,21.714,21.705,0.009,1.39,121.4,0.017,0.057,0.0,0
2157.57,1821.87,11.9434085,-25.3751739,23.284,23.435,0.013,1.25,84.0,0.017,0.044,0.0,0,22.746,22.739,0.016,1.08,69.9,0.017,0.01,0.0,0
1975.64,1712.18,11.9465755,-25.3744543,23.632,24.007,0.016,1.1,69.1,0.021,0.064,0.0,0,22.436,22.426,0.013,1.37,83.1,0.014,0.077,0.0,0
3980.45,753.42,11.9353169,-25.4035952,23.316,23.424,0.014,1.28,78.3,-0.013,0.045,0.0,2,22.883,22.876,0.019,1.16,56.4,0.03,0.011,0.001,2
2743.07,254.22,11.9541683,-25.3962854,24.532,25.112,0.033,0.97,32.7,-0.003,0.135,0.003,2,22.384,22.373,0.012,1.16,87.3,0.006,0.046,0.0,0
3749.21,1794.51,11.9264651,-25.3911271,23.731,24.1,0.017,1.13,65.2,0.027,0.028,0.002,0,22.56,22.551,0.014,1.13,77.9,0.002,0.011,0.004,0
1940.14,1429.62,11.9500422,-25.3768696,23.947,24.396,0.019,1.08,58.2,0.0,0.09,0.001,0,22.469,22.459,0.013,1.16,81.6,0.025,0.033,0.005,0
1889.95,3744.39,11.9253398,-25.3537209,24.126,24.571,0.021,1.12,52.7,0.016,0.026,0.001,0,22.665,22.656,0.015,1.07,73.2,0.012,0.02,0.001,0
417.97,2287.79,11.957166,-25.3534691,24.412,24.943,0.025,1.26,43.3,0.042,0.099,0.021,0,22.549,22.538,0.014,1.29,76.9,0.026,0.015,0.0,0
1673.03,2243.11,11.9440618,-25.3662762,25.133,25.774,0.04,1.06,27.0,0.022,0.162,0.014,0,22.492,22.479,0.014,1.02,77.6,0.009,0.037,0.032,0
226.52,3055.18,11.9508696,-25.3440728,23.965,24.335,0.019,1.09,57.2,0.012,0.052,0.016,0,22.791,22.781,0.016,1.0,67.1,0.012,0.036,0.02,0
2340.44,1735.02,11.9423751,-25.3778261,24.836,25.435,0.033,1.01,33.4,0.033,0.06,0.032,0,22.552,22.54,0.014,1.07,78.0,0.0,-0.002,0.021,0
1775.8,2168.47,11.9437629,-25.3680195,24.902,25.513,0.034,1.03,32.0,-0.006,0.226,0.039,0,22.528,22.516,0.014,0.96,77.3,0.009,0.063,0.041,0
3487.22,1724.75,11.9300644,-25.3892281,24.352,24.85,0.024,0.96,45.6,-0.002,0.012,0.007,0,22.655,22.645,0.015,0.98,72.7,0.012,0.02,0.015,0
74.6,206.92,11.9835838,-25.3704443,24.567,25.1,0.027,1.1,40.2,0.021,-0.02,0.026,0,22.695,22.684,0.015,1.15,72.3,0.017,0.035,0.033,0
208.21,72.68,11.9836018,-25.3730748,24.704,25.263,0.029,1.03,37.0,-0.02,-0.009,0.059,0,22.682,22.671,0.015,1.2,72.6,-0.002,0.051,0.049,0
2844.21,3328.28,11.9195411,-25.3671969,23.566,23.532,0.015,0.95,72.5,0.007,0.049,0.013,0,23.769,23.764,0.029,1.08,37.4,0.031,0.098,0.023,0
4054.48,3888.24,11.9003233,-25.3736404,24.121,24.511,0.02,1.03,53.2,-0.021,0.104,0.013,0,22.872,22.863,0.017,1.09,64.7,0.004,0.121,0.029,0
3703.49,3148.2,11.9121961,-25.3774265,24.015,24.336,0.019,1.02,56.1,0.01,-0.006,0.007,0,23.002,22.993,0.018,1.05,60.2,-0.006,0.053,0.009,0
1658.49,2372.33,11.9428099,-25.3648683,24.974,25.572,0.036,0.93,30.3,0.018,0.181,0.031,0,22.689,22.678,0.015,0.98,71.0,-0.013,0.026,0.026,0
1504.28,4088.34,11.9257663,-25.346554,24.099,24.447,0.02,1.04,53.5,0.037,0.071,0.009,0,22.998,22.989,0.018,1.05,60.6,0.002,0.046,0.013,0
979.41,2983.07,11.9435033,-25.3521987,25.42,26.066,0.049,1.06,22.0,0.043,0.304,0.007,0,22.728,22.715,0.016,1.12,68.6,-0.004,-0.037,0.006,0
1203.53,1423.69,11.9580846,-25.3696674,24.276,24.701,0.023,1.19,47.3,0.037,-0.007,0.002,0,22.896,22.886,0.017,0.99,64.1,0.018,0.017,0.001,0
3925.06,3748.66,11.9032476,-25.3737317,24.595,25.112,0.028,0.93,39.2,0.013,0.097,0.023,0,22.806,22.796,0.017,1.18,65.5,-0.007,-0.052,0.014,0
985.88,605.34,11.9693692,-25.3755295,24.231,24.625,0.022,1.08,48.6,0.013,0.061,0.0,0,22.971,22.961,0.018,0.98,61.8,0.007,0.042,0.001,0
1809.84,1547.29,11.9501699,-25.3744339,24.676,25.212,0.029,1.09,37.3,-0.009,0.125,0.004,0,22.785,22.774,0.016,1.0,68.4,-0.013,-0.025,0.003,0
1567.31,370.95,11.9656297,-25.3835541,24.68,25.211,0.028,1.11,38.2,0.011,0.016,0.012,0,22.813,22.802,0.016,1.1,68.2,0.003,0.058,0.024,0
914.62,2836.86,11.9457995,-25.352991,26.005,26.686,0.073,1.12,14.8,0.072,0.687,0.008,0,22.797,22.783,0.016,1.11,67.3,-0.002,-0.045,0.003,0
1278.28,1719.92,11.9540437,-25.3675054,24.67,25.196,0.029,1.3,36.9,0.005,0.101,0.003,0,22.835,22.825,0.017,1.77,64.9,0.007,0.02,0.005,0
634.09,2168.47,11.9561272,-25.3567668,23.714,23.729,0.017,1.07,65.6,-0.008,0.085,0.002,0,25.442,25.44,0.095,1.17,11.4,-0.036,0.411,0.011,0
2948.51,3384.02,11.9178034,-25.3676791,24.507,24.993,0.026,1.04,42.1,-0.004,0.041,0.003,0,22.869,22.859,0.017,1.1,65.1,0.014,0.014,0.006,0
