X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
473.73,4041.01,204.237818,-29.614395,22.596,22.954,0.008,1.16,135.1,0.001,0.018,0.001,0,21.46,21.451,0.007,0.96,152.0,0.013,-0.01,0.0,0
606.73,3882.2,204.23453,-29.6147209,22.681,23.066,0.009,1.18,121.5,0.016,0.043,0.0,0,21.452,21.443,0.008,1.15,144.6,0.014,0.023,0.0,0
877.59,2861.65,204.2201595,-29.6224011,22.646,22.971,0.009,1.05,126.7,0.017,-0.009,0.0,0,21.617,21.609,0.008,1.39,136.3,0.038,0.056,0.001,0
1945.56,524.04,204.1820541,-29.6357024,22.883,23.281,0.009,1.15,116.8,0.012,0.013,0.0,0,21.606,21.596,0.008,1.0,141.8,0.019,0.01,0.0,0
4041.0,275.76,204.1550673,-29.6181367,22.954,23.38,0.01,1.33,112.9,-0.016,0.009,0.0,0,21.57,21.56,0.007,0.97,145.1,0.004,0.013,0.0,0
4094.18,1654.37,204.1696357,-29.6037586,22.985,23.427,0.01,1.0,110.0,-0.004,-0.009,0.0,0,21.538,21.528,0.007,1.36,145.9,0.019,0.022,0.0,0
1553.07,1118.85,204.1931488,-29.6334748,23.343,23.863,0.012,1.32,88.5,0.002,0.074,0.001,0,21.539,21.528,0.008,1.16,138.7,0.025,0.008,0.0,0
340.64,1521.31,204.2116186,-29.64103,23.069,23.479,0.01,0.96,105.1,-0.011,0.016,0.0,0,21.746,21.737,0.008,1.11,130.6,0.019,0.066,0.0,0
1668.97,3076.72,204.2133653,-29.6126625,23.205,23.653,0.011,1.44,97.9,-0.025,0.008,0.0,0,21.732,21.722,0.008,0.99,131.8,0.016,0.023,0.0,0
3939.92,1860.44,204.1736899,-29.6031623,23.078,23.455,0.01,1.13,104.2,0.01,-0.009,0.005,0,21.876,21.867,0.009,1.24,121.6,0.043,0.038,0.01,0
4119.71,2387.87,204.1774172,-29.5961344,23.929,24.53,0.017,0.93,64.8,0.001,0.015,0.001,0,21.626,21.614,0.008,1.19,135.0,0.004,0.032,0.071,0
2505.34,1731.15,204.1888687,-29.6181975,23.195,23.585,0.011,1.14,98.5,-0.003,0.087,0.0,0,21.946,21.936,0.009,1.07,118.2,0.024,0.0,0.0,0
4175.03,3989.92,204.194414,-29.579485,24.039,24.627,0.019,0.96,56.0,-0.003,0.021,0.049,2,21.834,21.822,0.009,1.27,122.5,-0.021,0.039,0.08,0
2848.67,3063.55,204.1995653,-29.6015034,23.692,24.169,0.027,0.9,40.1,0.033,0.092,0.007,2,22.089,22.079,0.01,1.01,104.1,0.023,-0.001,0.0,0
2036.49,1572.01,204.1925432,-29.6242871,23.657,24.141,0.015,1.16,74.3,-0.009,0.085,0.0,0,22.027,22.016,0.01,1.09,111.1,0.01,0.033,0.0,0
1409.85,238.41,204.1851096,-29.643705,23.642,24.098,0.014,1.17,77.5,0.013,0.014,0.002,0,22.135,22.125,0.01,1.11,105.1,-0.012,0.024,0.039,0
75.55,342.4,204.2017044,-29.6554315,24.237,24.829,0.02,1.15,53.3,0.031,0.08,0.0,0,22.001,21.989,0.01,1.42,112.4,0.01,0.047,0.0,0
1199.76,297.92,204.1881974,-29.6451175,24.46,25.073,0.022,1.04,48.5,0.029,0.021,0.0,0,22.065,22.053,0.01,1.18,112.1,0.003,0.045,0.0,0
3824.91,890.54,204.1643394,-29.6140213,23.617,23.983,0.017,1.03,65.0,0.013,0.01,0.0,2,22.453,22.444,0.012,1.12,90.6,0.019,0.044,0.0,0
2807.77,747.16,204.1745315,-29.6252027,24.68,25.288,0.026,1.07,42.4,-0.019,0.025,0.0,0,22.319,22.307,0.011,1.08,96.2,0.013,0.021,0.0,0
4029.04,1546.23,204.1691986,-29.6054702,23.418,23.51,0.012,0.98,87.0,-0.008,0.046,0.0,0,23.021,23.014,0.017,1.15,65.7,-0.007,0.083,0.003,0
2484.18,3929.0,204.2133109,-29.5962825,24.073,24.551,0.018,1.18,60.7,0.03,0.023,0.0,0,22.472,22.462,0.012,1.07,89.7,0.022,0.022,0.0,0
4119.83,3610.85,204.19088,-29.5838278,24.571,25.157,0.024,0.94,44.8,0.009,-0.039,0.0,0,22.374,22.363,0.012,0.95,93.0,0.013,0.042,0.008,0
2594.61,844.03,204.1780656,-29.6262689,24.877,25.503,0.029,1.02,37.6,0.005,0.009,0.001,0,22.375,22.363,0.011,1.17,94.9,0.006,0.03,0.0,0
1946.5,3898.05,204.2191939,-29.60174,26.39,27.083,0.086,1.08,12.6,0.081,0.116,0.002,0,22.537,22.522,0.013,1.35,84.3,-0.024,0.027,0.001,0
3320.25,880.21,204.1700657,-29.6189573,25.023,25.658,0.032,1.1,33.8,0.018,0.048,0.016,0,22.434,22.422,0.012,0.96,90.2,0.012,0.017,0.025,0
3002.62,2865.55,204.1956037,-29.6020222,24.59,25.164,0.025,1.07,43.9,0.013,0.101,0.0,0,22.475,22.463,0.012,1.03,89.1,0.008,0.04,0.0,0
1755.91,439.69,204.1833204,-29.6383668,24.329,24.839,0.021,1.18,52.8,0.0,0.014,0.002,0,22.57,22.56,0.013,1.18,85.3,0.007,0.028,0.0,0
