X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3626.44,3628.7,359.4880582,-32.45582,22.838,23.078,0.01,1.33,113.1,-0.005,0.053,0.0,0,22.067,22.059,0.01,1.17,103.8,-0.021,0.055,0.0,0
1088.97,2324.67,359.4775548,-32.4171973,23.193,23.558,0.012,1.36,94.0,-0.01,0.127,0.0,0,22.032,22.023,0.01,1.33,105.8,-0.01,0.052,0.0,0
2509.66,2924.27,359.4850767,-32.4376534,23.043,23.282,0.011,1.24,102.5,0.02,0.034,0.0,0,22.275,22.267,0.012,1.06,93.5,-0.001,0.048,0.0,0
2249.71,618.09,359.5113332,-32.4142454,24.102,24.672,0.019,1.15,56.6,-0.007,0.069,0.004,0,22.011,22.0,0.01,1.0,107.2,-0.007,0.038,0.005,0
3888.22,3908.66,359.4873119,-32.4611064,23.309,23.567,0.012,1.09,87.8,0.002,0.024,0.057,0,22.486,22.478,0.013,1.09,82.6,-0.005,0.029,0.047,0
1652.91,303.35,359.508962,-32.4050901,23.639,24.022,0.015,1.33,74.7,-0.029,0.086,0.0,0,22.417,22.408,0.012,1.16,87.1,0.0,0.044,0.0,0
3044.0,1505.94,359.5085905,-32.4306295,24.214,24.619,0.021,1.13,52.4,0.01,0.081,0.001,0,22.91,22.901,0.017,1.11,65.1,0.005,0.045,0.001,0
2686.34,2651.47,359.4903835,-32.4370877,24.429,24.769,0.024,1.05,46.2,0.005,0.155,0.003,0,23.353,23.344,0.022,1.02,49.8,0.021,0.101,0.004,0
3919.79,1812.81,359.5140216,-32.4426768,24.781,25.25,0.03,1.09,36.2,0.004,0.172,0.005,0,23.214,23.204,0.02,1.05,53.5,0.03,0.025,0.006,0
654.18,2850.8,359.4663248,-32.4172883,25.355,25.914,0.046,1.05,23.8,0.041,0.146,0.004,0,23.335,23.324,0.023,1.06,48.1,-0.002,0.038,0.0,0
1462.77,687.08,359.5021191,-32.4065069,25.081,25.519,0.035,1.03,30.8,-0.009,0.177,0.036,0,23.649,23.64,0.026,1.0,41.9,0.018,0.029,0.035,0
2594.46,2081.39,359.4965819,-32.4310082,25.311,25.797,0.043,1.06,25.0,0.046,0.356,0.009,0,23.667,23.656,0.027,1.01,40.4,0.051,-0.035,0.017,0
2455.92,2782.8,359.4862869,-32.4358163,25.138,25.528,0.037,1.02,29.1,0.005,0.043,0.0,0,23.887,23.878,0.031,1.08,35.5,0.002,0.125,0.0,0
2905.42,2500.78,359.4946036,-32.4380652,25.098,25.458,0.037,1.01,29.1,0.029,0.189,0.022,0,23.955,23.945,0.032,0.99,33.5,0.017,0.096,0.058,0
919.32,1973.66,359.4801721,-32.4122535,25.31,25.735,0.049,1.12,22.2,0.022,0.144,0.008,2,23.926,23.916,0.033,1.24,33.4,0.031,0.147,0.012,0
2400.46,3248.24,359.4798415,-32.4393937,25.18,25.548,0.038,1.0,28.7,0.007,0.068,0.0,0,24.007,23.998,0.032,0.99,33.4,0.003,-0.025,0.002,0
633.22,313.94,359.4980155,-32.3943569,25.213,25.588,0.038,0.95,28.3,0.003,0.157,0.002,0,24.02,24.011,0.033,1.09,33.4,-0.002,0.106,0.003,0
2836.13,1999.92,359.5001705,-32.4328452,25.248,25.58,0.041,1.02,26.6,0.009,0.075,0.0,0,24.196,24.187,0.038,1.02,28.7,0.021,0.08,0.002,0
2710.08,3321.04,359.4822094,-32.4433338,25.297,25.612,0.041,1.01,26.5,0.008,0.056,0.001,0,24.302,24.293,0.039,1.01,27.9,-0.049,0.042,0.0,0
3651.7,2457.0,359.5030716,-32.4455982,25.362,25.715,0.045,1.12,24.3,0.021,0.194,0.001,0,24.243,24.234,0.039,0.95,27.9,-0.022,0.225,0.024,0
3920.66,2533.33,359.5049648,-32.4491377,25.332,25.644,0.043,1.07,25.2,-0.036,-0.009,0.044,0,24.346,24.337,0.042,0.97,25.7,0.028,0.115,0.039,0
1654.62,3007.19,359.474965,-32.4293144,25.404,25.74,0.045,0.91,24.3,-0.051,-0.007,0.023,0,24.342,24.334,0.041,1.16,26.3,0.01,0.188,0.002,0
3534.63,3058.28,359.4942631,-32.4497384,25.513,25.893,0.048,0.95,22.6,0.005,0.225,0.011,0,24.299,24.29,0.039,0.94,27.5,-0.01,0.022,0.011,0
307.63,2374.31,359.4686461,-32.4093427,25.475,25.841,0.049,1.06,22.2,0.024,0.168,0.0,0,24.308,24.299,0.042,1.14,25.7,0.018,0.066,0.0,0
488.17,3709.82,359.453755,-32.4232125,25.508,25.859,0.047,1.08,23.0,0.034,0.059,0.001,0,24.396,24.387,0.042,1.16,25.6,0.033,0.132,0.001,0
1177.4,2747.21,359.4731759,-32.4219186,25.375,25.623,0.045,1.03,24.2,-0.011,0.225,0.013,0,24.581,24.573,0.052,1.11,21.1,0.047,0.051,0.048,0
2410.93,2369.46,359.4910107,-32.4316382,25.46,25.757,0.047,0.97,23.0,0.017,0.084,0.019,0,24.523,24.515,0.048,1.04,22.8,0.015,0.053,0.068,0
1352.24,1079.82,359.496007,-32.4088494,25.476,25.759,0.047,1.01,23.0,0.0,0.118,0.0,0,24.583,24.574,0.049,1.16,22.3,0.039,0.269,0.0,0
3575.54,3414.05,359.4902198,-32.4533579,25.68,26.066,0.054,0.96,20.1,-0.018,0.097,0.004,0,24.448,24.438,0.045,1.01,24.1,0.018,0.107,0.02,0
3998.43,1734.51,359.5158412,-32.4428106,25.572,25.911,0.052,1.06,21.0,0.059,0.162,0.003,0,24.501,24.492,0.048,1.07,22.4,-0.027,0.154,0.008,0
2216.16,1694.11,359.4974418,-32.4235235,25.59,25.932,0.052,1.11,20.7,0.007,0.194,0.001,0,24.506,24.498,0.047,1.09,23.0,0.054,0.091,0.0,0
2337.74,1904.82,359.4960804,-32.4267011,25.474,25.712,0.105,1.03,10.4,0.057,0.06,0.034,2,24.711,24.703,0.061,1.04,17.9,0.062,0.143,0.023,0
3043.27,2663.42,359.4940194,-32.4409852,25.553,25.821,0.052,1.16,20.8,0.009,0.364,0.006,2,24.698,24.69,0.052,1.07,20.8,-0.038,0.015,0.002,0
3962.12,238.74,359.5342721,-32.4290293,25.805,26.198,0.06,1.11,18.1,-0.003,-0.112,0.034,0,24.542,24.532,0.047,1.03,23.1,0.009,0.296,0.031,0
2955.78,2444.49,359.4958461,-32.4380961,25.947,26.391,0.066,1.04,16.4,0.017,0.167,0.002,0,24.49,24.48,0.046,1.0,23.7,-0.009,-0.008,0.008,0
3232.97,733.69,359.5203099,-32.4257207,25.731,26.064,0.054,1.05,20.0,-0.042,-0.14,0.0,0,24.68,24.671,0.051,0.88,21.5,0.005,0.188,0.001,0
3644.21,1123.84,359.5197653,-32.433581,25.611,25.869,0.051,1.07,21.4,-0.036,0.015,0.001,0,24.789,24.781,0.056,1.08,19.2,0.017,0.268,0.002,0
1532.02,3364.96,359.4691627,-32.4312144,25.831,26.224,0.074,1.18,14.7,0.028,0.248,0.0,2,24.571,24.562,0.067,1.04,16.1,-0.004,0.142,0.0,2
2927.82,3017.1,359.488344,-32.4429254,25.667,25.923,0.053,0.98,20.4,-0.019,0.148,0.0,0,24.85,24.841,0.059,1.15,18.5,0.05,0.229,0.0,0
519.71,2866.9,359.4646966,-32.416004,26.956,27.559,0.149,0.95,7.3,0.105,1.208,0.02,0,24.635,24.623,0.051,1.09,21.2,-0.003,0.212,0.004,0
2687.35,2454.29,359.4928753,-32.4353332,25.826,26.122,0.062,0.89,17.6,-0.002,-0.026,0.008,0,24.89,24.882,0.061,0.97,17.8,-0.02,0.093,0.023,0
3776.57,3264.08,359.49424,-32.4541502,25.793,26.039,0.059,1.08,18.4,0.071,0.36,0.001,0,25.002,24.994,0.067,1.06,16.3,0.003,0.118,0.004,2
2506.73,3551.39,359.4771535,-32.4432359,26.045,26.43,0.069,1.05,15.8,0.036,0.229,0.001,0,24.813,24.804,0.055,1.03,19.8,-0.066,0.25,0.0,0
3474.79,1446.78,359.5139051,-32.434674,25.928,26.264,0.065,0.94,16.6,0.023,0.062,0.009,0,24.867,24.859,0.06,1.04,18.0,0.033,0.242,0.006,0
4039.98,3112.31,359.4989449,-32.4555887,25.841,26.105,0.062,1.01,17.4,0.007,0.11,0.0,0,24.999,24.991,0.067,0.99,16.3,0.019,0.196,0.0,0
2099.85,906.12,359.5061208,-32.4152332,25.857,26.114,0.061,1.04,17.8,-0.038,0.295,0.002,0,25.04,25.032,0.066,1.02,16.4,0.056,0.066,0.0,0
2361.86,3800.67,359.4724796,-32.4439285,25.879,26.104,0.064,0.96,16.9,0.071,-0.134,0.008,0,25.148,25.14,0.076,1.01,14.3,0.034,0.37,0.007,0
1930.0,1475.1,359.4971619,-32.4185239,25.982,26.309,0.068,1.05,15.9,0.015,0.023,0.001,0,24.949,24.94,0.064,0.96,17.0,-0.011,0.256,0.002,0
4011.19,3915.13,359.4885351,-32.4624703,26.039,26.37,0.071,0.98,15.2,-0.009,0.26,0.022,0,24.994,24.985,0.064,1.07,17.0,-0.019,-0.069,0.029,0
2624.96,763.01,359.5134909,-32.4195276,26.038,26.376,0.069,1.02,15.8,0.027,0.078,0.0,0,24.969,24.96,0.062,0.9,17.4,-0.014,0.017,0.001,0
835.1,3972.78,359.4541236,-32.4292511,26.069,26.376,0.07,1.09,15.5,0.117,0.343,0.001,0,25.097,25.088,0.069,1.08,15.7,0.068,0.393,0.003,0
4008.98,2083.07,359.5115676,-32.4460438,25.976,26.292,0.071,0.98,15.2,0.058,0.367,0.051,0,24.979,24.97,0.067,1.14,16.2,-0.008,0.178,0.066,0
867.37,1849.9,359.4811782,-32.4105939,26.048,26.402,0.074,1.1,14.8,0.033,0.248,0.001,0,24.929,24.92,0.066,1.08,16.5,0.115,-0.013,0.001,0
3170.49,3236.28,359.48816,-32.4474648,25.988,26.272,0.066,0.88,16.4,0.002,0.005,0.0,0,25.086,25.078,0.068,1.0,15.9,-0.026,0.102,0.0,0
2864.3,1842.4,359.5024512,-32.431734,26.064,26.41,0.073,0.96,14.8,0.006,0.314,0.0,0,24.969,24.96,0.07,0.95,15.5,-0.019,0.077,0.0,2
1920.74,1401.4,359.4979909,-32.4177657,26.021,26.326,0.07,1.15,15.4,0.036,0.278,0.0,0,25.057,25.049,0.069,1.08,15.7,-0.007,0.168,0.0,0
3141.12,1923.96,359.5043617,-32.4354038,26.554,26.838,0.11,0.99,9.9,0.015,0.808,0.001,0,25.654,25.646,0.11,1.0,9.9,0.037,-0.108,0.005,0
2172.76,4038.52,359.4674805,-32.4440487,26.164,26.54,0.093,1.03,11.6,0.033,0.568,0.007,2,24.965,24.955,0.1,0.98,10.8,0.046,-0.276,0.044,2
3566.59,3948.35,359.4834,-32.4580459,26.041,26.289,0.07,0.91,15.6,-0.01,0.208,0.002,0,25.246,25.238,0.078,1.11,13.9,-0.011,0.05,0.007,0
1290.21,1849.02,359.4856729,-32.4150769,25.891,26.036,0.065,1.02,16.7,-0.003,0.277,0.022,0,25.369,25.361,0.091,1.0,11.9,-0.032,0.353,0.036,0
3842.98,3049.89,359.4976402,-32.4529378,26.071,26.366,0.073,1.11,14.8,-0.018,0.272,0.007,0,25.136,25.128,0.073,1.04,14.9,-0.035,0.216,0.011,0
