X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
2233.78,4062.61,0.8786652,15.9974786,23.778,24.012,0.006,1.22,184.5,0.021,0.041,0.0,2,23.021,23.013,0.006,1.1,180.5,0.02,0.029,0.0,0
929.13,2743.04,0.8797473,16.0232324,26.288,26.977,0.031,1.18,35.0,-0.016,0.128,0.0,2,22.828,22.813,0.006,1.27,194.3,0.004,0.028,0.0,0
1676.43,3962.62,0.8742277,16.0040866,24.097,24.399,0.007,1.1,148.1,0.026,0.039,0.021,2,23.142,23.134,0.007,1.09,166.7,0.024,0.064,0.037,0
1217.05,1556.0,0.8951297,16.0315552,24.098,24.304,0.01,1.35,114.0,0.029,0.068,0.0,2,23.42,23.412,0.01,1.1,107.0,0.003,0.042,0.001,2
1260.67,3208.98,0.8780922,16.0154503,24.503,24.891,0.009,1.08,125.6,0.015,0.038,0.0,0,23.26,23.25,0.008,0.98,141.0,0.023,0.013,0.0,2
763.77,3496.35,0.8701572,16.0177738,25.278,25.82,0.02,1.07,55.6,0.02,0.028,0.0,2,23.349,23.338,0.007,1.04,148.9,0.023,0.007,0.001,0
2371.88,1355.7,0.90863,16.0217228,24.889,25.319,0.011,1.23,95.3,0.016,0.045,0.0,0,23.49,23.48,0.008,1.06,135.8,0.018,0.014,0.0,0
203.61,298.12,0.898433,16.0537667,25.678,26.279,0.019,1.13,56.4,0.0,0.03,0.0,0,23.378,23.366,0.008,1.26,143.6,-0.015,0.0,0.0,0
1558.95,612.02,0.9084765,16.0370259,25.555,26.096,0.027,1.02,39.6,-0.012,0.155,0.006,2,23.636,23.625,0.009,0.95,125.9,-0.002,-0.003,0.005,0
1921.04,1841.98,0.8990471,16.0216952,26.865,27.535,0.047,1.08,23.2,0.059,0.137,0.002,0,23.859,23.845,0.01,1.19,107.8,-0.004,0.033,0.0,0
3242.58,562.95,0.9255901,16.0203883,25.807,26.288,0.02,1.0,53.3,0.007,0.076,0.0,0,24.187,24.176,0.012,1.06,90.8,-0.006,0.074,0.0,0
2944.91,2314.85,0.9041421,16.0068152,25.505,25.875,0.016,1.07,65.9,0.007,0.086,0.001,0,24.329,24.32,0.014,1.05,77.4,0.013,0.099,0.002,2
2964.11,2757.75,0.8996512,16.0024241,25.424,25.694,0.016,1.05,66.8,0.011,0.019,0.014,2,24.565,24.556,0.02,0.96,53.0,-0.015,0.075,0.039,2
3925.9,1495.57,0.9224683,16.004612,25.65,26.055,0.019,1.09,57.5,0.006,0.076,0.003,0,24.344,24.334,0.015,1.07,73.8,0.006,-0.004,0.009,2
1542.28,1253.72,0.9015303,16.0311157,25.993,26.417,0.024,1.06,45.5,0.007,0.099,0.001,0,24.618,24.608,0.016,1.11,67.5,0.013,-0.042,0.002,0
317.56,216.2,0.9004223,16.0533854,26.167,26.59,0.027,1.06,40.9,0.026,0.122,0.054,0,24.793,24.783,0.018,1.12,59.4,-0.009,0.083,0.036,0
3092.48,2364.81,0.9050686,16.004843,25.907,25.946,0.021,0.94,50.9,-0.02,0.012,0.061,0,25.711,25.704,0.034,0.98,32.2,-0.022,0.129,0.054,0
2083.58,2067.79,0.898263,16.0179048,26.019,26.237,0.025,1.15,43.2,-0.022,0.347,0.074,0,25.31,25.302,0.026,1.06,41.1,0.023,0.522,0.063,0
3017.05,460.0,0.9244554,16.0236546,25.968,26.076,0.023,1.15,47.7,0.002,-0.031,0.001,0,25.536,25.529,0.029,1.04,37.1,0.013,0.128,0.003,0
203.13,1005.47,0.8909522,16.0470697,26.017,26.029,0.025,1.07,44.0,0.005,0.252,0.012,0,25.937,25.931,0.043,1.0,25.4,0.047,0.07,0.027,2
