X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
720.63,3447.43,35.8208091,42.2713282,23.139,23.276,0.005,1.35,203.0,0.023,0.013,0.0,2,22.637,22.629,0.006,1.06,171.6,0.014,-0.002,0.0,0
2826.36,2026.71,35.8664818,42.2814664,23.987,24.516,0.008,1.39,133.6,0.024,0.062,0.0,0,22.134,22.123,0.005,1.29,222.9,0.022,0.028,0.0,0
2356.69,1863.63,35.8589756,42.2855709,23.961,24.469,0.008,1.19,135.9,0.011,0.017,0.0,0,22.217,22.206,0.005,1.17,206.9,0.0,0.028,0.0,2
157.73,384.75,35.8278138,42.3142679,23.91,24.372,0.008,1.39,134.3,-0.012,0.054,0.0,2,22.374,22.364,0.005,1.22,197.5,0.011,0.019,0.0,0
1686.43,3390.25,35.8384361,42.2680977,24.069,24.546,0.01,1.07,110.8,0.003,0.012,0.0,2,22.47,22.46,0.006,1.02,176.7,0.02,0.002,0.0,2
1715.76,1450.91,35.8497934,42.293693,23.988,24.429,0.009,1.23,126.6,0.017,0.063,0.014,2,22.544,22.535,0.006,1.37,178.7,0.014,0.027,0.016,0
831.51,1041.24,35.8362292,42.3027792,24.415,24.983,0.01,1.19,105.9,0.021,0.035,0.0,0,22.338,22.327,0.007,1.23,163.8,0.017,0.017,0.0,0
3477.65,3835.23,35.8680438,42.254793,24.022,24.456,0.008,1.29,132.3,0.006,0.054,0.0,0,22.604,22.594,0.007,1.24,160.0,0.026,0.004,0.0,2
2375.47,1400.32,35.8619019,42.2916365,24.46,25.003,0.012,1.17,92.4,0.008,-0.003,0.0,2,22.532,22.521,0.006,1.18,179.6,0.023,0.015,0.0,0
3327.41,1699.0,35.8772938,42.2837389,24.5,25.031,0.011,1.17,95.3,0.017,0.007,0.008,0,22.636,22.625,0.007,1.12,165.1,0.017,0.021,0.001,0
2219.36,1405.33,35.8590756,42.2922156,25.065,25.676,0.015,1.06,71.5,0.016,0.058,0.0,0,22.683,22.671,0.006,1.2,167.2,0.012,0.022,0.0,0
1964.81,3810.71,35.841077,42.261372,24.474,24.941,0.016,1.05,66.2,0.025,0.035,0.0,2,22.92,22.91,0.008,1.14,140.8,0.005,0.011,0.0,2
2900.88,247.47,35.8777674,42.3047492,24.708,25.257,0.012,1.33,89.5,-0.027,0.024,0.041,0,22.748,22.736,0.008,1.22,143.0,-0.005,0.063,0.0,2
458.09,1159.24,35.8288748,42.3027568,24.438,24.852,0.017,1.25,64.7,0.019,0.052,0.001,2,23.099,23.089,0.008,1.21,131.4,0.029,-0.003,0.0,0
3051.4,2404.11,35.8684051,42.2755316,24.605,25.089,0.012,1.17,89.4,0.002,0.08,0.0,2,22.972,22.962,0.008,1.21,133.6,0.014,0.014,0.001,0
2672.56,320.64,35.8732648,42.3047236,25.29,25.911,0.017,1.02,63.0,0.005,0.036,0.0,0,22.835,22.822,0.007,1.16,147.2,0.006,0.026,0.0,2
2206.18,827.36,35.8620702,42.2999338,24.721,25.172,0.015,1.16,72.5,0.017,0.022,0.0,0,23.232,23.222,0.011,1.28,96.4,-0.007,0.016,0.0,0
1730.16,864.51,35.8533285,42.3014092,24.217,24.345,0.01,1.29,107.7,-0.012,-0.005,0.0,2,23.736,23.729,0.012,1.31,92.7,-0.016,0.04,0.0,0
1853.4,1985.4,35.8492744,42.2860367,25.42,26.02,0.024,0.98,45.8,0.016,0.165,0.0,0,23.125,23.113,0.01,1.25,105.7,-0.009,0.014,0.0,0
1734.48,3697.04,35.8375845,42.263831,25.291,25.837,0.022,1.05,49.8,0.007,0.038,0.001,2,23.347,23.336,0.009,1.05,114.5,0.012,0.041,0.0,0
1207.69,969.11,35.8433768,42.3021815,25.441,26.032,0.019,1.01,56.8,0.02,0.024,0.0,0,23.213,23.201,0.009,1.13,125.7,0.018,-0.003,0.001,0
2584.67,482.14,35.8707859,42.3029458,25.248,25.775,0.022,1.11,50.4,-0.013,0.032,0.001,2,23.403,23.393,0.01,1.05,114.2,0.001,0.021,0.0,0
2098.43,3640.56,35.8444211,42.2630762,25.061,25.56,0.016,1.33,68.5,0.018,0.101,0.005,2,23.359,23.348,0.009,1.18,115.1,0.032,0.01,0.01,0
2464.49,3739.67,35.8504265,42.2602491,25.084,25.553,0.015,1.15,71.9,0.012,0.045,0.0,0,23.519,23.509,0.012,1.11,91.7,0.013,0.02,0.001,2
3069.73,2894.45,35.8659929,42.2689542,25.329,25.846,0.018,0.99,60.6,0.003,0.053,0.007,2,23.535,23.525,0.011,0.98,98.9,0.022,-0.006,0.008,2
298.08,3959.77,35.8103785,42.2662778,25.574,26.109,0.022,1.1,48.6,-0.002,0.15,0.0,2,23.692,23.681,0.011,1.13,95.1,0.014,0.003,0.0,0
3648.92,2533.74,35.8783873,42.271341,25.867,26.455,0.026,1.04,42.4,0.006,0.057,0.0,0,23.661,23.649,0.011,1.04,96.4,-0.001,0.011,0.002,0
3457.82,2252.53,35.8765354,42.2758601,25.614,26.143,0.023,0.99,48.2,0.0,0.084,0.001,2,23.76,23.75,0.012,1.15,87.1,-0.009,0.038,0.007,2
4013.59,2318.89,35.886123,42.2726805,25.556,26.061,0.021,1.0,50.9,0.017,0.062,0.027,0,23.824,23.813,0.014,0.97,78.9,0.013,0.06,0.026,2
3561.94,3686.2,35.8703866,42.2564204,25.839,26.397,0.024,0.96,45.0,-0.017,0.124,0.002,0,23.823,23.812,0.012,1.02,88.7,0.015,0.001,0.001,0
2077.2,2966.5,35.847805,42.2721022,25.614,26.118,0.021,1.1,51.3,-0.005,0.032,0.0,0,23.886,23.875,0.013,1.13,85.0,0.002,0.057,0.001,0
561.27,72.08,35.8367972,42.3167474,25.349,25.761,0.02,1.22,55.2,0.027,0.135,0.034,2,24.015,24.006,0.014,1.11,74.9,0.01,0.071,0.012,0
1081.41,2419.89,35.8330104,42.2834648,26.637,27.286,0.044,1.11,24.6,-0.019,0.146,0.0,0,23.9,23.887,0.013,1.09,80.8,-0.006,0.045,0.001,0
1519.04,155.54,35.853506,42.3116828,25.463,25.897,0.019,1.14,56.5,0.018,0.126,0.001,0,24.043,24.033,0.018,1.08,58.8,0.017,-0.002,0.002,2
3046.55,2470.1,35.8679493,42.2746766,25.745,26.259,0.023,1.18,46.3,0.002,0.035,0.001,0,23.972,23.961,0.014,1.0,80.1,-0.002,0.009,0.0,0
772.36,2342.86,35.8279007,42.2857627,25.177,25.392,0.016,1.15,67.0,0.01,-0.001,0.0,0,24.473,24.465,0.019,0.99,58.5,0.017,0.079,0.0,0
3553.83,3910.82,35.8689861,42.2534756,25.586,26.005,0.021,1.08,52.9,-0.002,0.066,0.0,0,24.228,24.218,0.016,0.96,69.9,0.025,0.053,0.001,0
3184.25,1895.84,35.8736274,42.2817212,25.649,26.099,0.023,1.04,48.2,0.03,0.027,0.027,0,24.167,24.157,0.015,1.02,70.8,0.024,0.019,0.017,0
2091.3,994.29,35.8590775,42.2981953,25.953,26.468,0.029,1.11,38.0,0.012,0.089,0.0,2,24.17,24.159,0.015,1.01,72.0,0.032,0.026,0.001,0
