X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3377.02,1529.04,204.2540841,-30.1037415,23.422,23.752,0.011,1.11,99.4,0.001,0.022,0.0,2,22.378,22.369,0.011,1.1,100.8,0.007,0.034,0.001,0
3649.23,859.65,204.2480182,-30.0951876,23.432,23.741,0.011,0.93,99.2,0.007,0.025,0.06,0,22.458,22.45,0.011,1.12,95.2,0.004,0.038,0.029,0
2054.69,722.76,204.2310778,-30.1118968,23.558,23.941,0.011,1.34,101.0,-0.005,0.028,0.001,0,22.335,22.326,0.01,1.08,103.7,-0.011,0.02,0.001,0
3468.34,956.05,204.2475439,-30.0980044,23.229,23.241,0.009,1.11,120.7,-0.011,0.022,0.005,0,23.149,23.143,0.017,1.07,64.7,0.009,-0.001,0.028,0
3789.64,4174.22,204.29222,-30.1208882,23.611,23.941,0.013,1.27,86.3,-0.003,0.043,0.093,2,22.567,22.558,0.012,1.47,89.8,-0.005,0.056,0.054,0
3507.35,716.14,204.2448131,-30.0955935,23.745,24.156,0.013,1.43,86.1,-0.016,0.011,0.0,0,22.419,22.409,0.012,1.17,91.3,-0.009,0.072,0.0,2
3677.28,833.93,204.2479525,-30.0946621,23.28,23.251,0.009,1.23,116.5,-0.002,0.039,0.023,0,23.441,23.435,0.02,0.94,54.9,0.0,0.058,0.012,0
1284.34,2247.32,204.2434625,-30.1330621,23.397,23.629,0.01,1.56,109.0,-0.02,0.061,0.0,0,22.649,22.641,0.013,1.06,85.7,-0.006,0.032,0.0,0
299.72,1710.68,204.2271506,-30.1396582,24.176,24.704,0.017,1.45,63.1,0.02,0.125,0.001,2,22.327,22.316,0.011,1.35,102.3,0.032,0.093,0.001,0
1793.45,3224.64,204.2609482,-30.1354098,23.96,24.436,0.014,1.08,79.3,-0.003,0.031,0.031,0,22.364,22.354,0.011,1.02,100.9,0.005,-0.003,0.022,0
2918.83,1296.93,204.246724,-30.1069568,23.664,23.986,0.011,0.93,94.5,0.017,0.028,0.002,0,22.647,22.638,0.012,0.95,87.1,0.012,0.011,0.0,0
1139.79,1365.02,204.2306762,-30.1274168,23.559,23.784,0.011,1.28,99.8,0.028,0.045,0.0,0,22.829,22.821,0.014,1.1,77.9,0.011,0.062,0.002,0
3011.62,891.78,204.2423681,-30.1025843,23.35,23.352,0.01,1.26,103.6,0.004,-0.001,0.002,2,23.319,23.313,0.018,1.04,59.3,0.0,0.027,0.008,0
2999.4,1231.85,204.246649,-30.1055199,23.728,24.057,0.012,1.14,91.2,0.006,0.026,0.0,0,22.687,22.679,0.013,1.0,85.2,0.006,0.048,0.001,0
3755.11,493.41,204.2442904,-30.090989,23.406,23.452,0.012,1.32,87.1,-0.024,0.002,0.0,2,23.18,23.173,0.017,1.1,64.5,0.007,0.084,0.0,0
1938.61,1576.55,204.2410135,-30.1202228,23.582,23.77,0.011,1.32,98.4,0.022,0.048,0.0,0,22.949,22.941,0.015,1.13,72.6,0.019,0.08,0.0,0
980.84,332.09,204.2158066,-30.1206911,24.507,25.098,0.019,1.22,58.5,-0.011,0.004,0.022,0,22.279,22.268,0.011,1.23,99.4,-0.02,0.02,0.024,2
540.35,1636.58,204.2284827,-30.1363569,23.457,23.498,0.012,1.8,92.3,0.061,0.062,0.104,2,23.251,23.245,0.018,1.2,59.4,0.061,0.114,0.033,0
3426.45,281.04,204.2384184,-30.0929174,23.806,24.14,0.012,1.08,87.3,0.006,0.029,0.027,0,22.749,22.74,0.013,1.09,82.2,0.016,0.087,0.016,0
1034.2,803.49,204.2224099,-30.1239752,23.976,24.402,0.014,1.06,79.1,-0.004,0.028,0.006,0,22.589,22.579,0.012,1.02,89.5,0.006,0.014,0.002,0
1455.61,1750.55,204.2386676,-30.1270576,23.451,23.423,0.01,1.45,105.5,0.004,0.092,0.013,0,23.599,23.594,0.022,1.09,48.7,0.015,0.124,0.013,0
2307.81,1348.1,204.2415723,-30.1142128,23.48,23.445,0.011,1.04,100.3,-0.005,0.071,0.0,0,23.695,23.689,0.025,1.0,42.7,0.015,0.001,0.0,2
3226.17,659.78,204.2414096,-30.0982749,23.538,23.553,0.011,1.2,99.8,-0.02,0.055,0.0,0,23.442,23.436,0.02,1.08,54.4,0.012,0.112,0.001,0
3360.67,1503.57,204.2535992,-30.1037148,23.628,23.752,0.012,1.08,91.8,0.01,0.011,0.008,2,23.155,23.148,0.017,1.03,62.7,0.027,0.033,0.035,0
2076.27,4131.24,204.2753671,-30.1397052,24.897,25.522,0.024,0.95,45.5,0.004,0.112,0.014,0,22.402,22.39,0.011,1.11,99.6,0.011,0.061,0.013,0
3234.35,2699.0,204.267857,-30.1149647,23.928,24.307,0.013,0.99,80.9,0.001,0.008,0.019,0,22.719,22.71,0.013,0.87,82.9,0.0,0.026,0.013,0
1761.16,107.44,204.2203288,-30.1101144,23.865,24.192,0.018,1.1,59.1,0.004,0.043,0.034,0,22.832,22.824,0.02,1.01,53.8,-0.004,0.046,0.04,0
2036.88,1022.43,204.2347832,-30.1145627,23.533,23.502,0.011,1.09,101.9,0.005,0.017,0.002,0,23.708,23.702,0.023,0.94,46.7,0.015,0.044,0.004,0
3173.85,1060.5,204.246093,-30.1021582,23.885,24.208,0.014,1.21,76.2,0.018,0.014,0.016,2,22.865,22.856,0.014,0.93,77.3,-0.007,0.03,0.003,0
289.55,3255.32,204.2470336,-30.1524859,23.794,24.067,0.013,1.14,86.8,0.006,0.045,0.025,0,22.93,22.921,0.015,1.09,72.8,0.028,0.154,0.022,0
