X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3128.77,3624.38,204.2677606,-30.0896235,22.431,22.67,0.006,1.23,182.3,0.012,0.008,0.0,0,21.661,21.653,0.007,1.56,145.6,0.004,0.03,0.0,0
2826.41,662.14,204.3152808,-30.0940037,22.469,22.668,0.008,1.08,140.4,0.014,0.018,0.0,2,21.809,21.801,0.009,1.11,125.7,0.028,0.021,0.0,2
3597.47,1441.36,204.3005071,-30.1022501,23.513,24.065,0.02,1.2,54.4,-0.019,0.083,0.0,2,21.534,21.522,0.007,1.08,156.9,0.021,-0.005,0.0,0
952.95,3375.27,204.2788312,-30.0607724,22.519,22.572,0.006,1.27,175.0,0.035,0.026,0.001,0,22.268,22.262,0.011,1.18,97.6,0.021,0.036,0.005,2
2986.93,3274.72,204.2737189,-30.088699,22.936,23.312,0.008,1.27,132.2,0.035,0.046,0.0,0,21.736,21.727,0.008,0.95,138.0,0.013,0.007,0.0,0
570.26,1132.38,204.3153059,-30.0619981,22.802,23.034,0.008,1.43,138.8,0.037,0.027,0.0,2,22.051,22.043,0.01,1.33,112.7,0.055,0.035,0.0,0
2171.12,2303.7,204.291652,-30.0803971,22.918,23.239,0.008,1.26,141.9,0.003,0.015,0.0,0,21.905,21.896,0.008,1.05,129.4,0.01,0.009,0.0,0
2704.3,3655.32,204.2686717,-30.083767,23.415,23.91,0.012,1.12,88.1,0.03,0.087,0.0,2,21.731,21.72,0.009,1.11,121.3,0.008,0.012,0.0,2
3605.61,936.43,204.308412,-30.1038069,23.286,23.742,0.009,1.23,114.8,0.022,0.04,0.0,0,21.776,21.766,0.008,0.96,137.2,0.025,0.007,0.0,0
3764.63,2401.98,204.284868,-30.1017689,22.966,23.243,0.008,1.01,137.3,-0.002,0.034,0.0,0,22.089,22.081,0.009,1.01,116.1,0.009,0.05,0.0,0
3584.64,1713.5,204.2962745,-30.1012961,23.666,24.224,0.012,1.02,93.5,0.004,0.007,0.013,0,21.647,21.636,0.007,1.27,148.0,0.019,0.051,0.013,0
3201.73,3131.53,204.275261,-30.0920284,23.141,23.507,0.009,1.29,125.8,0.016,-0.003,0.0,0,21.974,21.965,0.009,0.86,124.4,0.008,0.023,0.0,0
915.6,4061.21,204.2681843,-30.0582978,23.17,23.529,0.01,1.07,113.9,0.005,0.03,0.0,2,22.03,22.021,0.009,1.04,120.4,0.013,0.039,0.0,0
2646.79,4203.42,204.2602536,-30.0814131,22.871,22.897,0.013,1.13,81.7,0.037,0.029,0.0,2,22.724,22.718,0.025,1.16,43.1,0.067,0.072,0.0,2
2096.19,1181.31,204.3095254,-30.0825941,22.999,23.182,0.008,1.19,135.6,0.039,0.045,0.0,0,22.379,22.372,0.011,1.05,100.0,0.025,0.014,0.0,0
3495.15,1582.47,204.2986269,-30.1004555,24.029,24.629,0.014,1.04,75.8,0.008,0.024,0.0,0,21.736,21.724,0.008,1.02,142.0,0.015,0.013,0.0,0
3238.96,477.18,204.3168309,-30.1001394,23.101,23.318,0.008,1.16,129.4,0.013,0.009,0.0,0,22.392,22.384,0.011,1.09,98.7,0.016,0.036,0.0,0
2960.36,331.08,204.3200409,-30.0967716,23.188,23.465,0.009,1.17,122.9,-0.001,0.037,0.0,0,22.309,22.3,0.01,0.99,104.3,0.004,0.011,0.0,0
2569.14,4069.16,204.2626176,-30.0807432,23.321,23.647,0.009,1.28,114.5,0.017,0.019,0.0,0,22.291,22.282,0.01,1.24,105.6,0.014,0.009,0.0,0
2303.82,3671.47,204.269736,-30.0782789,23.824,24.331,0.014,1.03,77.4,0.019,0.068,0.003,2,22.082,22.071,0.01,0.93,110.5,0.016,0.011,0.002,0
1697.55,2703.05,204.2869378,-30.0728174,24.138,24.708,0.015,1.13,70.2,0.001,0.019,0.0,0,22.049,22.038,0.009,1.09,118.2,0.003,0.019,0.0,0
493.09,3884.67,204.272346,-30.053063,24.319,24.917,0.017,1.22,63.8,-0.003,0.08,0.0,0,22.04,22.028,0.009,1.1,120.2,0.008,0.018,0.0,0
2827.18,1305.67,204.3051703,-30.0921714,23.736,24.159,0.012,1.08,89.8,0.011,0.096,0.001,0,22.361,22.352,0.011,0.97,100.9,0.018,0.046,0.001,0
3719.42,254.02,204.3187582,-30.1073073,23.586,23.925,0.011,0.99,98.8,-0.001,0.017,0.006,0,22.516,22.507,0.012,1.01,92.9,0.019,0.032,0.004,0
2405.12,2044.56,204.2949525,-30.0843194,23.532,23.831,0.011,1.13,100.8,0.01,0.053,0.0,0,22.587,22.579,0.012,1.07,88.6,0.009,0.057,0.0,0
1980.87,718.11,204.317179,-30.0823532,24.336,24.936,0.017,1.1,63.6,0.018,0.048,0.0,0,22.046,22.034,0.015,0.97,72.3,-0.002,0.019,0.0,2
3945.69,647.85,204.3118279,-30.1092547,23.668,23.987,0.012,0.94,93.7,0.011,-0.013,0.0,0,22.66,22.651,0.013,0.96,85.4,0.019,0.029,0.001,0
2722.98,474.16,204.3185732,-30.0931363,23.679,24.012,0.013,1.14,86.8,0.019,0.041,0.008,0,22.628,22.619,0.016,1.14,68.0,0.028,0.063,0.014,2
728.86,919.2,204.3181326,-30.0647636,23.831,24.225,0.013,1.07,85.5,0.022,0.018,0.001,0,22.567,22.557,0.012,0.97,90.3,0.015,0.026,0.001,0
3130.86,1957.77,204.2939296,-30.09443,23.804,24.185,0.014,1.05,75.0,0.011,0.051,0.0,2,22.588,22.579,0.014,1.17,78.2,0.041,0.019,0.001,2
2025.94,767.63,204.3162532,-30.0828239,24.428,25.002,0.018,1.09,60.4,0.007,0.035,0.001,0,22.315,22.303,0.01,0.82,104.1,0.006,0.036,0.0,0
1504.96,3739.61,204.2712947,-30.0672285,23.739,24.058,0.012,1.11,89.8,0.026,0.025,0.0,0,22.732,22.724,0.013,1.05,81.6,0.006,0.012,0.0,0
3463.98,341.23,204.3182273,-30.1035864,23.772,24.107,0.012,1.26,88.9,0.005,0.077,0.0,0,22.713,22.705,0.013,0.89,83.6,0.006,-0.003,0.0,0
1438.31,62.39,204.3292587,-30.0768567,24.827,25.451,0.033,1.26,33.0,0.004,0.02,0.0,0,22.341,22.328,0.015,1.15,72.8,-0.008,0.045,0.0,0
3070.48,2644.51,204.2833419,-30.0916413,23.651,23.871,0.012,0.96,94.0,0.017,0.084,0.0,0,22.937,22.929,0.015,0.98,72.5,0.011,-0.03,0.0,0
1252.87,389.33,204.324733,-30.0734012,24.65,25.256,0.021,1.04,51.0,0.011,0.145,0.003,0,22.307,22.295,0.012,0.96,89.4,-0.009,-0.006,0.009,2
174.97,1618.21,204.3089758,-30.0552354,23.554,23.551,0.011,1.32,95.5,0.031,0.081,0.0,0,23.553,23.547,0.025,1.06,43.0,0.032,0.179,0.001,2
2274.22,418.94,204.3209143,-30.087196,24.768,25.386,0.023,0.83,47.3,0.0,0.168,0.004,0,22.339,22.326,0.012,0.95,90.9,0.003,-0.045,0.003,2
2256.18,2216.28,204.2927453,-30.0818035,23.495,23.43,0.015,6.72,70.7,0.214,0.338,0.001,0,24.146,24.141,0.047,4.38,23.1,0.21,0.034,0.0,0
3071.23,1045.14,204.3084604,-30.0962339,23.863,24.144,0.013,1.19,83.5,0.025,0.038,0.001,0,22.971,22.963,0.015,1.18,71.4,-0.003,0.005,0.002,0
3716.58,2628.53,204.2814675,-30.1004665,23.919,24.233,0.019,0.98,56.5,-0.002,0.05,0.007,0,22.929,22.92,0.022,1.06,49.9,0.009,-0.091,0.014,0
3730.79,266.96,204.3185176,-30.1074248,23.904,24.192,0.013,1.18,81.7,0.021,0.012,0.0,0,22.992,22.984,0.015,1.06,70.8,0.014,0.082,0.0,0
2167.42,3834.13,204.2676306,-30.0759589,24.05,24.411,0.016,1.02,68.5,-0.006,0.035,0.001,2,22.901,22.892,0.015,0.99,74.8,0.012,0.01,0.001,0
406.15,2548.8,204.2936052,-30.0557112,23.983,24.304,0.014,1.13,77.5,0.002,0.084,0.006,0,22.97,22.962,0.016,1.2,69.8,0.028,0.045,0.031,0
2630.61,4189.33,204.2605282,-30.0812337,24.01,24.322,0.02,0.98,55.5,0.005,0.068,0.0,0,23.025,23.017,0.022,1.09,49.9,0.012,0.076,0.0,0
3920.43,2382.53,204.284661,-30.1039417,24.181,24.589,0.016,1.08,68.8,-0.007,0.019,0.001,0,22.866,22.856,0.014,0.96,75.1,0.016,0.054,0.0,0
3836.84,414.3,204.3158545,-30.1084441,23.851,23.985,0.013,1.17,85.1,0.0,0.021,0.003,0,23.355,23.348,0.019,0.95,57.0,0.026,0.062,0.0,0
2716.26,496.56,204.3182434,-30.0929808,24.032,24.338,0.015,1.07,72.3,0.022,0.085,0.0,0,23.067,23.058,0.017,1.23,62.4,0.006,0.021,0.016,2
830.36,2974.12,204.2855328,-30.0602567,24.036,24.343,0.015,1.0,74.6,0.013,0.019,0.001,0,23.066,23.058,0.016,1.08,66.4,0.007,0.011,0.001,0
2029.17,2823.94,204.2839489,-30.0769771,24.184,24.562,0.016,1.1,69.1,0.01,0.061,0.0,0,22.979,22.97,0.015,0.99,70.6,0.009,0.001,0.003,0
2630.74,580.08,204.3172124,-30.0915796,24.546,25.057,0.02,1.02,55.0,-0.001,0.116,0.008,0,22.785,22.774,0.014,1.07,78.0,0.023,0.047,0.003,0
2342.89,3579.14,204.2710574,-30.0790746,23.84,23.881,0.013,1.13,85.0,0.021,0.012,0.0,0,23.634,23.628,0.023,1.01,47.6,-0.002,0.048,0.0,0
3545.86,3991.67,204.2606191,-30.0942371,24.541,25.046,0.019,0.97,56.1,0.005,0.034,0.006,0,22.811,22.8,0.014,0.97,78.7,0.004,-0.005,0.017,0
1816.29,3389.81,204.2757631,-30.0724621,24.984,25.577,0.037,0.98,29.2,0.016,0.081,0.0,0,22.735,22.723,0.019,1.03,57.2,0.026,0.037,0.0,0
1331.47,2462.48,204.291919,-30.0685324,24.252,24.649,0.016,1.08,66.2,-0.007,0.081,0.005,0,22.975,22.966,0.016,1.1,70.0,0.018,0.027,0.01,0
444.41,4068.36,204.2696223,-30.0518747,24.982,25.568,0.037,1.1,29.6,-0.008,0.117,0.0,0,22.783,22.771,0.019,1.13,56.7,-0.005,0.036,0.0,0
2327.09,4048.08,204.2637454,-30.0775147,23.955,23.98,0.015,1.13,72.9,0.018,0.019,0.026,2,23.815,23.809,0.028,1.0,39.4,0.017,0.112,0.029,2
2093.74,2643.7,204.286567,-30.0783712,24.504,24.96,0.019,1.14,56.0,0.025,0.024,0.008,0,22.994,22.984,0.016,0.97,69.4,0.006,0.038,0.028,0
944.3,3365.36,204.2790152,-30.0606833,23.943,23.926,0.014,1.01,79.5,0.019,0.019,0.003,0,24.019,24.013,0.029,1.18,36.9,0.011,0.074,0.006,0
