X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3176.2,2324.75,0.826489,16.0629879,21.997,22.405,0.002,1.6,442.6,0.003,0.032,0.0,2,20.681,20.671,0.002,1.33,520.2,0.005,-0.004,0.001,2
4055.99,2714.56,0.8359889,16.0532262,23.427,23.582,0.005,1.23,221.4,0.0,0.033,0.0,0,22.878,22.87,0.011,1.2,99.7,-0.002,0.01,0.0,2
632.19,3814.96,0.7842255,16.0577515,23.773,24.14,0.006,1.28,179.7,0.021,0.179,0.0,2,22.606,22.597,0.005,1.31,217.2,0.022,0.12,0.001,0
1363.46,3150.33,0.7977088,16.0622781,24.571,25.159,0.009,1.1,118.3,0.007,0.004,0.0,0,22.367,22.356,0.004,1.17,251.2,0.002,0.018,0.0,0
2852.91,1018.16,0.8295736,16.0814463,26.425,27.118,0.039,1.04,27.6,0.039,0.126,0.0,2,22.782,22.767,0.006,1.29,189.5,-0.003,-0.005,0.0,2
2287.28,183.59,0.8267661,16.095187,26.571,27.264,0.037,1.08,29.7,0.002,0.062,0.003,2,22.858,22.843,0.006,1.3,188.5,-0.018,0.042,0.004,0
2071.14,562.14,0.8217505,16.0915218,24.202,24.566,0.009,1.09,119.2,0.005,0.008,0.049,2,23.044,23.035,0.008,1.09,131.4,0.017,0.025,0.012,2
1811.89,801.62,0.8169477,16.0898684,24.277,24.59,0.008,1.14,133.0,0.0,0.047,0.004,2,23.29,23.281,0.009,1.28,126.5,0.004,0.017,0.008,0
2911.55,2459.95,0.8222044,16.062697,25.561,26.179,0.019,1.16,57.5,0.007,0.117,0.0,2,23.129,23.116,0.007,1.16,166.7,-0.004,0.024,0.0,0
3092.34,3661.71,0.8178177,16.0463525,24.517,24.861,0.011,0.97,101.3,0.008,-0.018,0.001,2,23.427,23.418,0.008,1.01,141.6,0.012,0.026,0.001,0
406.36,3114.21,0.7851798,16.0679361,25.153,25.587,0.016,1.02,65.9,0.009,0.059,0.0,2,23.736,23.726,0.01,1.12,112.1,0.007,0.007,0.0,2
3795.98,3014.85,0.830833,16.0507999,26.063,26.688,0.025,1.0,44.1,-0.017,0.127,0.001,0,23.569,23.557,0.009,1.08,126.2,-0.001,0.01,0.005,0
2328.53,1178.72,0.8216898,16.0822419,24.746,24.988,0.011,1.09,98.4,0.018,0.056,0.0,2,23.969,23.961,0.011,1.11,97.9,0.022,0.049,0.0,0
3472.94,3462.12,0.8240082,16.0468369,25.306,25.755,0.019,1.06,55.9,-0.001,0.01,0.001,2,23.827,23.817,0.01,1.13,108.0,0.013,0.008,0.002,2
3178.03,1420.65,0.8316237,16.0745353,24.78,24.938,0.01,1.18,103.5,0.009,0.083,0.004,0,24.227,24.219,0.013,1.0,83.9,0.011,0.041,0.012,0
2000.31,3388.18,0.8048369,16.0557794,24.885,25.049,0.011,1.1,96.0,0.015,0.018,0.0,0,24.314,24.306,0.014,1.16,76.5,0.004,0.049,0.002,2
1246.41,3566.59,0.7937998,16.0575921,25.521,25.979,0.017,1.07,64.6,0.008,0.05,0.004,0,24.006,23.996,0.011,1.06,99.3,0.014,0.025,0.006,0
3777.58,1437.49,0.8395043,16.0710633,25.234,25.505,0.014,1.12,77.3,0.012,0.034,0.002,0,24.371,24.363,0.015,1.15,73.2,0.023,0.019,0.004,2
3589.9,3423.06,0.8257847,16.046701,25.392,25.704,0.024,0.86,46.0,-0.001,-0.004,0.0,2,24.406,24.397,0.014,1.05,78.0,0.005,-0.003,0.0,0
1226.69,1359.29,0.8060099,16.0859172,27.597,28.282,0.096,1.04,11.3,-0.012,0.293,0.094,2,24.293,24.279,0.014,1.04,79.3,0.012,-0.018,0.029,0
2031.46,1745.1,0.8145364,16.0766149,25.26,25.468,0.015,1.04,74.1,0.019,0.033,0.001,0,24.575,24.567,0.016,1.09,66.2,0.023,-0.021,0.001,0
2044.6,981.75,0.8190256,16.0863019,25.529,25.868,0.018,1.17,61.2,0.006,0.146,0.051,2,24.458,24.449,0.016,1.16,69.6,0.023,0.111,0.065,2
1507.49,1424.5,0.8093773,16.0835588,25.531,25.705,0.018,1.19,58.8,0.001,0.175,0.001,2,24.935,24.927,0.021,1.09,51.0,0.0,0.084,0.002,0
3670.04,3661.48,0.8255033,16.0432179,27.5,28.159,0.072,1.05,15.1,0.008,0.253,0.004,0,24.651,24.638,0.016,1.04,67.4,-0.017,-0.014,0.001,0
1475.81,2859.96,0.8008441,16.0653801,25.956,26.334,0.023,1.12,47.7,-0.019,0.172,0.001,0,24.752,24.743,0.018,1.06,61.2,0.019,-0.006,0.002,0
897.56,761.23,0.8050108,16.0953499,25.676,25.888,0.02,1.04,54.2,-0.004,0.049,0.002,2,24.981,24.973,0.021,1.15,51.9,-0.01,0.075,0.002,0
3425.2,1153.9,0.8364198,16.0766026,25.664,25.789,0.02,1.08,55.0,0.007,0.149,0.0,2,25.188,25.18,0.024,1.09,44.5,0.009,0.141,0.001,0
880.39,2821.67,0.7931391,16.0691025,25.977,26.288,0.023,1.07,47.0,-0.008,0.107,0.001,0,24.994,24.986,0.024,1.07,46.0,0.012,0.02,0.003,0
3722.72,4204.1,0.8231375,16.0359953,26.065,26.264,0.027,1.04,39.9,-0.01,0.172,0.003,2,25.404,25.396,0.027,1.04,40.8,0.007,-0.013,0.005,0
3348.03,164.61,0.840986,16.0896678,25.977,26.049,0.024,1.11,46.0,-0.004,0.067,0.088,0,25.658,25.651,0.034,1.09,32.0,0.014,0.008,0.058,0
3696.01,639.15,0.8429325,16.0817115,25.967,26.022,0.023,1.05,47.8,0.018,-0.065,0.008,0,25.71,25.704,0.036,1.11,30.3,0.034,0.198,0.04,0
567.89,1424.15,0.7968781,16.0886652,26.071,26.162,0.025,1.07,43.5,0.008,0.109,0.004,0,25.678,25.671,0.046,1.03,23.7,-0.001,0.117,0.011,0
1568.1,140.65,0.8174401,16.0996418,26.248,26.498,0.027,1.06,39.7,-0.005,0.236,0.008,0,25.448,25.44,0.029,1.08,37.6,-0.023,0.002,0.01,0
