X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
2690.62,1416.79,359.6723379,-32.6080186,22.196,22.344,0.007,1.25,158.1,0.015,0.023,0.002,0,21.665,21.658,0.008,1.09,130.7,0.026,0.021,0.002,0
2426.18,2296.7,359.6582354,-32.612682,23.231,23.586,0.012,1.27,92.2,-0.001,0.07,0.0,0,22.104,22.095,0.01,1.15,103.7,0.022,0.008,0.0,0
1798.05,3914.51,359.630857,-32.6197016,23.554,23.677,0.014,1.04,76.0,0.027,0.037,0.0,0,23.083,23.076,0.018,1.09,58.9,0.023,0.019,0.0,0
1697.97,1555.43,359.6604279,-32.5983673,25.546,26.214,0.049,1.07,22.0,-0.01,0.145,0.002,0,22.569,22.556,0.014,1.25,80.3,0.007,0.046,0.001,0
1182.87,3876.98,359.6250785,-32.6126592,23.952,24.234,0.018,1.1,60.0,0.004,-0.008,0.0,0,23.057,23.048,0.018,1.04,59.8,0.007,0.082,0.0,0
914.02,1333.82,359.6553159,-32.5879033,24.264,24.692,0.022,1.23,50.4,0.039,0.095,0.0,0,22.87,22.861,0.016,1.09,67.2,0.038,0.069,0.0,0
4079.14,1658.73,359.6833508,-32.6252584,24.222,24.585,0.022,1.09,49.4,0.001,0.057,0.0,0,23.071,23.062,0.018,0.95,58.8,0.007,0.094,0.0,0
2687.57,1452.44,359.6718446,-32.6082912,24.134,24.221,0.02,1.0,54.7,0.03,-0.004,0.022,0,23.748,23.741,0.027,1.1,39.8,0.028,0.083,0.023,0
1060.8,2720.47,359.6388331,-32.6014043,24.84,25.292,0.031,1.07,35.2,-0.003,-0.004,0.0,0,23.347,23.337,0.022,1.17,50.5,0.012,0.074,0.0,0
756.97,3882.76,359.6206666,-32.6080559,24.599,24.921,0.026,1.13,41.3,0.002,0.084,0.0,0,23.583,23.574,0.025,1.16,43.7,-0.01,0.012,0.0,0
1197.97,1251.68,359.6592727,-32.5902997,24.831,25.246,0.03,1.13,35.6,0.016,0.188,0.003,0,23.489,23.48,0.023,1.22,46.3,0.041,0.135,0.003,0
4005.24,3280.38,359.6615685,-32.6383698,24.883,25.234,0.031,1.16,34.8,0.018,-0.026,0.0,0,23.772,23.763,0.028,0.97,39.4,0.004,0.072,0.0,0
312.49,2654.45,359.632069,-32.5926635,24.866,25.196,0.031,0.98,34.8,0.015,0.181,0.018,0,23.824,23.816,0.029,1.17,37.4,0.035,0.041,0.0,0
2528.65,1947.53,359.6638067,-32.6108047,24.854,25.175,0.031,1.18,34.7,0.039,0.037,0.0,0,23.84,23.831,0.029,1.19,37.0,0.037,0.057,0.0,0
2519.96,2704.33,359.6539051,-32.6172042,24.892,25.208,0.032,1.08,34.2,-0.009,0.03,0.0,0,23.893,23.885,0.03,0.96,36.4,0.0,0.035,0.0,0
3420.99,3861.32,359.6480799,-32.6369735,24.929,25.239,0.047,1.02,23.1,-0.014,0.0,0.003,2,23.949,23.94,0.034,0.96,32.4,-0.01,0.056,0.018,0
1140.36,3445.05,359.6302473,-32.6084896,24.955,25.288,0.034,1.04,31.9,0.015,0.165,0.002,0,23.904,23.895,0.03,0.87,35.7,0.005,0.009,0.032,0
