X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3839.55,3134.12,12.2099516,-25.0277079,22.851,23.023,0.01,1.06,107.1,0.016,0.045,0.0,0,22.261,22.254,0.012,1.19,91.2,0.011,0.039,0.001,0
4010.87,2286.75,12.2208033,-25.0346,24.392,25.009,0.024,1.02,45.2,0.011,0.046,0.001,0,21.967,21.955,0.01,0.94,104.0,0.007,0.062,0.004,0
3304.84,2859.47,12.2170907,-25.0224295,23.824,24.245,0.017,1.1,65.0,0.0,0.022,0.0,0,22.46,22.451,0.013,0.94,83.3,0.006,0.038,0.012,0
4055.23,1948.84,12.225278,-25.0370433,23.681,24.031,0.016,1.1,69.0,0.023,0.071,0.002,0,22.57,22.561,0.014,1.27,76.5,0.04,0.084,0.005,0
3023.42,1147.65,12.2428631,-25.0283634,23.702,24.056,0.016,1.09,69.3,0.003,-0.031,0.021,0,22.579,22.57,0.014,1.12,77.7,0.025,0.065,0.015,0
545.2,2231.18,12.2428424,-24.9907967,23.733,24.095,0.016,1.11,67.4,0.02,0.078,0.0,0,22.585,22.576,0.014,1.41,76.2,0.05,0.065,0.0,0
845.8,247.65,12.2688583,-25.0056446,23.86,24.268,0.017,0.91,64.2,-0.005,0.04,0.001,0,22.542,22.532,0.014,1.08,79.9,0.007,0.066,0.0,0
2962.7,154.61,12.2571863,-25.0331088,23.575,23.765,0.015,1.02,73.2,0.0,0.003,0.001,0,22.938,22.931,0.017,1.21,63.7,-0.013,0.065,0.001,0
2460.14,605.86,12.2539287,-25.0242042,23.835,24.154,0.017,1.07,64.5,0.027,0.002,0.0,0,22.828,22.819,0.016,1.08,66.7,0.003,0.061,0.0,0
642.58,932.45,12.2604854,-24.9992531,23.816,24.098,0.017,0.99,64.9,0.018,0.034,0.001,0,22.923,22.915,0.017,1.03,64.0,0.006,0.064,0.001,0
1329.66,1490.75,12.2484312,-25.0048969,24.427,24.934,0.024,1.07,44.4,0.009,0.075,0.0,0,22.685,22.675,0.015,1.17,72.4,0.023,0.026,0.0,0
433.98,3192.93,12.2300186,-24.9840353,23.757,23.856,0.016,1.04,66.8,-0.002,0.069,0.014,0,23.345,23.338,0.022,0.99,49.4,-0.024,0.022,0.028,0
3418.63,2688.2,12.2187982,-25.02483,24.064,24.341,0.019,1.09,56.3,-0.007,0.063,0.0,0,23.187,23.178,0.02,0.94,54.9,0.005,0.065,0.0,0
1566.11,2760.92,12.2291418,-25.0008468,24.476,24.942,0.025,1.06,43.9,-0.019,0.106,0.0,0,22.924,22.913,0.017,1.11,63.5,0.007,0.044,0.001,0
574.19,3615.2,12.2232292,-24.9834724,24.286,24.668,0.022,0.98,49.5,0.015,0.057,0.0,0,23.065,23.056,0.019,1.08,58.7,0.017,0.025,0.0,0
3625.93,2750.89,12.2166456,-25.0271199,24.497,24.944,0.03,1.18,35.8,0.023,0.172,0.002,0,23.025,23.015,0.019,0.98,55.9,-0.029,0.03,0.005,0
788.56,2432.53,12.2385224,-24.9927752,25.242,25.855,0.041,1.14,26.6,0.001,0.253,0.0,0,22.844,22.832,0.016,1.28,66.1,-0.014,0.013,0.0,0
3314.26,1556.98,12.2353289,-25.0297903,24.292,24.657,0.022,1.13,48.5,0.024,0.072,0.002,0,23.133,23.124,0.019,1.17,56.2,0.003,0.006,0.002,0
928.41,1319.15,12.2533017,-25.0007429,24.547,24.994,0.026,1.14,41.6,0.045,0.14,0.0,0,23.077,23.067,0.019,1.08,57.9,0.019,0.048,0.0,0
3406.12,3346.34,12.2096307,-25.0210113,24.426,24.805,0.024,1.01,46.0,-0.005,0.021,0.0,0,23.217,23.208,0.02,0.91,54.3,0.014,0.016,0.001,0
2465.06,2452.1,12.2279649,-25.0140056,24.485,24.884,0.025,0.93,43.5,0.033,0.109,0.001,0,23.201,23.191,0.02,1.02,54.0,-0.01,0.003,0.001,0
2783.99,2777.64,12.2214358,-25.0162552,24.358,24.675,0.023,1.03,47.2,0.04,0.124,0.0,0,23.356,23.347,0.022,0.86,49.8,0.002,-0.005,0.0,0
318.17,2580.31,12.2393316,-24.9859664,24.374,24.692,0.023,1.13,46.3,0.01,0.128,0.0,0,23.373,23.364,0.023,1.28,48.0,0.04,0.089,0.0,0
1981.67,3954.64,12.2098283,-24.999499,24.522,24.896,0.025,1.02,43.3,0.019,0.03,0.001,0,23.33,23.321,0.021,1.14,50.5,0.024,0.061,0.001,0
2704.15,1684.33,12.2372825,-25.0213166,24.904,25.419,0.033,1.08,33.2,0.028,0.194,0.0,0,23.119,23.108,0.019,1.02,56.6,0.01,0.052,0.0,0
3589.03,1642.47,12.2324423,-25.0328125,25.03,25.57,0.035,0.99,30.7,-0.02,0.11,0.048,0,23.118,23.107,0.019,0.95,56.4,-0.005,0.088,0.061,0
1086.4,1131.27,12.2549719,-25.003798,24.699,25.145,0.029,1.06,38.0,0.048,0.022,0.0,0,23.234,23.224,0.021,1.16,52.8,0.021,0.049,0.001,0
3521.27,412.58,12.2501363,-25.0387855,24.581,24.958,0.028,0.95,39.3,0.003,0.125,0.0,0,23.378,23.369,0.023,1.04,46.4,0.017,0.065,0.0,0
310.68,593.54,12.26728,-24.9969111,25.243,25.811,0.039,1.06,27.7,-0.012,0.166,0.0,0,23.165,23.153,0.02,1.14,55.7,0.015,0.03,0.0,0
1110.76,2145.85,12.2405727,-24.9984698,24.591,24.97,0.027,1.2,40.5,-0.022,0.072,0.019,0,23.378,23.369,0.023,1.06,47.9,0.022,0.081,0.012,0
2691.48,1297.58,12.2427929,-25.0233049,24.946,25.445,0.033,1.02,32.7,0.023,0.059,0.001,0,23.244,23.234,0.02,1.07,53.1,0.024,0.035,0.001,0
1365.78,2822.26,12.2295091,-24.997956,24.779,25.222,0.03,0.97,36.1,0.016,0.088,0.001,0,23.325,23.315,0.022,1.11,49.4,0.021,0.068,0.008,0
2082.64,3057.35,12.2218101,-25.0057733,24.698,25.103,0.028,0.93,38.6,-0.004,0.152,0.001,0,23.392,23.382,0.022,1.08,48.6,-0.011,-0.028,0.0,0
1791.65,3024.79,12.2240525,-25.0022506,24.932,25.416,0.033,1.0,32.8,0.01,0.046,0.006,0,23.297,23.287,0.021,1.0,50.7,-0.009,0.048,0.001,0
