,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,891.78,1030.67,148.5689816,69.4219843,23.399,23.746,0.014,1.12,78.8,0.018,0.017,0.013,2,22.301,22.292,0.011,1.02,94.6,0.019,0.017,0.02,0
1,2918.35,3395.08,148.4479179,69.4142681,23.935,24.328,0.017,0.98,63.4,-0.003,0.008,0.0,0,22.676,22.667,0.014,0.85,76.6,0.002,0.018,0.001,0
2,1222.4,349.33,148.5855947,69.4132358,23.659,23.758,0.015,1.25,74.7,-0.017,0.026,0.028,0,23.246,23.239,0.019,1.28,56.6,-0.004,0.07,0.012,0
3,883.44,536.71,148.5859852,69.4186135,23.889,24.161,0.016,1.24,65.9,-0.009,0.104,0.0,0,23.026,23.017,0.017,1.01,64.3,-0.016,0.018,0.0,0
4,1294.3,268.58,148.5869089,69.4118069,23.984,24.272,0.018,0.94,61.5,0.014,0.013,0.061,0,23.074,23.066,0.017,0.94,62.2,-0.004,0.042,0.042,0
5,864.5,1076.41,148.5679675,69.4226325,24.312,24.628,0.022,1.11,49.6,0.002,-0.03,0.003,0,23.314,23.305,0.021,1.02,52.5,0.027,0.064,0.01,0
6,1240.12,3683.78,148.4715075,69.4364201,24.64,25.083,0.027,1.18,40.7,0.003,0.063,0.0,0,23.19,23.18,0.02,1.02,55.3,0.027,0.067,0.001,0
7,3904.87,819.83,148.5160435,69.3843913,25.019,25.54,0.033,1.21,33.2,0.007,0.049,0.003,0,23.211,23.2,0.019,1.07,57.5,0.007,0.032,0.001,0
8,3869.44,2896.23,148.446002,69.3993662,24.392,24.655,0.022,0.95,48.3,-0.034,0.1,0.009,0,23.553,23.544,0.024,0.93,45.4,0.007,0.007,0.005,0
9,1120.95,590.18,148.5794154,69.4161437,24.575,24.897,0.024,0.94,44.4,-0.014,-0.013,0.0,0,23.559,23.55,0.023,1.05,47.0,-0.003,0.02,0.001,0
10,1951.44,1900.5,148.518166,69.4153898,24.743,25.114,0.028,1.11,38.5,0.019,0.037,0.0,0,23.558,23.549,0.024,1.04,45.6,-0.012,0.07,0.0,0
11,2162.29,1699.95,148.520797,69.4114553,24.763,25.134,0.028,1.04,38.6,0.003,0.103,0.002,0,23.584,23.574,0.024,1.09,45.4,0.007,0.032,0.004,0
12,3655.98,980.06,148.515546,69.3884989,24.739,25.084,0.027,1.11,40.2,-0.019,0.08,0.0,0,23.644,23.635,0.025,1.07,44.3,0.022,0.08,0.001,0
13,3569.99,4003.55,148.4141889,69.4107074,24.933,25.347,0.031,1.06,34.7,0.044,0.101,0.007,0,23.594,23.584,0.024,0.95,45.3,-0.022,0.027,0.009,0
