X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
305.95,943.13,203.9642269,-29.7201397,22.31,22.472,0.005,1.77,199.5,0.026,0.042,0.0,0,21.745,21.737,0.008,1.56,143.9,0.049,0.023,0.0,0
2765.44,1891.7,203.9301772,-29.7417364,22.59,22.941,0.006,1.56,167.1,0.042,0.042,0.0,2,21.476,21.467,0.007,1.23,158.3,0.039,0.025,0.001,2
2631.46,2420.11,203.9242302,-29.7361985,22.6,22.899,0.007,1.59,165.9,0.007,0.043,0.004,0,21.656,21.647,0.007,1.27,146.5,0.022,0.019,0.001,0
225.46,3690.92,203.927972,-29.698544,23.145,23.674,0.008,1.11,129.4,0.001,0.025,0.0,0,21.29,21.279,0.006,1.14,181.2,0.005,0.028,0.0,0
1768.94,1708.59,203.9412683,-29.7314746,22.878,23.171,0.007,1.3,148.1,0.016,0.03,0.002,0,21.951,21.943,0.008,1.21,127.8,0.042,0.005,0.0,0
1296.6,3182.24,203.925539,-29.7148785,23.437,23.963,0.01,1.19,111.2,0.013,0.008,0.0,0,21.601,21.591,0.007,1.25,154.0,0.016,0.03,0.0,0
3655.74,1735.49,203.9245682,-29.7533086,23.245,23.664,0.009,1.32,121.9,0.014,0.041,0.0,0,21.888,21.878,0.008,1.03,132.8,0.027,0.024,0.0,0
870.8,96.79,203.9707235,-29.7330982,22.908,23.043,0.007,1.43,148.0,-0.023,0.063,0.014,0,22.407,22.4,0.011,1.12,102.1,-0.003,0.135,0.017,0
3557.3,325.78,203.9443861,-29.7627576,23.823,24.403,0.012,1.18,89.3,0.017,0.051,0.025,0,21.671,21.659,0.007,1.15,148.9,0.023,0.035,0.007,0
2680.64,2107.97,203.9280026,-29.7391199,22.982,23.202,0.008,1.47,129.0,0.065,0.043,0.006,2,22.265,22.257,0.014,1.25,77.1,0.036,0.19,0.012,0
3879.05,3184.35,203.9031458,-29.7450204,23.647,24.19,0.011,1.55,96.4,0.003,0.04,0.001,0,21.72,21.709,0.008,1.25,139.9,-0.008,0.05,0.0,0
3788.26,2204.93,203.9171057,-29.7513262,23.614,24.113,0.015,1.29,71.1,0.037,0.02,0.0,0,21.91,21.9,0.012,1.74,93.3,0.032,0.003,0.008,0
1901.63,1066.88,203.9487512,-29.7378483,23.632,24.121,0.012,1.03,91.9,-0.001,0.048,0.001,2,21.979,21.969,0.009,1.04,127.5,0.008,0.006,0.0,0
3705.06,1687.52,203.9247863,-29.7542453,23.182,23.453,0.009,1.23,127.4,0.007,0.051,0.001,0,22.321,22.313,0.01,1.08,106.5,0.02,0.054,0.001,0
3105.12,3128.27,203.9106039,-29.7364046,23.849,24.396,0.012,1.33,88.5,-0.002,0.061,0.003,0,21.894,21.883,0.008,1.1,133.4,0.01,0.007,0.004,0
2047.26,1104.36,203.9469863,-29.7392675,23.192,23.413,0.009,1.22,121.6,0.02,0.062,0.0,0,22.474,22.467,0.012,1.24,91.5,0.025,0.033,0.0,0
3094.03,3508.6,203.9055851,-29.7334146,24.007,24.572,0.014,1.16,75.5,0.027,-0.032,0.0,0,21.949,21.938,0.009,1.02,124.7,-0.007,0.042,0.0,0
2536.3,1681.57,203.9349878,-29.7406401,24.457,25.095,0.017,1.08,62.8,0.011,0.055,0.002,0,21.841,21.829,0.008,1.22,137.0,0.021,0.019,0.001,0
1800.14,3569.06,203.9159776,-29.7178502,23.541,23.961,0.01,1.19,105.7,0.013,0.029,0.0,0,22.18,22.17,0.009,1.26,115.8,-0.024,0.042,0.0,0
2444.58,834.12,203.9471818,-29.7459397,23.926,24.457,0.013,1.26,85.9,0.013,0.042,0.0,0,22.061,22.051,0.009,0.98,123.4,-0.002,0.027,0.0,0
