,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,1352.23,1909.88,204.1879547,-29.565293,22.295,22.425,0.007,1.22,157.3,0.002,0.015,0.0,0,21.809,21.802,0.009,1.33,126.6,0.037,0.027,0.0,0
1,526.32,2532.23,204.2043998,-29.5665934,22.909,23.29,0.01,1.13,113.3,-0.004,0.006,0.0,0,21.692,21.683,0.008,1.17,133.6,0.034,0.026,0.001,0
2,3650.81,3610.23,204.1790043,-29.5263545,23.309,23.81,0.012,0.91,93.2,0.007,0.05,0.001,0,21.6,21.59,0.008,1.04,143.2,0.016,0.024,0.0,0
3,2341.99,1335.44,204.170086,-29.561969,23.316,23.819,0.012,0.89,93.0,-0.017,0.049,0.001,0,21.593,21.583,0.008,1.08,143.0,0.0,0.029,0.001,0
4,2133.43,2706.96,204.1872627,-29.5498041,22.982,23.363,0.01,1.01,110.5,-0.01,0.039,0.0,0,21.766,21.757,0.008,0.85,130.3,0.01,-0.001,0.001,0
5,2931.2,2252.6,204.172955,-29.5470359,24.196,24.823,0.025,1.13,43.8,0.001,0.044,0.001,2,21.679,21.666,0.009,1.04,120.2,0.013,0.043,0.0,0
6,2423.0,853.16,204.1639543,-29.5661745,23.137,23.511,0.011,1.08,102.4,0.005,0.066,0.0,0,21.942,21.933,0.009,1.06,119.5,0.027,0.007,0.0,0
7,2110.09,583.44,204.1647617,-29.5718689,23.243,23.642,0.011,0.99,96.6,0.027,0.051,0.0,0,21.964,21.955,0.009,0.98,118.6,0.01,0.019,0.0,0
8,1503.12,902.43,204.1753634,-29.5742506,23.484,23.953,0.013,1.21,84.3,0.04,0.021,0.0,0,21.919,21.909,0.009,1.13,120.8,0.032,0.046,0.0,0
9,184.58,3336.02,204.217062,-29.561509,23.763,24.282,0.015,1.11,71.9,0.008,0.047,0.001,0,21.963,21.953,0.009,1.11,117.5,-0.011,-0.006,0.0,0
10,2219.03,1644.48,204.1748552,-29.5599369,23.663,24.139,0.014,0.9,75.2,0.007,0.027,0.002,0,22.067,22.057,0.01,1.32,109.2,0.013,0.031,0.002,0
11,3064.08,1184.73,204.1599295,-29.5567816,25.269,25.956,0.037,1.04,29.0,-0.018,0.405,0.001,0,21.92,21.906,0.009,1.8,117.3,0.032,-0.041,0.017,0
12,3825.49,1489.01,204.1541899,-29.5465465,24.025,24.587,0.018,1.02,61.2,-0.009,0.05,0.0,0,21.983,21.972,0.009,1.12,114.9,0.028,0.055,0.002,0
13,2226.59,1376.15,204.1718876,-29.5626269,24.058,24.615,0.018,1.05,61.0,-0.01,0.054,0.0,0,22.048,22.037,0.01,0.97,112.2,0.008,0.066,0.0,0
14,2612.35,1726.59,204.1710841,-29.5554224,24.185,24.757,0.019,1.0,56.5,-0.001,0.042,0.001,0,22.083,22.071,0.01,1.05,110.0,0.031,0.011,0.001,0
15,731.04,2643.06,204.2031663,-29.5635434,23.329,23.559,0.013,1.01,85.7,0.004,0.004,0.002,0,22.585,22.577,0.014,1.1,79.3,0.021,0.032,0.002,0
16,3652.57,3959.16,204.1827246,-29.5227481,24.152,24.699,0.019,1.12,56.2,0.001,0.009,0.0,0,22.198,22.187,0.011,0.98,102.4,0.016,0.007,0.0,0
17,2435.03,2621.78,204.1827822,-29.5478668,24.113,24.656,0.019,1.04,58.6,-0.016,0.104,0.024,0,22.18,22.169,0.01,1.1,103.5,0.016,0.018,0.02,0
18,760.33,3733.4,204.2145109,-29.5520497,23.663,24.053,0.014,1.0,76.4,0.008,0.027,0.001,0,22.414,22.404,0.012,1.13,92.2,0.028,0.014,0.0,0
19,2611.15,1999.97,204.1740305,-29.5526211,23.719,24.125,0.015,1.23,73.4,0.009,0.068,0.0,0,22.41,22.401,0.012,1.2,92.0,0.029,0.047,0.0,0
20,3689.43,1132.12,204.1519703,-29.5514872,24.269,24.824,0.02,1.17,54.0,-0.001,0.113,0.001,0,22.269,22.258,0.011,1.08,100.3,0.025,0.017,0.001,0
21,2637.64,1438.99,204.1677001,-29.5581451,24.476,25.046,0.023,1.01,46.5,0.011,0.047,0.074,0,22.385,22.373,0.012,0.99,92.3,0.026,0.033,0.043,0
22,296.42,1042.56,204.1911425,-29.5840664,24.575,25.163,0.024,1.19,44.8,-0.002,0.072,0.001,0,22.366,22.355,0.012,1.19,94.1,0.016,-0.031,0.0,0
23,1608.97,340.54,204.1680832,-29.5790436,23.71,23.958,0.014,0.94,75.3,0.007,0.104,0.0,0,22.916,22.908,0.015,1.09,71.0,0.004,0.027,0.0,0
24,1984.58,1199.58,204.172856,-29.5667014,24.583,25.148,0.024,1.27,44.4,0.013,0.02,0.0,0,22.527,22.516,0.013,1.07,86.5,0.009,0.028,0.0,0
25,1692.65,2228.75,204.1873478,-29.5588364,24.304,24.79,0.021,0.93,52.2,-0.011,0.102,0.003,0,22.661,22.651,0.014,1.0,80.1,-0.009,-0.001,0.003,0
26,863.37,1180.93,204.1859191,-29.5773537,24.64,25.192,0.026,1.13,42.3,0.024,0.047,0.0,0,22.663,22.652,0.014,1.22,79.5,0.011,0.066,0.0,0
27,1953.5,2841.36,204.1908321,-29.5500997,24.197,24.617,0.02,1.0,55.6,0.005,0.122,0.014,0,22.836,22.826,0.015,0.99,72.3,0.012,0.021,0.008,0
28,2738.73,3816.34,204.1919995,-29.5327427,24.238,24.662,0.02,1.0,55.3,0.025,0.075,0.0,0,22.86,22.85,0.015,0.96,73.2,0.002,0.041,0.0,0
29,1890.9,1335.17,204.1754185,-29.5661805,24.02,24.315,0.02,1.16,54.2,0.014,-0.031,0.034,2,23.086,23.078,0.017,1.04,62.6,0.002,0.071,0.003,0
30,2383.95,769.09,204.1635142,-29.5674037,24.608,25.131,0.024,1.1,44.5,-0.003,0.083,0.0,0,22.788,22.778,0.015,1.15,73.2,0.011,0.03,0.068,0
31,1107.51,1114.63,204.1823197,-29.5757583,25.296,25.928,0.039,1.0,27.7,0.046,0.024,0.003,0,22.734,22.721,0.015,1.42,70.9,0.024,0.027,0.005,2
32,1939.93,632.57,204.1673014,-29.5729512,23.963,24.159,0.017,0.94,64.9,0.001,0.078,0.009,0,23.309,23.301,0.019,1.08,56.7,-0.031,0.001,0.004,0
33,3622.39,4182.23,204.185473,-29.5207346,25.182,25.786,0.035,0.94,30.9,-0.031,0.151,0.002,0,22.854,22.842,0.015,1.24,72.3,-0.005,0.009,0.002,0
