,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,3293.11,3948.84,189.0765278,26.0123979,21.359,21.732,0.005,1.82,202.8,0.018,0.012,0.0,2,20.175,20.165,0.002,1.22,459.5,0.009,0.012,0.0,2
1,3599.63,1931.07,189.1014516,25.9950241,22.759,22.899,0.004,1.76,247.2,-0.01,0.069,0.04,2,22.248,22.241,0.004,1.65,292.3,-0.048,0.058,0.041,0
2,4159.5,3951.03,189.0699756,26.0019029,22.88,22.948,0.004,1.63,249.9,0.003,0.385,0.045,2,22.555,22.548,0.007,1.71,165.8,0.019,0.507,0.052,2
3,3879.01,3583.7,189.077045,26.0028199,22.816,22.827,0.003,1.62,321.0,0.016,0.059,0.073,2,22.745,22.739,0.005,1.49,205.6,0.034,0.159,0.069,0
4,4194.89,3978.37,189.0693401,26.0016585,23.149,23.212,0.005,1.56,224.8,0.019,0.355,0.05,0,22.82,22.813,0.008,1.55,142.4,0.079,0.457,0.035,0
5,3924.29,3453.58,189.0784602,26.0013901,23.815,24.283,0.006,1.23,182.8,-0.023,0.135,0.08,2,22.253,22.243,0.004,1.21,266.6,-0.006,0.038,0.059,0
6,1997.37,1554.12,189.1186071,26.0119056,23.769,24.113,0.006,1.22,167.1,0.009,0.045,0.001,2,22.681,22.672,0.005,1.07,233.0,0.022,0.02,0.003,2
7,3844.21,1010.33,189.1120337,25.9858248,23.79,24.066,0.006,1.25,189.5,0.005,0.017,0.0,2,22.914,22.905,0.005,1.07,208.5,0.006,-0.003,0.0,2
8,2761.89,587.94,189.1258853,25.9960916,23.84,23.854,0.008,1.1,135.1,0.012,0.014,0.0,2,23.751,23.745,0.008,1.02,132.8,0.027,0.038,0.002,0
9,4041.35,3137.94,189.0818388,25.9978343,24.523,24.887,0.009,1.35,119.8,0.068,0.259,0.047,2,23.366,23.357,0.008,1.82,132.2,0.107,0.367,0.062,0
