,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
683,2648.43,4059.37,184.3871426,37.7903396,26.617,26.891,0.102,1.03,10.7,0.048,0.703,0.0,0,25.748,25.739,0.106,1.08,10.3,0.074,0.508,0.0,0
684,2230.28,4035.79,184.3923565,37.7944463,26.608,26.865,0.131,0.96,8.3,-0.027,0.063,0.005,2,25.79,25.782,0.139,1.07,7.8,0.002,0.337,0.008,2
685,558.36,4005.62,184.4123702,37.8114586,26.719,27.056,0.11,0.99,9.8,-0.043,0.139,0.011,0,25.654,25.646,0.1,1.1,10.9,-0.008,0.161,0.005,0
686,2703.58,4023.44,184.386966,37.7894361,26.646,26.946,0.109,1.08,10.0,-0.005,0.343,0.014,0,25.697,25.689,0.109,0.87,10.0,-0.004,0.128,0.021,0
687,1600.1,4060.49,184.3994268,37.8011934,26.606,26.849,0.102,0.94,10.7,0.06,0.36,0.001,0,25.825,25.817,0.113,0.95,9.6,0.045,-0.31,0.012,0
688,2671.34,4162.16,184.3855284,37.7910555,26.658,26.939,0.106,1.01,10.3,0.016,0.035,0.059,0,25.769,25.761,0.112,1.19,9.7,0.094,0.215,0.073,0
689,246.76,3682.21,184.4202609,37.8116819,26.927,27.353,0.138,1.05,7.8,0.056,0.795,0.0,0,25.543,25.533,0.094,1.05,11.5,0.084,0.159,0.0,0
690,689.02,4032.3,184.4104874,37.8103547,26.812,27.176,0.119,1.05,9.1,-0.008,0.198,0.018,0,25.658,25.649,0.102,0.99,10.7,0.064,0.057,0.012,0
691,298.96,3516.55,184.4218165,37.8096058,26.6,26.87,0.105,1.05,10.4,0.03,0.131,0.0,0,25.742,25.733,0.11,1.11,9.9,-0.032,0.674,0.0,0
692,3614.86,4026.42,184.3762391,37.7800369,26.607,26.872,0.101,1.09,10.8,0.016,0.527,0.001,0,25.766,25.758,0.106,0.97,10.3,0.077,0.379,0.001,0
693,436.48,3885.59,184.4153719,37.811606,26.675,26.918,0.114,0.99,9.5,0.093,0.264,0.0,0,25.895,25.887,0.122,1.08,8.9,0.077,0.142,0.004,0
694,2690.42,4156.49,184.3853788,37.7908056,26.652,26.951,0.105,1.04,10.4,-0.022,0.703,0.01,0,25.708,25.699,0.103,0.9,10.6,0.04,-0.193,0.001,0
695,3161.7,3731.24,184.3854172,37.7819886,26.566,26.792,0.096,0.98,11.3,0.003,0.569,0.0,0,25.834,25.826,0.113,1.01,9.6,0.065,0.037,0.005,0
696,541.57,3933.53,184.4135109,37.8109637,26.737,27.071,0.116,1.03,9.3,0.077,0.46,0.002,0,25.682,25.673,0.103,1.13,10.6,0.072,0.141,0.003,0
697,2507.95,4137.17,184.3877721,37.792514,26.653,26.928,0.102,0.98,10.6,-0.01,0.637,0.001,0,25.781,25.773,0.107,0.95,10.2,-0.027,0.306,0.001,0
698,1741.75,2823.69,184.4139518,37.7882608,26.572,26.837,0.103,1.15,10.5,0.042,0.288,0.013,0,25.73,25.722,0.112,0.98,9.7,0.018,0.259,0.028,0
699,440.78,3868.43,184.4155461,37.8114024,26.612,26.854,0.106,1.05,10.2,0.099,0.304,0.001,0,25.834,25.826,0.119,1.14,9.1,0.027,0.111,0.004,0
700,1292.58,3291.9,184.4130952,37.7972475,26.669,26.984,0.111,1.07,9.8,0.066,0.085,0.001,0,25.676,25.668,0.103,1.0,10.6,-0.064,0.244,0.0,0
701,3329.78,4016.91,184.3797068,37.7828979,26.664,26.935,0.106,0.94,10.2,0.006,0.082,0.005,0,25.805,25.797,0.109,1.0,9.9,0.012,0.213,0.001,0
702,3856.32,4153.85,184.3717397,37.7787199,26.749,27.087,0.114,0.94,9.5,0.029,0.276,0.0,0,25.677,25.669,0.099,0.88,10.9,-0.016,0.323,0.0,0
703,2650.25,4148.82,184.3859504,37.79115,26.649,26.887,0.102,0.9,10.6,-0.009,0.441,0.017,0,25.884,25.876,0.12,1.04,9.1,0.134,0.725,0.031,0
704,2249.31,1709.7,184.4225719,37.7726818,26.457,26.54,0.093,0.97,11.7,-0.039,0.498,0.03,0,26.081,26.074,0.143,0.99,7.6,-0.018,0.162,0.0,0
705,1705.55,1003.59,184.4381885,37.7717553,26.635,26.919,0.102,1.11,10.6,-0.019,0.107,0.0,0,25.736,25.728,0.104,1.05,10.5,0.033,0.893,0.0,0
706,2310.71,4122.38,184.3902795,37.7944171,26.756,27.059,0.116,1.08,9.4,0.106,0.248,0.002,0,25.801,25.792,0.152,0.86,7.1,-0.004,0.016,0.002,0
707,4079.96,4043.8,184.3705578,37.7753863,26.608,26.859,0.106,1.0,10.2,0.064,0.557,0.001,0,25.807,25.799,0.114,0.82,9.5,0.041,-0.141,0.0,0
708,1102.45,4083.16,184.4049697,37.8065506,26.739,27.069,0.109,0.92,10.0,0.009,0.596,0.007,0,25.695,25.686,0.102,0.95,10.6,0.037,0.349,0.009,0
709,2046.76,4033.72,184.3945366,37.7963254,26.563,26.765,0.099,0.96,11.0,0.047,0.373,0.001,0,25.895,25.887,0.118,1.02,9.2,-0.014,0.373,0.002,0
710,3053.39,2856.13,184.3981399,37.7749964,26.596,26.851,0.101,0.96,10.8,-0.012,0.326,0.005,0,25.78,25.772,0.113,1.12,9.6,0.038,0.629,0.077,0
711,3084.91,3971.13,184.383178,37.7850066,26.593,26.828,0.1,0.86,10.9,-0.016,0.28,0.001,0,25.836,25.828,0.113,1.02,9.6,0.114,0.777,0.001,0
