,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,2693.04,364.38,35.6971288,42.4273614,21.054,21.484,0.001,1.63,937.2,-0.003,0.046,0.0,0,19.655,19.646,0.001,1.41,1192.3,0.011,0.042,0.0,0
1,2960.88,608.08,35.6990994,42.4321754,22.755,23.409,0.003,1.39,402.9,-0.012,0.069,0.0,0,19.97,19.958,0.001,1.71,1025.5,-0.022,0.058,0.0,0
2,1483.33,4082.3,35.7700746,42.4343914,22.455,23.026,0.002,1.91,464.7,0.013,0.041,0.0,0,20.361,20.35,0.001,1.88,842.0,-0.004,0.027,0.0,0
3,2361.15,246.91,35.6978207,42.4224988,21.796,22.139,0.002,2.54,654.2,-0.005,0.049,0.0,0,20.711,20.702,0.002,1.51,718.9,0.005,0.031,0.0,0
4,2478.59,4116.66,35.7626129,42.447078,22.883,23.459,0.003,1.74,369.8,0.02,0.052,0.0,0,20.751,20.74,0.002,1.69,687.5,0.009,0.038,0.0,2
5,2717.49,422.24,35.6979135,42.4280137,23.445,23.976,0.004,1.29,273.2,0.001,0.032,0.0,0,21.579,21.568,0.002,1.21,452.6,0.007,0.017,0.001,0
6,1944.05,3975.69,35.7645389,42.4395333,23.749,24.279,0.005,1.26,233.9,0.017,0.05,0.0,0,21.892,21.881,0.003,1.32,391.8,0.012,0.039,0.0,0
7,3262.01,668.77,35.6976921,42.4363131,25.087,25.721,0.011,1.13,102.1,0.013,0.066,0.005,2,22.508,22.495,0.004,1.08,279.9,0.009,0.003,0.007,0
8,2766.27,168.26,35.6932051,42.4271074,24.293,24.755,0.006,1.14,170.9,-0.007,0.08,0.002,0,22.76,22.75,0.004,1.31,246.2,-0.007,0.044,0.004,0
9,2062.4,1912.05,35.7285202,42.4287002,24.549,25.068,0.007,1.25,146.7,0.017,-0.001,0.0,0,22.746,22.735,0.004,1.18,249.9,0.021,0.032,0.0,0
10,3000.99,2832.98,35.7365731,42.4459675,24.88,25.452,0.009,1.18,122.3,0.006,0.019,0.0,0,22.782,22.771,0.004,1.03,247.7,0.009,0.012,0.0,0
11,2769.7,2628.79,35.7349748,42.4418483,25.193,25.807,0.011,1.11,97.6,0.013,0.023,0.0,0,22.793,22.781,0.005,1.18,233.8,0.009,0.008,0.0,2
12,3129.02,185.43,35.6905594,42.4317573,24.778,25.276,0.009,1.04,120.6,0.013,0.118,0.017,0,23.081,23.07,0.006,1.09,194.8,0.014,0.049,0.019,0
13,3952.63,3676.52,35.7432093,42.4629359,24.829,25.317,0.009,1.14,126.0,-0.001,0.056,0.0,0,23.175,23.165,0.005,1.08,198.6,0.001,0.041,0.0,0
14,2441.15,683.81,35.7045931,42.4261123,24.895,25.372,0.009,1.23,121.6,-0.004,0.018,0.001,0,23.294,23.284,0.006,1.03,185.4,0.006,0.031,0.002,0
15,1353.51,1408.16,35.7256961,42.4168029,25.467,26.048,0.014,1.14,80.3,0.016,0.125,0.001,2,23.312,23.3,0.006,1.1,179.3,0.023,0.033,0.0,0
16,3885.39,3378.88,35.7386944,42.460316,25.212,25.73,0.011,1.05,99.4,-0.01,-0.012,0.001,0,23.416,23.405,0.006,1.12,170.4,0.013,0.02,0.001,0
17,853.62,453.83,35.7135342,42.4048355,25.799,26.414,0.016,1.08,67.1,0.002,0.089,0.009,0,23.389,23.377,0.006,1.02,175.5,0.0,0.039,0.002,0
18,174.97,2380.57,35.7517405,42.4078302,25.528,26.103,0.014,1.13,78.5,-0.003,0.114,0.001,0,23.409,23.397,0.006,1.18,170.9,0.016,0.028,0.001,0
19,643.32,1436.76,35.7319257,42.408069,24.959,25.386,0.01,1.26,113.4,0.028,0.435,0.002,0,23.572,23.562,0.007,1.25,153.5,0.021,0.285,0.002,0
20,2774.15,1503.29,35.7158173,42.4351828,25.229,25.731,0.011,1.12,95.2,0.017,0.034,0.0,2,23.511,23.501,0.007,1.14,161.4,0.013,0.02,0.0,0
21,3291.47,1672.18,35.7144993,42.4426775,25.373,25.893,0.012,1.12,88.2,0.02,0.02,0.0,0,23.566,23.555,0.007,1.1,156.4,0.014,0.015,0.0,0
22,2899.47,4051.53,35.7581026,42.4519674,25.486,26.019,0.013,1.06,82.3,-0.001,0.015,0.006,0,23.615,23.604,0.007,1.09,152.0,0.01,0.06,0.008,0
23,1640.2,2328.19,35.7390043,42.4258909,25.74,26.309,0.016,1.02,69.0,-0.021,0.07,0.012,0,23.658,23.647,0.008,1.01,139.7,0.005,0.003,0.014,0
