X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
2906.05,1653.11,204.2278066,-29.6821132,21.819,21.866,0.004,1.35,249.0,0.022,0.033,0.0,0,21.593,21.586,0.007,1.47,151.7,0.009,0.033,0.0,0
2484.5,3703.18,204.2503619,-29.7035824,22.557,22.878,0.006,1.57,170.5,0.025,0.073,0.0,0,21.542,21.534,0.007,1.25,156.4,0.022,0.048,0.0,0
2828.55,1784.78,204.2287811,-29.6840588,22.44,22.661,0.006,1.26,181.6,0.028,0.042,0.0,0,21.72,21.712,0.008,1.07,142.4,0.025,0.034,0.0,0
1304.53,68.34,204.1922628,-29.6871651,22.661,23.022,0.01,1.24,113.5,0.011,0.027,0.067,0,21.515,21.506,0.01,1.24,110.4,0.014,0.037,0.065,0
2563.58,750.66,204.2129188,-29.6785933,22.934,23.315,0.008,1.19,141.8,-0.013,0.022,0.0,0,21.719,21.71,0.008,1.02,143.6,0.012,0.025,0.0,0
2740.71,2383.89,204.2357041,-29.689936,23.425,23.941,0.012,1.1,89.2,0.015,0.062,0.001,2,21.637,21.626,0.007,1.31,148.6,0.009,0.023,0.0,0
3111.64,1638.89,204.2295543,-29.6796873,23.598,24.143,0.011,1.17,98.2,-0.004,-0.004,0.0,0,21.658,21.647,0.007,0.98,147.4,0.016,0.016,0.0,0
3171.09,3378.53,204.2526127,-29.6932179,22.794,22.858,0.007,1.16,151.6,0.001,0.014,0.0,0,22.5,22.494,0.012,0.88,93.8,0.029,-0.005,0.0,0
1737.6,2227.94,204.2242609,-29.6999332,23.335,23.793,0.01,1.22,111.7,-0.002,0.033,0.0,0,21.817,21.807,0.008,1.81,134.0,-0.003,0.002,0.0,0
2404.92,2477.53,204.2337601,-29.6944731,24.038,24.653,0.014,1.17,75.8,0.002,0.055,0.0,0,21.629,21.617,0.007,1.24,149.6,-0.015,-0.021,0.0,0
1000.21,2932.47,204.2264436,-29.7139691,23.507,24.007,0.011,1.22,102.0,0.018,0.064,0.0,0,21.8,21.789,0.008,1.2,135.1,0.032,0.043,0.0,0
1495.42,1366.51,204.2108438,-29.6956212,24.107,24.729,0.015,1.21,71.2,0.031,0.056,0.0,0,21.635,21.623,0.008,1.05,143.7,0.017,0.029,0.0,0
2030.41,1553.23,204.2182866,-29.6911355,22.845,22.848,0.007,1.27,146.9,0.012,0.059,0.0,0,22.809,22.803,0.014,1.17,78.3,0.028,0.103,0.0,0
156.44,1300.91,204.1974082,-29.7101269,23.775,24.327,0.013,1.49,86.7,0.032,0.078,0.0,0,21.789,21.777,0.008,1.41,134.8,0.038,0.06,0.0,0
2824.91,3726.75,204.253865,-29.6999496,23.097,23.337,0.008,1.18,129.3,-0.004,0.054,0.0,0,22.326,22.318,0.01,1.05,103.7,0.016,0.053,0.0,0
1181.25,3667.86,204.2376586,-29.7179377,23.321,23.687,0.012,1.22,89.8,0.022,0.03,0.018,2,22.156,22.146,0.01,1.12,112.9,0.022,0.028,0.004,0
223.0,2884.13,204.2185125,-29.7223062,23.526,23.989,0.011,1.23,101.2,0.0,0.071,0.0,0,21.987,21.977,0.009,1.45,122.7,0.019,0.046,0.0,0
2126.5,3668.37,204.2465479,-29.707321,23.159,23.41,0.009,1.26,124.6,0.015,0.048,0.0,0,22.357,22.349,0.011,1.04,101.7,0.009,0.028,0.0,0
1128.68,2179.45,204.2179107,-29.7063784,23.287,23.639,0.013,1.47,81.4,0.003,0.076,0.0,0,22.171,22.162,0.014,1.28,78.1,0.028,0.011,0.008,0
540.55,1469.3,204.2031973,-29.7071872,23.164,23.366,0.009,1.49,123.4,0.034,0.089,0.0,0,22.494,22.486,0.012,1.11,93.0,0.048,0.058,0.0,0
2684.79,1845.74,204.2282187,-29.6861716,23.436,23.826,0.011,1.18,98.6,0.022,0.059,0.0,0,22.183,22.174,0.01,1.2,106.0,0.031,0.065,0.0,0
3439.03,2059.91,204.2380749,-29.6794455,23.041,23.076,0.008,1.34,132.4,0.013,0.038,0.0,0,22.861,22.854,0.014,1.17,76.0,0.016,0.084,0.001,0
1580.3,1202.86,204.2095252,-29.6933315,23.1,23.146,0.009,1.48,127.5,0.006,0.042,0.0,0,22.874,22.867,0.014,1.1,75.5,0.044,0.03,0.0,0
517.27,1244.68,204.2000734,-29.7056145,23.233,23.428,0.009,1.48,119.4,0.04,0.058,0.0,0,22.586,22.578,0.012,1.32,88.9,0.046,0.057,0.001,0
1057.26,306.62,204.1930193,-29.6918885,23.273,23.495,0.009,1.33,117.9,-0.005,0.062,0.026,0,22.552,22.544,0.012,1.13,91.7,0.003,0.041,0.024,0
1783.42,1810.73,204.2192955,-29.6960125,23.534,23.914,0.011,1.52,100.4,0.015,0.109,0.0,0,22.323,22.314,0.011,1.16,102.1,0.016,0.086,0.0,0
3740.52,2088.44,204.2412761,-29.6762908,23.83,24.296,0.014,1.12,78.0,0.012,0.099,0.0,2,22.278,22.268,0.01,1.12,105.5,0.012,0.033,0.0,0
2421.15,1000.14,204.2148063,-29.6822302,23.33,23.438,0.01,1.1,114.2,0.011,0.009,0.0,0,22.898,22.891,0.014,1.06,75.5,-0.001,0.017,0.0,0
2552.78,2386.98,204.2339782,-29.6920727,24.918,25.577,0.025,1.19,43.8,-0.016,0.047,0.008,0,22.071,22.058,0.009,1.05,117.5,0.001,0.037,0.002,0
1806.61,1478.36,204.215215,-29.6930385,23.613,23.957,0.011,1.15,96.0,0.027,0.059,0.001,0,22.523,22.514,0.012,1.15,91.5,0.026,0.008,0.001,0
