X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
2714.74,199.7,114.5742035,65.7299823,22.853,23.164,0.01,1.2,113.4,0.016,0.051,0.0,0,21.873,21.864,0.009,1.13,118.0,-0.004,0.028,0.0,0
1840.26,2500.12,114.4912325,65.7323132,24.211,24.857,0.019,1.03,56.0,0.007,0.08,0.0,0,21.513,21.5,0.007,1.01,148.6,0.01,0.015,0.0,0
2616.78,3783.69,114.4574049,65.7167971,23.97,24.55,0.02,0.98,53.9,0.027,0.068,0.0,2,21.813,21.801,0.008,0.94,127.9,0.013,0.037,0.008,0
1910.86,3638.51,114.4551341,65.7267634,23.825,24.381,0.015,1.16,70.6,0.027,0.036,0.006,0,21.822,21.811,0.009,0.94,127.5,0.021,0.026,0.001,0
525.03,2500.74,114.478252,65.7497851,25.601,26.295,0.048,1.25,22.8,0.047,0.119,0.0,0,21.859,21.844,0.009,1.21,123.8,-0.01,-0.024,0.001,0
1909.86,2786.02,114.4826761,65.7302311,23.783,24.182,0.015,0.9,71.7,-0.016,0.031,0.001,0,22.502,22.492,0.012,1.04,87.8,0.028,0.037,0.002,0
3535.02,3099.32,114.4885536,65.7073703,23.64,23.931,0.014,1.2,78.0,0.025,0.042,0.0,0,22.719,22.71,0.014,0.99,78.4,0.023,0.037,0.0,0
2015.24,2060.02,114.5071827,65.7317687,24.859,25.484,0.029,1.02,37.0,0.017,0.041,0.006,0,22.36,22.348,0.012,1.13,94.1,0.004,-0.008,0.004,0
2873.77,2795.79,114.4918514,65.7173846,24.894,25.52,0.029,1.01,37.7,-0.002,0.048,0.0,0,22.389,22.377,0.012,0.99,94.0,0.026,-0.018,0.0,0
3233.47,4190.38,114.4503503,65.7069556,24.216,24.661,0.019,1.06,57.3,0.026,0.012,0.0,0,22.751,22.741,0.014,1.14,77.9,0.008,0.052,0.0,0
1203.81,3761.77,114.4441729,65.7356559,25.488,26.148,0.043,1.01,25.5,-0.017,0.128,0.001,0,22.623,22.61,0.013,1.09,80.5,0.008,0.035,0.0,0
973.99,65.72,114.5614582,65.7536597,23.803,23.947,0.015,1.06,71.0,0.004,0.043,0.0,0,23.285,23.278,0.019,1.1,57.4,0.015,0.042,0.0,0
3267.03,4173.1,114.4512391,65.7065799,24.463,24.874,0.022,0.9,49.7,0.014,0.007,0.0,0,23.133,23.124,0.017,0.97,63.0,0.014,0.034,0.0,0
4033.26,3378.0,114.4844569,65.6996224,25.467,26.08,0.043,0.84,25.1,0.016,0.041,0.012,0,23.071,23.059,0.017,0.77,63.5,0.004,0.035,0.009,0
1754.44,3996.01,114.4420383,65.7273912,24.805,25.269,0.027,1.01,39.9,0.005,0.045,0.002,0,23.267,23.257,0.019,1.01,57.2,-0.001,0.029,0.009,0
2941.69,2882.31,114.4897245,65.716132,24.448,24.69,0.022,0.82,49.3,0.012,0.062,0.0,0,23.67,23.662,0.024,1.02,45.3,0.03,-0.009,0.0,0
1344.23,3693.35,114.4477707,65.7340682,24.601,24.927,0.024,1.04,45.1,0.038,0.029,0.0,0,23.571,23.563,0.023,1.05,48.2,0.046,-0.004,0.001,0
621.92,3759.45,114.4385012,65.7433948,25.386,25.936,0.069,1.04,15.7,-0.017,0.166,0.0,2,23.419,23.408,0.023,0.97,47.7,0.035,-0.017,0.0,0
1152.33,674.48,114.5435101,65.7488335,24.349,24.464,0.021,1.09,52.1,0.011,0.072,0.0,0,23.898,23.891,0.028,1.11,39.4,0.046,0.025,0.0,0
896.46,1160.14,114.5252804,65.7502727,24.627,24.961,0.025,1.15,43.5,0.008,0.058,0.0,0,23.572,23.563,0.023,1.01,47.6,0.019,0.062,0.0,0
2365.48,991.22,114.5451819,65.7314323,24.826,25.242,0.028,0.98,38.9,0.004,0.036,0.0,0,23.477,23.468,0.021,1.04,51.2,0.007,0.044,0.0,0
3426.01,836.32,114.5605963,65.7179621,24.604,24.91,0.025,1.17,42.8,0.014,0.023,0.011,0,23.638,23.629,0.024,0.91,46.2,0.019,0.096,0.0,0
4063.92,3784.29,114.4716423,65.6975695,24.822,25.196,0.028,1.09,39.4,0.018,0.053,0.0,0,23.63,23.621,0.023,1.02,46.6,0.024,0.069,0.0,0
1140.83,2384.87,114.4880694,65.7420727,24.862,25.261,0.03,1.21,36.6,-0.012,0.128,0.0,0,23.578,23.569,0.024,1.15,45.6,0.042,0.057,0.0,0
3312.19,2086.7,114.5190729,65.7144269,24.772,25.14,0.028,0.89,39.3,0.013,0.014,0.023,0,23.603,23.594,0.023,1.09,46.3,0.027,0.001,0.02,0
3648.47,4008.01,114.4603285,65.7021821,24.834,25.197,0.027,0.93,39.8,-0.003,0.024,0.0,0,23.682,23.673,0.024,1.0,46.0,-0.014,0.078,0.0,0
3860.37,1134.77,114.5552112,65.7109853,24.812,25.175,0.028,0.97,38.2,0.007,0.062,0.077,0,23.658,23.649,0.024,0.91,44.7,0.009,0.036,0.061,0
1999.41,109.1,114.5701187,65.7398555,24.881,25.251,0.028,1.01,38.6,-0.016,0.1,0.0,0,23.705,23.696,0.024,1.05,45.4,-0.003,0.013,0.001,0
2865.99,3111.43,114.4815772,65.7162102,24.891,25.253,0.029,1.09,37.7,0.033,0.104,0.002,0,23.743,23.734,0.025,0.92,43.3,0.028,0.125,0.004,0
949.25,1788.17,114.505482,65.7470325,24.892,25.247,0.03,1.09,36.2,0.012,0.09,0.0,0,23.767,23.758,0.026,1.13,41.7,0.006,0.07,0.0,0
3476.28,2257.3,114.5151738,65.7115569,24.958,25.314,0.03,0.99,35.6,0.004,0.019,0.015,0,23.828,23.82,0.027,1.16,40.7,0.025,0.078,0.01,0
3820.46,2125.3,114.5228192,65.7075167,24.968,25.324,0.031,1.07,34.7,0.005,0.123,0.021,0,23.84,23.831,0.027,1.03,40.1,-0.013,0.045,0.001,0
2227.83,1563.56,114.525324,65.7309504,25.048,25.365,0.032,1.05,33.4,0.005,0.027,0.001,0,24.045,24.036,0.03,1.08,35.7,0.006,0.212,0.002,0
490.51,3929.21,114.4317139,65.7444513,25.113,25.419,0.033,0.98,32.7,0.037,0.04,0.0,0,24.145,24.137,0.032,1.0,34.1,0.004,0.061,0.0,0
2252.93,2813.58,114.4851645,65.7255614,25.187,25.544,0.038,1.11,28.6,0.028,0.027,0.0,0,24.056,24.047,0.034,0.88,32.1,0.005,0.015,0.0,0
2064.34,1420.77,114.5283339,65.7336999,25.186,25.534,0.036,1.07,30.2,0.058,0.238,0.005,0,24.083,24.074,0.031,0.97,34.6,0.037,0.064,0.001,0
2490.24,1411.2,114.5328285,65.7280787,25.118,25.398,0.036,1.06,30.4,-0.021,0.105,0.002,0,24.23,24.222,0.034,1.05,31.5,-0.01,0.047,0.007,0
1532.78,1019.47,114.5360879,65.7423846,25.243,25.564,0.038,1.19,28.7,-0.001,0.091,0.0,2,24.229,24.22,0.036,1.03,29.9,0.018,-0.006,0.0,2
3846.29,4217.66,114.4555095,65.6987042,25.52,25.938,0.042,0.9,25.7,-0.026,-0.072,0.0,0,24.164,24.154,0.032,1.02,34.3,-0.006,0.126,0.0,0
2147.59,1506.4,114.5263834,65.7322477,25.287,25.625,0.038,1.03,28.6,0.037,-0.003,0.015,0,24.217,24.208,0.034,1.08,31.5,0.033,0.168,0.025,0
2446.56,1776.37,114.5205943,65.7271839,25.289,25.626,0.041,1.07,26.3,0.016,-0.019,0.001,0,24.223,24.214,0.039,1.12,27.5,-0.024,0.05,0.004,2
741.06,3300.65,114.4545128,65.7436734,25.341,25.657,0.039,1.08,27.7,-0.004,0.164,0.037,0,24.343,24.334,0.037,1.1,29.6,0.008,0.028,0.0,0
3418.68,1008.04,114.5549745,65.7173669,25.286,25.596,0.037,1.18,29.2,-0.021,0.328,0.06,0,24.307,24.299,0.036,1.07,30.4,0.01,0.233,0.049,0
3544.9,2105.02,114.5207675,65.7112605,25.289,25.611,0.039,0.96,28.2,0.001,0.043,0.025,0,24.272,24.264,0.036,1.0,30.2,0.023,0.143,0.019,0
952.34,563.49,114.5451362,65.7519393,25.366,25.695,0.039,0.99,27.8,0.034,0.147,0.0,0,24.327,24.319,0.036,1.03,30.3,0.015,0.055,0.0,0
2264.12,3388.2,114.4667058,65.7230852,25.429,25.778,0.04,0.89,27.1,-0.022,0.145,0.001,0,24.323,24.314,0.036,0.95,30.3,0.048,0.14,0.0,0
2235.95,2785.23,114.4859135,65.7259018,27.141,27.81,0.147,1.05,7.4,0.041,0.057,0.0,0,24.153,24.14,0.033,1.07,33.3,0.031,0.111,0.0,0
1422.54,3598.7,114.4516029,65.7334118,25.442,25.76,0.04,0.95,26.8,-0.013,0.066,0.0,0,24.437,24.429,0.038,1.08,28.4,0.021,0.164,0.001,0
470.18,939.07,114.5282407,65.7568305,25.446,25.788,0.042,1.09,25.7,0.065,0.141,0.0,0,24.365,24.356,0.037,1.1,29.2,0.032,0.071,0.0,0
3726.28,3664.36,114.47219,65.7025411,25.385,25.655,0.04,0.99,27.4,0.007,0.163,0.001,0,24.529,24.521,0.042,1.02,25.8,0.038,0.086,0.018,0
3153.73,2995.24,114.4881632,65.7128576,25.49,25.829,0.042,0.99,25.7,0.024,0.077,0.0,0,24.418,24.409,0.038,0.98,28.4,0.038,0.157,0.0,0
4091.53,3787.84,114.4717995,65.6971883,25.542,25.893,0.043,1.02,25.1,0.015,0.076,0.0,0,24.427,24.418,0.038,0.95,28.4,0.005,0.077,0.0,0
2530.88,3278.7,114.4728726,65.7199849,25.512,25.824,0.043,0.94,25.5,-0.009,0.008,0.002,0,24.528,24.519,0.041,1.05,26.7,-0.021,0.171,0.001,0
1022.22,2519.88,114.4825344,65.743102,25.49,25.798,0.043,1.13,25.1,-0.007,0.15,0.008,0,24.516,24.508,0.042,0.9,25.8,0.033,0.212,0.005,0
1727.13,3144.5,114.4692882,65.7312067,25.516,25.815,0.045,1.11,24.3,0.046,0.039,0.0,0,24.571,24.563,0.044,1.03,24.5,0.027,0.067,0.001,0
