X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3928.71,695.65,114.8061178,65.5920731,22.79,23.143,0.009,1.28,117.5,0.006,0.091,0.007,0,21.672,21.663,0.008,1.27,131.7,0.014,0.028,0.003,0
1109.55,362.32,114.8716477,65.6207479,22.696,22.97,0.009,1.34,121.9,-0.012,0.018,0.067,0,21.827,21.819,0.009,1.06,121.6,-0.002,0.022,0.046,0
1530.63,272.21,114.8656281,65.6153075,23.859,24.448,0.016,1.14,66.4,-0.005,0.031,0.001,0,21.649,21.637,0.008,1.25,135.8,-0.03,0.042,0.002,0
3869.91,814.12,114.8040972,65.5937095,24.113,24.71,0.019,1.19,56.3,0.018,0.109,0.013,0,21.842,21.831,0.009,1.05,121.0,0.008,0.044,0.011,0
1106.98,2288.52,114.8196536,65.6367309,23.246,23.569,0.012,1.28,91.3,0.007,0.088,0.012,0,22.227,22.218,0.011,1.08,97.1,0.0,0.064,0.003,0
1188.52,2322.1,114.8171094,65.6360995,23.284,23.601,0.012,1.35,90.3,0.01,0.098,0.013,0,22.283,22.275,0.012,1.07,93.6,0.02,0.029,0.014,0
2920.45,4156.99,114.7327611,65.6319479,23.498,23.869,0.013,0.96,81.9,0.005,0.041,0.003,0,22.318,22.309,0.011,1.08,94.7,0.005,0.045,0.005,0
3120.14,4143.77,114.7291201,65.6296092,23.304,23.523,0.012,1.18,90.9,-0.022,0.018,0.0,0,22.59,22.582,0.013,1.2,81.3,-0.037,0.08,0.002,0
1302.13,2323.06,114.8148039,65.6348403,23.191,23.294,0.011,1.39,95.0,0.0,0.067,0.021,0,22.769,22.762,0.015,0.98,71.9,0.005,0.061,0.02,0
3711.04,1813.25,114.7802966,65.6037481,24.406,24.968,0.023,1.09,47.0,-0.008,0.091,0.007,0,22.37,22.358,0.012,1.05,91.1,0.006,0.039,0.007,0
3892.14,1486.01,114.7855094,65.5990205,24.592,25.15,0.026,1.32,41.7,0.004,0.033,0.0,0,22.573,22.562,0.013,1.19,81.1,0.012,0.094,0.0,0
3936.36,681.86,114.8063368,65.5918737,24.198,24.617,0.02,1.11,53.7,0.017,0.058,0.013,0,22.838,22.828,0.015,1.17,70.6,0.025,0.019,0.01,0
3710.57,2588.51,114.7593574,65.6101642,24.138,24.487,0.02,0.94,55.3,0.007,0.036,0.013,0,23.029,23.02,0.018,1.05,61.6,-0.001,0.014,0.011,0
2607.57,2673.43,114.7791552,65.6231757,25.885,26.557,0.063,1.04,17.2,0.064,-0.021,0.001,0,22.837,22.824,0.016,1.03,69.4,-0.006,0.077,0.0,0
3959.98,2903.57,114.7458486,65.6099847,24.435,24.868,0.023,1.2,46.4,0.011,0.048,0.0,0,23.02,23.01,0.017,1.2,63.6,-0.035,0.058,0.0,0
1914.33,1009.36,114.8380223,65.6171362,24.925,25.488,0.032,0.92,34.4,0.018,0.167,0.003,0,22.874,22.862,0.016,0.8,69.5,-0.001,-0.03,0.008,0
3906.28,2332.97,114.7623453,65.6058672,24.676,25.132,0.027,1.04,40.2,-0.018,0.203,0.0,0,23.17,23.16,0.019,1.06,57.2,0.023,-0.016,0.0,0
1435.02,3961.74,114.7678123,65.6469147,25.303,25.884,0.04,1.05,27.4,0.001,0.118,0.001,0,23.137,23.126,0.018,1.42,59.0,-0.002,0.007,0.022,0
243.03,1422.28,114.8604147,65.6391903,24.301,24.447,0.022,1.12,49.9,-0.029,0.005,0.011,0,23.776,23.769,0.027,1.19,39.6,-0.013,0.039,0.0,0
2097.33,1347.19,114.8252261,65.6178928,24.669,25.054,0.027,0.9,40.4,-0.002,0.066,0.0,0,23.438,23.429,0.022,0.98,49.9,0.011,-0.019,0.0,0
2187.13,2068.78,114.8039272,65.622864,24.635,24.988,0.027,1.29,40.3,0.025,0.168,0.0,0,23.514,23.505,0.023,1.08,46.7,0.015,0.114,0.001,0
3422.83,559.94,114.8199149,65.5965924,24.697,25.05,0.027,1.1,39.8,-0.003,0.039,0.0,0,23.577,23.568,0.024,1.09,45.4,0.009,0.035,0.0,0
3846.44,1545.35,114.7848218,65.6000213,24.745,25.123,0.029,0.94,37.6,0.026,-0.017,0.066,0,23.538,23.529,0.024,0.94,46.1,0.021,0.058,0.042,0
1776.26,2462.68,114.8015184,65.630707,24.748,25.082,0.029,1.22,37.4,0.03,0.111,0.031,0,23.69,23.682,0.027,1.14,40.6,0.008,0.036,0.096,0
908.35,3859.76,114.7811361,65.6519485,24.778,25.114,0.029,1.08,38.0,0.02,0.053,0.0,0,23.713,23.705,0.026,1.06,41.8,0.012,0.021,0.0,0
3224.44,995.81,114.812122,65.6024131,24.699,24.996,0.027,1.06,39.9,0.015,0.13,0.004,0,23.762,23.753,0.026,0.89,41.1,0.006,0.099,0.004,0
2955.64,3452.21,114.7511227,65.6257305,24.763,25.08,0.028,0.84,38.7,-0.001,-0.029,0.0,0,23.764,23.755,0.027,0.77,40.9,0.023,0.055,0.0,0
465.48,1222.96,114.8613331,65.635059,25.293,25.808,0.041,1.3,26.4,0.021,0.129,0.0,0,23.509,23.499,0.023,1.1,47.2,0.003,0.095,0.0,0
3090.37,2224.55,114.7816149,65.6140756,24.773,25.089,0.029,0.94,37.5,-0.011,-0.023,0.011,0,23.773,23.765,0.027,0.97,39.8,-0.013,0.088,0.02,0
1430.89,2325.49,114.812155,65.6334242,24.88,25.246,0.031,1.02,34.7,0.003,0.051,0.034,0,23.718,23.709,0.027,1.08,40.6,-0.012,0.06,0.013,0
986.42,2246.63,114.8232056,65.6377287,24.645,24.861,0.028,0.93,38.5,0.011,0.06,0.014,0,23.94,23.932,0.034,1.07,31.7,0.035,0.08,0.02,0
3410.08,1245.74,114.8016533,65.6024108,24.92,25.267,0.032,1.11,34.3,-0.007,0.028,0.008,0,23.821,23.812,0.027,1.06,39.5,-0.011,0.104,0.001,0
3411.1,2092.83,114.7787498,65.6094074,24.919,25.267,0.034,1.02,32.2,0.034,0.098,0.0,0,23.818,23.809,0.029,1.2,38.0,0.001,0.003,0.001,0
2276.51,356.01,114.8484003,65.6076866,24.977,25.328,0.032,1.08,34.1,-0.027,0.022,0.002,0,23.862,23.853,0.028,0.95,39.1,0.004,-0.001,0.002,0
934.42,1273.54,114.8505502,65.6302502,24.697,24.847,0.028,1.27,39.3,0.012,0.218,0.0,0,24.162,24.155,0.035,1.08,31.2,0.043,0.297,0.0,0
