,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,2067.86,2518.43,184.6401621,37.9941908,22.342,22.595,0.007,1.09,145.8,0.002,0.06,0.007,0,21.532,21.524,0.008,1.17,137.7,0.019,0.012,0.007,0
1,3021.12,3338.14,184.618012,37.9937079,22.554,22.907,0.008,1.17,131.3,0.029,0.013,0.0,0,21.435,21.426,0.007,0.98,145.5,0.012,0.022,0.0,0
2,2085.95,698.14,184.6615002,37.9753106,22.368,22.528,0.007,1.25,144.8,0.021,-0.016,0.0,0,21.806,21.798,0.009,0.99,123.1,0.006,0.049,0.0,0
3,3155.15,1436.1,184.6388129,37.9729082,22.845,23.215,0.01,1.31,112.5,0.031,0.044,0.0,0,21.665,21.656,0.008,1.11,131.4,0.037,0.023,0.0,0
4,3329.88,1752.48,184.6327849,37.9745274,22.568,22.681,0.008,1.35,129.9,0.028,0.018,0.0,0,22.123,22.116,0.011,1.06,103.1,0.032,0.028,0.0,0
5,2685.12,3861.2,184.6161905,38.0022228,22.844,23.027,0.01,1.2,112.3,0.023,0.02,0.0,0,22.226,22.218,0.011,0.99,95.5,0.014,0.037,0.0,0
6,2621.31,1956.86,184.6396014,37.9832482,23.801,24.225,0.016,1.12,65.9,0.036,0.104,0.003,0,22.425,22.415,0.012,1.03,87.1,0.03,0.047,0.001,0
7,2110.51,449.51,184.6641259,37.9725251,23.702,24.025,0.015,1.03,70.3,0.015,0.049,0.0,0,22.682,22.673,0.014,1.04,75.5,0.008,0.022,0.0,0
8,864.09,1540.93,184.6674506,37.9953871,24.099,24.516,0.02,1.27,55.3,0.035,0.125,0.0,0,22.751,22.742,0.016,1.51,68.3,0.044,-0.007,0.0,0
9,3165.69,698.03,184.647422,37.9652235,26.255,26.947,0.079,1.05,13.7,0.011,0.294,0.0,0,22.715,22.701,0.014,1.21,75.5,-0.015,0.056,0.0,0
10,182.32,1521.8,184.6765724,38.0015575,24.309,24.667,0.022,1.22,48.7,0.018,0.06,0.002,0,23.174,23.165,0.019,1.01,56.1,0.017,0.08,0.002,0
11,3776.89,1133.47,184.6342938,37.9639889,24.556,24.99,0.028,1.16,38.8,0.01,0.315,0.036,0,23.137,23.127,0.019,1.26,55.9,0.039,0.187,0.092,0
12,364.53,731.01,184.6835657,37.9917249,24.223,24.4,0.023,1.18,47.9,0.002,-0.002,0.0,2,23.621,23.613,0.025,1.03,43.8,0.012,0.037,0.0,0
13,3646.98,4045.28,184.6014656,37.9951246,24.526,24.896,0.025,1.18,43.6,0.031,0.152,0.0,0,23.347,23.338,0.021,1.08,51.1,0.017,0.121,0.0,0
14,2538.38,3950.67,184.617043,38.0045135,24.773,25.206,0.029,0.99,37.8,0.0,-0.072,0.005,0,23.358,23.348,0.022,0.95,50.0,0.009,0.12,0.032,0
15,3909.3,1261.16,184.6310544,37.9640641,24.863,25.307,0.032,0.9,34.4,0.022,0.055,0.044,0,23.408,23.398,0.022,1.1,49.5,0.009,0.08,0.001,0
16,1661.6,220.5,184.6726938,37.9743633,24.783,25.173,0.029,1.04,37.6,0.014,0.128,0.0,0,23.535,23.526,0.023,1.08,47.1,0.008,0.037,0.0,0
17,1852.31,1262.04,184.6578652,37.9832898,24.519,24.744,0.025,1.02,43.4,0.029,0.041,0.0,0,23.789,23.781,0.028,1.08,39.2,0.019,0.139,0.007,0
18,534.65,2042.01,184.6658098,38.0036155,24.77,25.085,0.031,1.06,34.5,0.017,0.01,0.036,0,23.775,23.767,0.03,1.15,35.9,0.065,0.096,0.036,0
19,3351.04,1960.45,184.6300439,37.9764671,24.95,25.247,0.033,1.03,32.9,-0.005,0.075,0.0,0,24.013,24.004,0.032,1.05,33.8,0.036,0.153,0.0,0
20,1853.85,65.96,184.6720173,37.9709789,27.261,27.949,0.173,1.02,6.3,0.049,0.409,0.0,0,23.872,23.858,0.028,1.1,38.6,-0.009,0.033,0.001,0
