X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
4065.8,2285.45,192.8552445,41.2381689,22.566,22.75,0.008,1.32,128.1,0.008,0.054,0.061,0,21.946,21.938,0.01,1.23,110.1,0.016,0.041,0.04,0
1268.09,183.57,192.904593,41.2695679,22.634,22.758,0.008,1.26,130.4,-0.012,0.047,0.035,0,22.162,22.155,0.011,1.08,101.6,-0.004,0.071,0.037,0
916.45,3229.07,192.8511588,41.2837298,23.459,23.924,0.013,1.12,82.0,0.013,0.073,0.0,0,21.908,21.898,0.01,1.29,114.2,0.015,0.016,0.0,0
2224.97,1418.17,192.8784191,41.2604233,23.361,23.673,0.012,1.14,89.0,0.025,0.018,0.0,0,22.377,22.368,0.012,1.11,90.3,0.028,0.023,0.001,0
3178.71,1025.08,192.8815838,41.2462942,23.256,23.433,0.011,1.11,94.7,0.011,0.043,0.0,0,22.654,22.646,0.014,1.03,78.0,0.016,0.006,0.0,0
1007.69,3193.61,192.8514236,41.2823848,23.269,23.46,0.012,1.25,90.7,0.027,0.015,0.003,0,22.63,22.622,0.014,1.11,76.8,0.025,0.014,0.005,0
2391.3,1533.85,192.8756522,41.2585278,24.631,25.247,0.025,1.25,43.0,0.003,0.002,0.001,0,22.212,22.2,0.011,1.15,98.8,-0.002,0.035,0.0,0
3473.43,1552.3,192.8708785,41.2439301,23.637,23.928,0.014,1.17,76.9,-0.001,0.086,0.0,0,22.715,22.707,0.014,1.07,75.1,-0.01,0.068,0.002,0
294.38,2146.12,192.8732298,41.2888145,24.145,24.6,0.02,1.13,54.7,0.02,0.13,0.0,0,22.641,22.632,0.014,1.27,75.1,0.015,0.043,0.0,0
632.53,1808.33,192.8779287,41.2831927,25.002,25.583,0.034,1.22,31.7,0.06,0.114,0.002,0,22.848,22.836,0.017,1.38,65.1,0.042,0.065,0.001,0
2914.82,910.91,192.8847238,41.2495153,24.869,25.417,0.029,0.95,37.7,0.014,0.064,0.002,0,22.909,22.898,0.016,0.98,67.9,-0.005,-0.005,0.001,0
1166.38,1444.42,192.8822936,41.2748399,24.41,24.717,0.022,1.06,48.6,0.052,-0.006,0.0,0,23.442,23.433,0.023,1.13,48.2,0.071,0.046,0.001,0
1867.06,2809.15,192.8548269,41.2695611,24.645,25.082,0.026,1.09,41.1,0.017,0.043,0.0,0,23.216,23.206,0.02,0.99,54.7,0.007,0.054,0.011,0
3696.15,1349.8,192.8736116,41.2402891,24.3,24.509,0.021,1.04,52.1,0.004,0.012,0.0,0,23.615,23.607,0.025,1.04,43.6,0.03,0.051,0.0,0
