X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
3182.54,2708.08,189.1340137,25.9619105,22.302,22.862,0.002,1.65,459.2,0.023,0.043,0.0,2,20.268,20.257,0.001,1.16,831.1,0.019,0.001,0.0,0
122.48,1797.54,189.1686462,25.9934905,24.35,24.959,0.007,1.28,152.6,0.024,0.076,0.0,2,21.993,21.982,0.003,1.32,351.8,0.016,0.024,0.0,0
3994.51,3846.62,189.1125937,25.9593798,23.426,23.563,0.005,1.17,210.8,-0.013,0.177,0.036,2,22.923,22.915,0.007,1.43,164.3,-0.021,0.276,0.086,0
3501.37,2371.3,189.1362934,25.9558037,25.047,25.682,0.011,1.18,97.1,0.006,0.033,0.014,2,22.456,22.444,0.004,1.15,269.1,-0.003,0.011,0.007,0
3131.29,4185.94,189.1142272,25.9721791,23.657,23.729,0.005,1.39,210.1,0.007,0.081,0.018,2,23.339,23.332,0.007,1.15,146.7,-0.007,0.008,0.021,0
2439.4,2820.97,189.1378666,25.9717598,23.895,24.16,0.006,1.17,195.4,0.024,0.016,0.001,2,23.051,23.043,0.005,1.05,197.8,0.018,0.022,0.002,0
3190.98,4179.19,189.1138863,25.971403,24.425,24.869,0.012,1.65,91.7,-0.035,0.114,0.078,2,22.969,22.959,0.006,1.29,173.8,-0.009,0.015,0.071,2
3238.91,3142.54,189.1276789,25.9640535,23.797,23.856,0.005,1.18,213.0,0.012,0.053,0.033,0,23.522,23.515,0.008,1.31,144.5,-0.008,0.115,0.082,0
2195.94,2257.15,189.1473239,25.9710664,23.848,23.927,0.005,1.22,212.2,0.013,0.056,0.004,0,23.478,23.471,0.008,1.05,136.7,0.016,0.069,0.009,2
4011.16,234.93,189.1617262,25.9356122,27.931,28.238,0.095,1.16,11.5,0.208,2.915,0.0,0,26.962,26.953,0.085,1.13,12.7,0.283,1.833,0.0,0
3194.33,4181.9,189.113825,25.9713796,24.486,24.928,0.009,1.39,127.2,0.013,0.049,0.048,0,23.037,23.027,0.006,1.37,177.4,-0.003,0.084,0.07,0
3852.89,4196.09,189.1088542,25.9633957,25.377,25.978,0.021,1.17,51.7,-0.022,1.167,0.1,2,23.074,23.062,0.008,1.37,143.1,0.017,0.455,0.057,0
793.32,3626.44,189.1388262,25.9971999,24.967,25.481,0.016,1.12,68.4,0.042,0.06,0.0,2,23.19,23.179,0.007,1.05,146.5,0.02,0.005,0.0,2
2050.12,2585.37,189.1439054,25.9749961,24.723,25.169,0.01,1.09,106.5,0.004,0.044,0.0,2,23.257,23.247,0.006,1.05,175.9,0.017,0.001,0.0,0
2764.25,680.36,189.1647029,25.9538079,24.762,25.158,0.01,1.11,113.7,0.015,0.061,0.005,2,23.489,23.48,0.007,1.1,156.2,0.018,0.029,0.016,0
3162.04,1477.42,189.1509463,25.9541322,24.456,24.5,0.007,1.04,148.4,0.001,0.031,0.012,0,24.238,24.231,0.012,1.09,90.3,-0.02,0.048,0.034,0
2217.41,1061.51,189.1634747,25.9630005,24.669,24.856,0.009,1.07,121.0,0.012,0.027,0.001,2,24.039,24.032,0.01,1.01,109.1,0.015,0.024,0.001,2
2832.66,3996.48,189.1189783,25.9746056,25.149,25.556,0.012,1.12,92.9,-0.002,0.076,0.009,2,23.837,23.828,0.009,1.19,122.6,-0.007,0.022,0.016,0
1324.93,1794.45,189.1599575,25.978727,25.308,25.763,0.013,1.11,86.6,0.015,0.063,0.0,0,23.802,23.792,0.009,1.05,127.7,0.013,0.032,0.0,0
3357.03,2724.41,189.1325248,25.9598773,24.72,24.728,0.009,1.08,114.9,-0.002,0.036,0.006,0,24.661,24.655,0.015,1.08,70.7,-0.01,0.123,0.021,0
3448.88,2605.51,189.13348,25.9579753,25.266,25.663,0.013,1.01,86.1,0.008,0.064,0.012,0,23.99,23.981,0.01,1.02,108.4,-0.002,0.016,0.009,0
3732.22,889.79,189.1548215,25.9433061,25.293,25.672,0.012,1.15,87.4,-0.001,0.074,0.003,0,24.086,24.077,0.011,1.04,97.8,-0.002,0.036,0.007,0
3517.13,1668.56,189.1457628,25.9510253,25.654,26.15,0.016,1.05,67.4,0.008,0.082,0.004,0,23.963,23.953,0.01,1.03,113.4,-0.002,-0.004,0.019,0
373.93,1843.31,189.1661959,25.9907063,25.48,25.905,0.017,1.05,63.2,0.016,0.048,0.001,2,24.099,24.089,0.01,1.07,105.2,0.027,0.036,0.002,0
2127.01,1624.4,189.1564542,25.9677825,25.341,25.69,0.013,1.16,81.9,0.015,0.042,0.002,2,24.236,24.228,0.011,1.03,97.3,0.005,0.007,0.002,0
4083.3,2803.24,189.1261804,25.9514854,25.255,25.455,0.017,1.12,64.6,-0.012,0.458,0.037,0,24.593,24.585,0.026,1.27,41.4,0.012,0.405,0.068,0
2559.44,1714.26,189.1520899,25.9630666,25.088,25.134,0.011,1.18,98.9,0.011,-0.003,0.003,0,24.862,24.856,0.017,1.0,62.7,0.018,0.092,0.006,2
2698.93,3231.3,189.1303863,25.9712542,25.376,25.654,0.013,0.97,81.9,0.005,0.059,0.002,2,24.493,24.484,0.014,0.95,79.1,0.008,-0.002,0.015,2
3576.31,1679.96,189.1451779,25.950374,25.77,26.194,0.02,0.96,54.5,0.006,0.098,0.003,2,24.39,24.381,0.013,1.1,80.8,0.017,0.097,0.004,2
3436.28,2098.9,189.1404807,25.9548246,25.409,25.633,0.014,1.03,76.4,0.004,0.045,0.026,2,24.68,24.672,0.015,1.02,70.6,0.016,0.09,0.043,0
3012.66,343.32,189.1674956,25.9485623,25.894,26.336,0.021,1.03,52.7,0.014,0.047,0.001,2,24.443,24.434,0.012,1.08,87.8,0.011,0.018,0.001,0
3524.75,1253.65,189.1513655,25.9482245,25.601,25.939,0.015,1.09,71.1,0.022,0.097,0.001,0,24.529,24.521,0.013,1.09,80.6,0.012,0.084,0.001,0
2645.65,2202.52,189.1448051,25.9651956,27.74,28.424,0.086,1.03,12.6,0.069,0.087,0.007,0,24.451,24.437,0.013,1.04,83.0,-0.004,0.053,0.002,2
4188.02,4157.47,189.1069501,25.9590338,25.654,25.957,0.019,1.15,58.2,-0.001,0.417,0.027,0,24.697,24.689,0.019,1.22,56.7,-0.041,0.254,0.061,0
1525.1,745.71,189.1728076,25.9694276,25.583,25.853,0.017,1.14,64.9,0.014,0.026,0.001,2,24.724,24.716,0.015,1.07,70.1,0.013,0.027,0.0,2
2813.46,4156.44,189.1169355,25.9758844,26.09,26.568,0.023,1.09,48.2,-0.029,0.095,0.035,2,24.482,24.472,0.014,1.17,78.6,-0.026,0.057,0.051,0
3481.68,1200.42,189.152404,25.9484052,25.354,25.385,0.013,1.09,84.2,0.021,0.033,0.006,0,25.185,25.179,0.021,1.11,51.3,0.018,0.1,0.038,0
1368.79,517.39,189.1770563,25.9698536,25.972,26.415,0.019,1.03,57.0,0.023,0.104,0.006,0,24.516,24.506,0.013,1.06,82.2,0.014,0.022,0.005,2
3157.97,2900.96,189.1315612,25.9634701,25.557,25.794,0.015,1.05,72.0,0.013,0.006,0.002,0,24.793,24.785,0.016,1.1,65.8,-0.003,0.026,0.004,0
3611.11,2412.19,189.1349395,25.9547247,25.82,26.198,0.019,1.11,56.7,-0.005,-0.024,0.029,0,24.61,24.601,0.017,1.14,64.6,0.005,0.069,0.049,0
1715.11,875.86,189.1696531,25.9679475,25.959,26.388,0.019,0.98,57.2,0.014,0.133,0.003,0,24.564,24.554,0.014,1.06,77.4,0.031,0.007,0.002,2
3525.48,2107.44,189.139717,25.9537865,25.47,25.557,0.015,1.01,74.1,0.0,-0.011,0.03,0,25.086,25.079,0.022,1.06,48.5,-0.014,0.062,0.067,0
1514.66,2569.87,189.1480035,25.9814608,25.49,25.575,0.014,1.04,76.3,-0.015,0.035,0.033,0,25.111,25.104,0.021,0.95,52.8,-0.01,0.116,0.039,0
421.87,3323.95,189.1456494,25.9997811,26.002,26.42,0.022,1.08,50.3,0.016,0.05,0.016,2,24.646,24.637,0.015,1.17,70.7,-0.012,0.047,0.017,2
306.07,2181.92,189.1620697,25.9937483,26.36,26.89,0.026,1.07,41.5,0.008,0.145,0.004,0,24.497,24.486,0.014,1.13,75.8,-0.001,0.034,0.013,2
3895.54,3767.14,189.1143958,25.9600751,25.69,25.883,0.024,1.27,44.9,0.079,0.297,0.051,0,25.046,25.038,0.033,1.6,33.1,0.212,0.855,0.064,0
