,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,2826.41,662.14,204.3152808,-30.0940037,22.469,22.668,0.008,1.08,140.4,0.014,0.018,0.0,2,21.809,21.801,0.009,1.11,125.7,0.028,0.021,0.0,2
1,3597.47,1441.36,204.3005071,-30.1022501,23.513,24.065,0.02,1.2,54.4,-0.019,0.083,0.0,2,21.534,21.522,0.007,1.08,156.9,0.021,-0.005,0.0,0
2,2986.93,3274.72,204.2737189,-30.088699,22.936,23.312,0.008,1.27,132.2,0.035,0.046,0.0,0,21.736,21.727,0.008,0.95,138.0,0.013,0.007,0.0,0
3,570.26,1132.38,204.3153059,-30.0619981,22.802,23.034,0.008,1.43,138.8,0.037,0.027,0.0,2,22.051,22.043,0.01,1.33,112.7,0.055,0.035,0.0,0
4,2171.12,2303.7,204.291652,-30.0803971,22.918,23.239,0.008,1.26,141.9,0.003,0.015,0.0,0,21.905,21.896,0.008,1.05,129.4,0.01,0.009,0.0,0
5,3605.61,936.43,204.308412,-30.1038069,23.286,23.742,0.009,1.23,114.8,0.022,0.04,0.0,0,21.776,21.766,0.008,0.96,137.2,0.025,0.007,0.0,0
6,3764.63,2401.98,204.284868,-30.1017689,22.966,23.243,0.008,1.01,137.3,-0.002,0.034,0.0,0,22.089,22.081,0.009,1.01,116.1,0.009,0.05,0.0,0
7,3584.64,1713.5,204.2962745,-30.1012961,23.666,24.224,0.012,1.02,93.5,0.004,0.007,0.013,0,21.647,21.636,0.007,1.27,148.0,0.019,0.051,0.013,0
8,3201.73,3131.53,204.275261,-30.0920284,23.141,23.507,0.009,1.29,125.8,0.016,-0.003,0.0,0,21.974,21.965,0.009,0.86,124.4,0.008,0.023,0.0,0
9,915.6,4061.21,204.2681843,-30.0582978,23.17,23.529,0.01,1.07,113.9,0.005,0.03,0.0,2,22.03,22.021,0.009,1.04,120.4,0.013,0.039,0.0,0
10,2096.19,1181.31,204.3095254,-30.0825941,22.999,23.182,0.008,1.19,135.6,0.039,0.045,0.0,0,22.379,22.372,0.011,1.05,100.0,0.025,0.014,0.0,0
11,3495.15,1582.47,204.2986269,-30.1004555,24.029,24.629,0.014,1.04,75.8,0.008,0.024,0.0,0,21.736,21.724,0.008,1.02,142.0,0.015,0.013,0.0,0
12,3238.96,477.18,204.3168309,-30.1001394,23.101,23.318,0.008,1.16,129.4,0.013,0.009,0.0,0,22.392,22.384,0.011,1.09,98.7,0.016,0.036,0.0,0
13,2960.36,331.08,204.3200409,-30.0967716,23.188,23.465,0.009,1.17,122.9,-0.001,0.037,0.0,0,22.309,22.3,0.01,0.99,104.3,0.004,0.011,0.0,0
14,1697.55,2703.05,204.2869378,-30.0728174,24.138,24.708,0.015,1.13,70.2,0.001,0.019,0.0,0,22.049,22.038,0.009,1.09,118.2,0.003,0.019,0.0,0
15,2827.18,1305.67,204.3051703,-30.0921714,23.736,24.159,0.012,1.08,89.8,0.011,0.096,0.001,0,22.361,22.352,0.011,0.97,100.9,0.018,0.046,0.001,0
