,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,977.07,1516.1,204.0049852,-29.9498991,22.239,22.448,0.005,1.82,202.2,0.04,0.046,0.0,0,21.552,21.544,0.007,1.51,154.8,0.05,0.038,0.0,0
1,1158.96,589.31,204.0158713,-29.9590171,22.366,22.567,0.008,1.22,137.5,0.008,0.003,0.0,0,21.7,21.692,0.01,0.96,104.8,0.006,0.053,0.0,0
2,3040.97,1699.18,203.9845316,-29.9725769,22.495,22.741,0.006,1.38,178.8,0.019,0.061,0.0,0,21.706,21.698,0.008,1.82,144.1,0.013,0.025,0.002,0
3,2895.54,2422.55,203.976066,-29.9654179,22.659,22.976,0.007,1.44,165.8,0.042,0.033,0.0,0,21.658,21.65,0.007,1.06,149.6,0.03,0.015,0.0,0
4,2891.82,3554.04,203.9608754,-29.9568268,22.588,22.748,0.006,1.28,171.2,0.037,0.008,0.0,0,22.028,22.021,0.01,0.99,106.6,0.026,0.033,0.0,2
5,4074.21,2427.69,203.9657184,-29.9791178,22.833,23.175,0.007,1.26,151.4,0.018,0.021,0.012,0,21.752,21.743,0.008,1.18,142.6,0.03,0.049,0.015,0
6,2044.77,548.35,204.0087028,-29.9696539,23.295,23.708,0.009,1.14,114.6,0.008,0.011,0.0,0,21.96,21.95,0.009,1.16,123.4,0.003,0.008,0.0,0
7,1977.65,2365.13,203.9848409,-29.955152,23.207,23.499,0.009,1.21,125.6,-0.007,0.041,0.004,0,22.284,22.275,0.01,1.0,108.0,0.009,0.034,0.007,0
8,3377.47,3055.72,203.9633445,-29.9662522,23.159,23.375,0.009,1.17,125.4,0.003,0.04,0.008,0,22.454,22.446,0.011,1.01,98.3,0.005,0.014,0.001,0
9,665.12,1509.57,204.0077914,-29.9463115,23.763,24.284,0.012,1.43,92.2,0.058,0.059,0.001,0,21.946,21.936,0.008,1.44,129.0,0.046,0.028,0.001,0
10,1507.62,2259.87,203.9903541,-29.9504677,23.985,24.558,0.013,1.22,80.6,0.001,0.08,0.0,0,21.88,21.868,0.008,1.06,130.8,-0.009,0.032,0.0,0
11,2386.86,1319.55,203.9953426,-29.9678187,23.769,24.28,0.012,1.15,93.2,0.023,0.037,0.0,0,22.004,21.994,0.009,1.19,126.1,0.016,0.019,0.0,0
12,1678.63,532.32,204.0121096,-29.9655062,23.39,23.729,0.009,1.28,115.6,-0.005,0.041,0.0,0,22.316,22.307,0.01,1.13,107.8,0.003,0.044,0.0,0
13,925.28,520.8,204.0188294,-29.9568098,24.044,24.606,0.014,1.14,77.0,0.01,0.034,0.001,0,22.006,21.995,0.009,1.33,118.0,0.002,-0.011,0.001,0
14,143.24,638.75,204.0240558,-29.9468012,24.283,24.871,0.016,1.15,70.0,0.008,0.07,0.001,0,22.072,22.06,0.009,1.07,122.1,0.003,0.043,0.0,0
15,3493.2,4000.07,203.9496306,-29.9604659,25.331,26.015,0.029,1.04,37.2,0.025,0.041,0.002,0,22.059,22.046,0.009,1.05,122.8,0.003,0.029,0.016,0
16,651.66,1811.58,204.0038453,-29.9438742,23.48,23.756,0.01,1.41,107.2,0.046,0.083,0.0,0,22.605,22.597,0.012,1.32,90.0,0.038,0.057,0.0,0
17,2280.48,868.42,204.0023409,-29.9699852,23.762,24.189,0.012,1.11,91.0,0.014,0.022,0.0,0,22.374,22.365,0.011,0.93,102.1,0.01,0.01,0.0,0
18,1100.84,3665.69,203.974988,-29.9351078,23.724,24.128,0.012,1.3,94.2,0.04,0.029,0.0,0,22.421,22.411,0.011,1.1,99.7,0.022,0.025,0.0,0
19,2368.51,2717.79,203.9766887,-29.9570445,23.89,24.35,0.013,1.07,83.3,0.017,-0.017,0.0,0,22.365,22.355,0.011,0.98,100.4,0.014,0.021,0.0,0
20,3701.81,3302.77,203.9571921,-29.968166,25.262,25.939,0.029,1.11,37.3,0.003,0.193,0.0,0,22.135,22.122,0.009,1.32,115.1,0.005,0.02,0.0,0
21,3701.33,3389.2,203.9560334,-29.9675074,23.481,23.638,0.01,0.95,106.5,0.001,0.023,0.0,0,22.929,22.922,0.015,0.92,74.1,0.012,-0.003,0.0,2
22,1826.51,1825.39,203.9934204,-29.9574663,24.007,24.496,0.014,1.16,80.3,0.015,0.048,0.025,0,22.352,22.342,0.01,1.04,103.9,0.011,0.044,0.014,0
23,3063.45,1204.02,203.990999,-29.9765786,23.991,24.447,0.013,1.09,82.5,0.023,0.026,0.001,0,22.486,22.476,0.011,1.11,97.3,0.025,0.001,0.001,0
24,2493.03,1737.55,203.9887923,-29.9658997,23.735,24.054,0.012,1.26,89.1,0.021,0.009,0.0,2,22.728,22.719,0.013,1.23,84.4,0.012,0.059,0.0,0
25,2543.31,3830.81,203.9601912,-29.9506737,24.541,25.126,0.018,1.16,59.3,0.019,0.101,0.008,0,22.353,22.341,0.01,1.05,105.2,0.03,0.042,0.006,0
26,2462.62,1648.98,203.9902492,-29.9662141,23.707,23.944,0.013,1.3,86.5,0.044,0.114,0.001,2,22.943,22.935,0.02,1.29,53.5,0.023,0.054,0.0,0
27,1028.95,1280.8,204.0076992,-29.9522806,23.809,24.154,0.013,1.22,83.4,0.047,0.043,0.0,2,22.718,22.709,0.023,1.28,48.0,0.043,-0.031,0.0,2
28,2276.53,89.52,204.0128581,-29.9758201,24.476,25.03,0.024,1.14,44.9,0.003,0.11,0.0,0,22.483,22.471,0.015,1.11,70.2,0.01,0.053,0.0,0
29,422.93,1207.42,204.0139671,-29.9457691,24.293,24.792,0.016,1.08,68.5,0.021,0.065,0.0,0,22.589,22.579,0.012,1.55,90.7,-0.002,0.039,0.0,0
30,4151.22,3797.49,203.9466164,-29.9696657,24.523,25.077,0.018,1.1,60.6,0.004,0.071,0.012,0,22.536,22.525,0.011,1.02,94.8,0.003,0.04,0.028,0
31,3459.13,2330.41,203.9723914,-29.9726833,24.564,25.123,0.02,1.05,55.1,0.012,0.036,0.0,2,22.54,22.529,0.012,1.06,91.9,0.001,0.036,0.0,2
32,453.6,3045.09,203.9889769,-29.9322504,24.079,24.451,0.018,0.96,61.3,0.013,0.104,0.0,2,22.894,22.885,0.014,1.18,77.0,0.024,0.059,0.001,0
33,1058.1,1886.86,203.9992905,-29.9480442,24.337,24.806,0.017,1.16,65.5,0.025,0.046,0.001,0,22.775,22.765,0.013,1.19,81.2,0.027,0.039,0.001,0
34,4167.98,3746.67,203.9471539,-29.970245,24.095,24.428,0.015,0.98,74.8,0.01,0.038,0.03,0,23.045,23.036,0.016,0.96,69.5,0.022,0.007,0.039,0
35,3432.52,1254.35,203.9871039,-29.9805009,24.796,25.363,0.022,1.18,49.9,0.002,0.076,0.0,0,22.725,22.714,0.013,1.13,84.4,0.02,-0.008,0.001,0
36,2389.05,2647.57,203.9774544,-29.9578143,24.307,24.718,0.016,1.0,67.8,0.0,0.055,0.0,0,22.979,22.97,0.015,0.95,72.7,0.02,0.026,0.0,0
37,462.65,817.06,204.0188736,-29.9491793,24.136,24.421,0.014,1.22,75.7,0.031,0.036,0.002,0,23.233,23.225,0.017,1.1,64.2,0.023,0.103,0.001,0
38,3935.89,331.27,203.9951387,-29.9933401,24.383,24.784,0.017,0.97,64.9,0.017,0.037,0.0,0,23.095,23.085,0.016,1.08,68.6,0.029,0.053,0.001,0
39,1526.4,209.48,204.017781,-29.9661686,25.001,25.585,0.024,1.2,45.2,0.014,0.075,0.001,0,22.824,22.813,0.014,1.12,79.0,-0.007,0.042,0.001,0
40,3697.41,3440.22,203.9553812,-29.9670762,24.188,24.468,0.015,1.13,72.8,0.01,0.043,0.0,0,23.301,23.292,0.018,1.0,60.6,0.016,0.038,0.0,0
41,848.32,1714.88,204.0034326,-29.9468971,24.351,24.73,0.017,1.13,65.8,0.039,0.042,0.0,0,23.145,23.136,0.016,1.13,66.2,0.039,0.054,0.003,0
