,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,3607.95,4151.69,184.4338134,37.7360177,22.295,22.387,0.007,1.08,151.8,0.016,0.043,0.0,0,21.897,21.89,0.009,0.93,118.7,-0.003,0.042,0.0,0
1,2026.36,2646.65,184.4720913,37.7378211,22.619,22.744,0.009,1.04,126.7,0.005,0.018,0.001,0,22.143,22.136,0.011,0.82,101.6,0.011,0.013,0.001,0
2,3522.34,2512.97,184.4558841,37.7213621,23.311,23.596,0.013,0.97,86.6,0.012,0.036,0.0,0,22.408,22.399,0.013,0.72,81.4,0.011,0.006,0.0,2
3,1579.38,2218.86,184.4829409,37.7383054,23.287,23.468,0.012,1.12,87.2,0.005,0.037,0.0,0,22.674,22.666,0.015,0.94,74.5,-0.002,0.054,0.0,0
4,374.71,2918.66,184.4883956,37.7571696,23.595,23.843,0.016,1.12,66.1,0.055,-0.019,0.0,0,22.801,22.793,0.019,1.06,56.1,0.038,0.048,0.0,2
5,1955.94,2917.5,184.4694572,37.741103,23.729,24.004,0.016,1.03,67.9,0.021,0.062,0.0,0,22.856,22.848,0.016,0.93,67.6,0.006,0.021,0.0,0
6,3123.32,844.63,184.4820808,37.7096039,24.067,24.342,0.019,1.02,56.7,0.025,0.064,0.0,0,23.193,23.185,0.019,0.79,56.7,0.016,0.056,0.001,0
7,2021.26,1954.56,184.4810384,37.7313137,24.226,24.588,0.022,1.01,50.2,0.005,0.066,0.001,0,23.078,23.069,0.019,0.96,58.3,0.04,0.005,0.002,0
8,973.32,1812.72,184.4954196,37.7406089,24.526,24.94,0.026,0.98,41.5,0.008,0.151,0.014,0,23.187,23.177,0.02,0.95,54.5,0.03,-0.042,0.01,0
9,2972.8,3974.14,184.4437026,37.7407875,25.168,25.711,0.038,1.98,28.6,-0.073,0.036,0.0,0,23.237,23.226,0.02,0.95,54.8,0.027,0.061,0.0,0
10,3880.17,2628.26,184.4501176,37.7188201,25.005,25.38,0.036,0.81,30.0,0.018,0.194,0.022,0,23.811,23.802,0.03,0.81,36.8,0.02,-0.04,0.016,0
11,871.74,1356.32,184.5024962,37.7373135,25.947,26.543,0.07,0.92,15.4,-0.042,0.103,0.0,0,23.685,23.673,0.027,0.99,40.6,0.002,0.037,0.001,0
12,3485.42,2246.53,184.4597473,37.7192124,25.56,26.062,0.054,0.92,20.0,0.053,0.099,0.0,0,23.847,23.836,0.03,0.98,36.1,-0.011,0.072,0.0,0
13,3552.03,679.1,184.4790694,37.7036821,25.293,25.669,0.042,1.0,25.8,0.031,0.041,0.001,0,24.095,24.086,0.034,0.85,32.0,0.036,0.077,0.0,0
14,2311.85,668.96,184.4940583,37.7161776,25.333,25.719,0.043,0.84,25.0,0.028,0.07,0.005,0,24.097,24.088,0.034,0.87,32.4,-0.006,0.03,0.0,0
15,1984.88,3630.71,184.4599509,37.7475675,26.217,26.778,0.086,0.88,12.6,0.044,-0.068,0.0,0,24.184,24.173,0.037,0.84,29.2,0.066,0.152,0.0,0
16,1158.58,1838.54,184.4928674,37.7389728,25.834,26.213,0.07,0.88,15.6,0.032,-0.049,0.0,0,24.625,24.615,0.053,1.03,20.4,0.068,0.222,0.0,0
17,1647.49,1445.66,184.4920509,37.730285,25.707,25.988,0.06,0.9,18.1,-0.01,0.257,0.032,0,24.816,24.808,0.059,0.94,18.4,0.004,0.115,0.029,0
18,663.29,3568.94,184.4765845,37.7604029,25.864,26.191,0.067,0.95,16.2,0.01,0.155,0.0,0,24.833,24.824,0.059,0.92,18.3,0.048,0.105,0.001,0
19,4138.42,3151.96,184.4402998,37.7211585,26.078,26.48,0.081,0.96,13.3,-0.088,0.505,0.004,0,24.783,24.774,0.058,0.85,18.7,0.045,0.002,0.0,0
20,3767.76,788.89,184.4750762,37.7025321,26.066,26.441,0.079,0.84,13.8,0.016,0.174,0.001,0,24.869,24.86,0.06,0.82,18.0,0.053,0.066,0.001,0
21,2695.52,2434.22,184.4668006,37.7290128,25.921,26.202,0.073,0.85,15.0,0.014,0.347,0.039,0,25.028,25.019,0.07,0.85,15.4,-0.052,0.236,0.107,0
22,146.0,1490.9,184.5094695,37.7459565,26.159,26.525,0.088,0.89,12.4,-0.015,0.023,0.0,0,24.995,24.986,0.07,0.91,15.6,0.06,0.249,0.0,0
23,1613.35,3530.16,184.4656948,37.7503878,25.8,25.83,0.066,0.78,16.4,-0.003,0.253,0.05,2,25.64,25.634,0.11,0.91,9.9,-0.032,-0.071,0.059,0
