,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,2045.26,833.62,114.4239115,65.6732293,21.352,21.362,0.004,1.08,243.2,0.004,0.029,0.0,0,21.279,21.273,0.007,1.08,165.0,0.028,0.014,0.0,0
1,2148.79,2675.33,114.361927,65.6753569,21.698,21.725,0.005,1.49,203.3,-0.004,0.055,0.0,0,21.551,21.544,0.008,1.28,141.9,0.015,0.029,0.0,0
2,3148.24,4142.0,114.3083053,65.6644172,22.17,22.234,0.007,1.36,156.8,0.002,0.053,0.069,0,21.839,21.832,0.01,1.1,105.1,0.0,0.05,0.062,2
3,3427.89,3421.19,114.3310698,65.6591915,22.233,22.371,0.007,1.02,151.1,-0.002,0.01,0.001,0,21.726,21.719,0.008,0.95,128.1,0.018,0.001,0.001,0
4,2657.74,2531.45,114.364357,65.6680791,22.494,22.824,0.008,1.29,135.0,0.016,0.029,0.001,0,21.452,21.444,0.007,1.31,149.4,0.045,0.041,0.001,0
5,2604.1,1243.31,114.4076113,65.6663348,22.715,23.073,0.009,1.2,114.7,0.01,0.019,0.0,0,21.58,21.571,0.008,1.14,138.0,0.029,0.048,0.0,0
6,635.86,2313.59,114.381081,65.6954727,22.429,22.568,0.008,1.67,139.6,0.005,0.07,0.0,0,21.921,21.914,0.009,1.7,117.3,-0.02,0.064,0.0,0
7,1129.83,180.19,114.4500409,65.6845537,22.437,22.546,0.008,1.37,139.9,-0.009,0.049,0.033,0,22.001,21.994,0.01,1.27,113.6,0.002,0.075,0.027,0
8,1712.18,2936.32,114.3552461,65.6818644,23.177,23.639,0.012,1.14,93.8,-0.005,0.05,0.0,0,21.642,21.632,0.008,1.02,135.6,0.017,0.025,0.0,0
9,1612.95,3361.39,114.341508,65.684045,23.145,23.589,0.011,1.43,95.0,0.0,0.069,0.007,0,21.687,21.678,0.008,1.13,132.8,0.014,-0.019,0.004,0
10,3405.07,388.65,114.4323741,65.6536647,23.161,23.579,0.011,1.31,95.3,-0.002,0.018,0.01,0,21.806,21.797,0.009,1.32,120.4,0.016,0.061,0.086,0
11,2898.97,654.77,114.4258716,65.661141,23.574,24.11,0.014,1.04,76.1,-0.004,0.031,0.0,0,21.684,21.673,0.008,1.13,134.7,0.011,0.062,0.0,0
12,2950.34,1396.36,114.4008803,65.6618679,23.351,23.823,0.013,1.15,85.3,0.023,0.044,0.002,0,21.77,21.76,0.008,1.08,128.1,0.023,0.026,0.002,0
13,1888.37,2517.96,114.3683983,65.6786367,23.226,23.61,0.012,1.24,90.7,-0.003,0.062,0.006,0,21.998,21.989,0.01,1.16,112.1,0.022,0.037,0.009,0
