,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,3561.18,3312.64,148.5971161,69.260702,23.454,23.805,0.003,1.61,383.9,0.015,0.002,0.0,2,22.342,22.333,0.002,1.41,620.1,0.032,0.002,0.0,2
1,3640.6,111.85,148.7226573,69.2595886,23.74,24.096,0.003,1.85,378.8,-0.01,0.014,0.003,2,22.611,22.602,0.002,1.27,543.9,0.013,0.011,0.002,2
2,4036.87,3645.58,148.5840759,69.2540907,24.137,24.602,0.003,1.67,348.9,0.006,0.021,0.0,0,22.593,22.583,0.002,1.29,500.4,0.02,0.015,0.0,2
3,3938.6,3628.58,148.5847387,69.2554559,24.37,24.858,0.004,1.61,285.6,0.008,0.038,0.001,0,22.719,22.708,0.002,1.41,507.7,0.017,0.017,0.001,2
4,3681.67,3349.2,148.595686,69.259028,25.962,26.643,0.011,1.31,99.7,0.019,0.1,0.01,2,22.751,22.738,0.002,1.29,503.0,0.008,0.007,0.005,2
5,1420.23,2633.81,148.6237119,69.2904443,23.987,24.142,0.003,1.39,326.4,-0.004,0.008,0.004,2,23.441,23.434,0.003,1.22,338.5,0.011,0.028,0.008,2
6,2589.37,2194.49,148.6409706,69.2742068,23.903,23.966,0.003,1.49,346.4,0.025,0.017,0.006,2,23.614,23.608,0.004,1.27,298.1,0.028,0.003,0.003,2
7,2308.3,1493.29,148.6684951,69.2781093,24.057,24.166,0.003,1.38,327.1,0.025,0.019,0.0,2,23.62,23.613,0.004,1.49,301.6,0.017,0.001,0.001,2
8,3078.06,464.09,148.7088648,69.2674076,25.32,25.908,0.007,1.27,153.9,0.004,0.041,0.008,2,23.111,23.1,0.003,1.27,386.1,0.012,0.028,0.009,2
9,3805.89,3483.53,148.5904219,69.2573011,25.711,26.35,0.009,1.41,126.4,-0.007,0.049,0.041,2,23.086,23.073,0.003,1.35,399.0,0.004,0.0,0.026,2
10,3452.14,1636.54,148.6628593,69.2622225,25.494,26.102,0.007,1.31,156.3,0.001,-0.003,0.012,0,23.139,23.127,0.003,1.33,414.1,0.01,-0.005,0.003,0
11,3492.45,261.82,148.716782,69.2616488,25.222,25.773,0.007,1.74,160.8,-0.04,0.011,0.004,2,23.246,23.235,0.003,1.42,389.7,0.006,0.015,0.006,2
12,2842.2,2726.56,148.6200923,69.2706932,24.518,24.856,0.005,1.17,226.0,0.027,0.047,0.001,2,23.446,23.438,0.003,1.41,348.0,0.026,0.025,0.001,0
13,1192.2,3891.89,148.5742879,69.2935982,24.523,24.867,0.004,1.24,278.0,0.015,0.025,0.002,2,23.436,23.427,0.003,1.18,349.4,0.014,0.014,0.003,2
14,1393.14,2967.38,148.6106097,69.2908184,24.899,25.378,0.005,1.27,225.9,0.0,0.031,0.0,0,23.289,23.279,0.003,1.05,340.0,0.008,0.008,0.0,2
15,2275.73,873.08,148.6928422,69.2785567,24.469,24.73,0.004,1.29,279.4,0.021,0.021,0.001,2,23.639,23.631,0.003,1.28,311.7,0.014,0.01,0.002,2
16,3323.2,1472.88,148.6692809,69.2640126,24.899,25.338,0.005,1.26,224.2,0.022,0.064,0.011,0,23.462,23.452,0.003,1.3,335.8,0.02,0.025,0.02,2
17,4046.75,3504.75,148.5895984,69.2539554,25.119,25.617,0.005,1.42,197.7,0.016,0.015,0.012,0,23.418,23.408,0.003,1.23,354.3,0.022,0.009,0.01,0
18,1476.61,2482.28,148.6296641,69.2896618,24.816,25.198,0.006,1.13,185.6,0.0,0.006,0.0,2,23.593,23.584,0.004,1.21,303.8,0.017,0.016,0.0,0
19,3829.05,3162.9,148.6029967,69.256983,24.634,24.939,0.004,1.21,241.6,0.013,0.025,0.002,2,23.669,23.66,0.004,1.11,300.9,0.023,0.026,0.004,2
