,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,1196.54,1668.39,359.4813796,-32.473406,22.444,22.658,0.007,1.28,144.9,0.014,0.052,0.0,0,21.745,21.737,0.008,1.31,129.9,0.044,0.073,0.0,0
1,886.67,2833.11,359.4619298,-32.4700922,22.669,22.903,0.009,1.14,126.6,0.024,0.023,0.0,0,21.916,21.908,0.011,1.86,101.4,0.052,0.084,0.0,2
2,1472.88,629.33,359.4987321,-32.4763584,22.686,22.848,0.008,1.74,129.1,0.008,0.041,0.0,0,22.12,22.112,0.01,1.02,107.8,0.02,0.021,0.0,0
3,3207.41,4057.53,359.4441186,-32.5032968,22.961,23.118,0.01,1.08,109.9,0.013,-0.008,0.0,0,22.407,22.4,0.012,1.07,91.3,0.012,0.04,0.0,0
4,352.77,1258.22,359.4872746,-32.4613616,23.161,23.415,0.011,0.91,95.2,0.013,0.01,0.0,0,22.35,22.342,0.012,1.06,89.3,0.027,0.034,0.0,0
5,1062.83,199.39,359.5053856,-32.4703093,24.513,25.145,0.023,1.14,47.5,0.005,0.086,0.0,0,21.964,21.952,0.009,1.13,117.7,0.0,0.007,0.0,0
6,607.32,1431.69,359.4846792,-32.4650372,23.336,23.463,0.012,1.21,90.9,0.015,0.035,0.0,0,22.857,22.85,0.015,1.38,70.8,0.018,0.078,0.0,0
7,2334.37,4087.91,359.4427501,-32.4912184,23.481,23.676,0.013,0.99,83.1,0.02,0.006,0.004,0,22.83,22.822,0.015,1.04,71.8,0.03,0.067,0.023,0
8,241.57,2894.48,359.4602776,-32.4612002,24.525,25.095,0.024,0.99,44.9,0.015,-0.011,0.002,0,22.432,22.421,0.012,1.08,87.9,0.02,0.013,0.026,0
9,3876.32,3071.07,359.4610029,-32.5117412,24.385,24.891,0.022,0.95,49.2,0.024,0.004,0.0,0,22.65,22.639,0.014,1.08,79.3,0.012,0.018,0.0,0
10,1042.24,3487.34,359.4513338,-32.4727995,24.067,24.41,0.019,1.1,56.8,0.025,0.012,0.0,0,22.981,22.972,0.017,1.08,64.5,0.013,0.052,0.0,0
11,3667.16,3077.92,359.4606814,-32.5088472,24.574,25.027,0.037,1.05,29.7,-0.024,0.074,0.0,0,23.079,23.069,0.018,1.05,59.4,0.022,0.058,0.0,0
12,1825.49,1329.41,359.4875804,-32.4818393,24.423,24.764,0.022,1.13,49.1,0.02,-0.013,0.001,0,23.345,23.336,0.02,1.12,54.2,0.015,0.058,0.0,0
13,3754.64,2679.13,359.467325,-32.5097241,24.52,24.917,0.024,0.9,45.1,0.015,0.12,0.001,0,23.244,23.234,0.019,1.06,56.0,0.005,0.098,0.001,0
14,4128.11,4157.73,359.4433881,-32.5161457,24.377,24.638,0.022,0.94,49.6,0.013,0.048,0.005,0,23.544,23.536,0.023,1.0,47.7,0.022,0.134,0.005,0
15,2197.02,1831.13,359.4797065,-32.487414,26.34,27.019,0.082,1.17,13.3,0.025,0.263,0.0,0,23.193,23.179,0.019,1.04,57.7,0.011,0.015,0.0,0
16,3031.84,527.89,359.5019648,-32.4978855,24.552,24.885,0.023,0.82,46.7,-0.007,0.037,0.01,0,23.499,23.491,0.022,0.99,50.1,0.037,0.041,0.012,0
17,3424.62,3897.13,359.4469718,-32.5061736,24.5,24.786,0.023,0.97,46.2,0.016,0.068,0.008,0,23.597,23.588,0.024,0.99,46.0,0.031,0.029,0.004,0
18,2303.52,3818.51,359.4471475,-32.4905644,24.744,25.156,0.027,0.97,39.9,0.042,0.148,0.0,0,23.414,23.405,0.021,1.0,51.1,0.034,0.064,0.0,0
19,3885.43,1302.54,359.4900872,-32.5103752,24.772,25.146,0.028,0.94,38.3,0.004,0.008,0.044,0,23.58,23.571,0.024,1.06,46.1,0.049,0.053,0.012,0
20,3384.2,3098.7,359.4600574,-32.5049417,25.041,25.512,0.033,0.97,33.0,0.01,0.152,0.0,0,23.468,23.457,0.022,1.0,49.7,0.01,0.086,0.001,0
21,3758.03,2248.34,359.4744106,-32.5094079,24.717,25.049,0.027,1.09,39.7,-0.003,0.107,0.003,0,23.666,23.657,0.025,0.94,43.5,-0.003,0.052,0.001,0
22,1600.92,2357.2,359.4704642,-32.4795936,24.827,25.187,0.033,1.05,32.7,-0.016,-0.024,0.018,2,23.681,23.672,0.025,1.07,43.1,-0.021,0.027,0.006,0
23,4097.42,3217.5,359.4588161,-32.5149298,24.757,25.085,0.031,1.06,35.3,0.004,0.102,0.001,2,23.72,23.711,0.032,1.07,34.3,0.026,0.035,0.001,2
24,504.98,361.59,359.50216,-32.4627129,24.86,25.213,0.028,1.12,38.3,-0.007,0.061,0.0,0,23.74,23.731,0.025,0.93,43.3,-0.001,0.041,0.0,0
