,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,585.25,21.75,149.3128874,68.9622978,22.204,22.464,0.006,1.5,171.7,0.003,0.034,0.071,0,21.374,21.365,0.006,1.62,171.0,0.028,0.034,0.07,0
1,2909.67,4296.43,149.1883822,68.9116502,22.725,23.056,0.013,1.33,84.0,0.017,0.081,0.003,0,21.681,21.672,0.012,1.12,91.4,0.017,0.043,0.005,0
2,3383.4,2047.44,149.2762216,68.9161626,22.657,22.638,0.007,1.32,163.5,0.023,0.008,0.0,0,22.75,22.744,0.01,1.21,107.4,0.024,0.03,0.0,2
3,3627.54,2562.32,149.2607634,68.9105314,23.377,23.781,0.017,1.18,65.4,0.004,0.103,0.024,2,22.077,22.068,0.007,1.16,149.8,0.012,0.05,0.014,0
4,3810.42,4278.25,149.2009625,68.8999847,24.572,25.197,0.026,1.07,42.1,0.0,-0.024,0.0,0,22.079,22.067,0.01,1.15,104.1,-0.009,0.079,0.001,0
5,2378.26,1683.46,149.2761684,68.9310105,23.678,24.087,0.012,1.15,93.2,0.02,0.01,0.001,2,22.359,22.349,0.008,1.02,131.1,0.014,0.012,0.001,0
6,2995.21,2857.51,149.2417039,68.9173817,23.747,24.112,0.011,1.1,98.8,0.021,0.045,0.008,0,22.59,22.581,0.009,1.07,120.7,0.026,0.006,0.005,0
7,3653.21,1207.06,149.3102762,68.9166256,24.312,24.832,0.015,1.2,74.0,0.028,0.136,0.02,0,22.506,22.495,0.009,1.12,127.3,0.03,0.061,0.005,0
8,1166.16,280.87,149.3111312,68.9534855,24.119,24.597,0.015,1.23,74.2,-0.01,0.063,0.0,2,22.514,22.504,0.025,1.2,42.9,-0.04,0.022,0.001,2
9,1795.67,2333.68,149.2448609,68.9355265,23.875,24.213,0.012,1.22,93.6,-0.009,0.048,0.001,0,22.807,22.798,0.011,1.07,96.9,0.004,-0.001,0.001,2
10,3640.5,3148.63,149.2396696,68.9075765,24.389,24.851,0.016,1.01,70.0,-0.001,0.044,0.007,0,22.854,22.844,0.01,1.1,105.3,0.026,0.022,0.007,0
11,3316.41,1742.8,149.2863932,68.9184825,24.459,24.942,0.016,1.06,67.0,-0.004,0.064,0.001,0,22.832,22.822,0.01,1.23,105.1,0.021,0.081,0.002,0
12,1743.35,2939.42,149.222176,68.933329,24.666,25.19,0.018,1.06,58.8,-0.009,0.008,0.034,0,22.838,22.827,0.01,1.06,105.3,0.019,-0.005,0.029,0
13,1828.37,2943.2,149.223164,68.9322016,23.946,24.114,0.013,0.98,85.1,-0.003,0.048,0.005,2,23.365,23.358,0.014,1.13,75.4,0.01,0.048,0.008,2
14,3559.54,1443.56,149.3004586,68.9167276,26.107,26.79,0.048,1.04,22.6,-0.026,0.134,0.001,2,22.869,22.855,0.011,1.12,99.8,0.016,-0.007,0.0,2
15,3705.69,2243.29,149.2733675,68.9110261,24.512,24.959,0.024,1.15,45.6,0.019,0.138,0.001,2,23.044,23.034,0.013,1.0,82.5,0.029,0.05,0.0,0
16,1709.64,1872.5,149.2604717,68.9388403,24.232,24.578,0.014,1.16,77.6,0.01,0.07,0.002,0,23.139,23.13,0.012,1.13,89.7,0.03,0.005,0.004,0
17,2847.15,3044.52,149.2329622,68.9184249,24.173,24.47,0.037,1.2,29.3,-0.012,0.018,0.002,2,23.234,23.225,0.014,1.08,75.5,0.028,0.024,0.002,2
18,3256.35,1066.67,149.3101437,68.9224723,26.054,26.731,0.044,0.89,24.6,-0.027,0.145,0.006,0,22.927,22.913,0.011,1.07,103.4,-0.004,-0.003,0.002,0
19,2086.25,2780.93,149.2324662,68.9296081,24.189,24.486,0.015,1.12,73.8,-0.011,0.011,0.001,2,23.248,23.239,0.014,1.19,78.9,0.022,0.012,0.001,2
20,1926.36,2986.06,149.2229049,68.930719,25.81,26.469,0.04,1.11,27.4,0.023,0.286,0.069,0,22.964,22.951,0.011,1.02,98.8,-0.003,0.044,0.02,0
21,30.13,640.64,149.2830456,68.9666106,24.356,24.705,0.02,0.95,54.8,-0.009,-0.084,0.001,1,23.252,23.243,0.017,1.09,64.5,0.024,1.465,0.001,1
22,152.06,1400.5,149.2570268,68.9614118,24.969,25.513,0.022,1.14,48.3,0.004,0.146,0.003,0,23.035,23.024,0.012,1.35,94.4,0.017,0.028,0.004,0
23,2521.01,4238.96,149.1853186,68.9169947,25.471,26.075,0.109,0.81,9.9,0.089,0.357,0.086,2,23.146,23.134,0.037,0.87,29.7,0.026,0.252,0.02,2
24,3642.04,1861.74,149.286371,68.9136674,26.45,27.134,0.112,1.07,9.7,0.053,0.525,0.003,2,23.187,23.173,0.013,1.08,86.6,0.015,0.001,0.0,0
25,1330.87,55.45,149.3214992,68.9524029,26.651,27.344,0.089,4.48,12.2,-0.049,-0.111,0.001,0,23.073,23.058,0.016,8.82,69.7,0.297,0.288,0.0,0
26,1884.25,2197.49,149.2509773,68.9350176,25.894,26.558,0.049,1.1,22.3,0.009,0.399,0.001,0,22.984,22.971,0.014,1.21,77.1,0.008,0.031,0.001,2
27,3374.93,2841.71,149.2472936,68.9125011,26.116,26.788,0.049,1.11,22.0,0.008,0.069,0.002,0,23.076,23.063,0.012,0.99,93.3,0.003,0.043,0.003,0
28,3575.6,1467.93,149.2997858,68.9164024,24.82,25.315,0.02,1.01,53.8,0.015,-0.013,0.0,0,23.136,23.126,0.013,1.15,82.5,0.006,0.047,0.0,2
29,3655.11,1550.81,149.297826,68.9149714,25.251,25.836,0.027,1.18,39.6,0.003,0.132,0.0,0,23.064,23.052,0.014,1.2,75.1,0.033,0.012,0.002,2
