X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
585.25,21.75,149.3128874,68.9622978,22.204,22.464,0.006,1.5,171.7,0.003,0.034,0.071,0,21.374,21.365,0.006,1.62,171.0,0.028,0.034,0.07,0
2909.67,4296.43,149.1883822,68.9116502,22.725,23.056,0.013,1.33,84.0,0.017,0.081,0.003,0,21.681,21.672,0.012,1.12,91.4,0.017,0.043,0.005,0
4074.87,3890.24,149.2185221,68.898381,23.117,23.491,0.008,1.53,132.4,0.003,0.088,0.0,2,21.925,21.916,0.007,1.24,155.0,0.0,0.056,0.0,2
3383.4,2047.44,149.2762216,68.9161626,22.657,22.638,0.007,1.32,163.5,0.023,0.008,0.0,0,22.75,22.744,0.01,1.21,107.4,0.024,0.03,0.0,2
3627.54,2562.32,149.2607634,68.9105314,23.377,23.781,0.017,1.18,65.4,0.004,0.103,0.024,2,22.077,22.068,0.007,1.16,149.8,0.012,0.05,0.014,0
846.77,957.46,149.2823182,68.9544471,23.32,23.683,0.009,1.44,117.8,0.03,0.044,0.001,2,22.166,22.157,0.008,1.33,129.3,0.017,-0.014,0.002,2
3810.42,4278.25,149.2009625,68.8999847,24.572,25.197,0.026,1.07,42.1,0.0,-0.024,0.0,0,22.079,22.067,0.01,1.15,104.1,-0.009,0.079,0.001,0
2378.26,1683.46,149.2761684,68.9310105,23.678,24.087,0.012,1.15,93.2,0.02,0.01,0.001,2,22.359,22.349,0.008,1.02,131.1,0.014,0.012,0.001,0
3321.41,4049.1,149.2027999,68.9074562,23.72,24.096,0.01,1.16,105.0,-0.001,0.061,0.01,0,22.522,22.512,0.009,1.06,126.9,0.004,0.03,0.038,0
614.9,1242.17,149.2689043,68.9561225,23.379,23.499,0.009,1.44,115.8,0.052,0.065,0.001,2,22.917,22.91,0.012,1.03,90.0,0.032,0.024,0.001,2
3048.68,3557.8,149.2170079,68.9133535,23.691,24.036,0.01,1.12,105.9,0.01,-0.005,0.0,0,22.598,22.589,0.01,0.96,110.9,0.02,-0.003,0.001,0
2995.21,2857.51,149.2417039,68.9173817,23.747,24.112,0.011,1.1,98.8,0.021,0.045,0.008,0,22.59,22.581,0.009,1.07,120.7,0.026,0.006,0.005,0
3175.79,3236.68,149.2303356,68.9132224,23.829,24.191,0.012,1.11,89.0,0.012,0.024,0.029,2,22.681,22.672,0.01,1.22,107.9,0.019,-0.003,0.029,2
3653.21,1207.06,149.3102762,68.9166256,24.312,24.832,0.015,1.2,74.0,0.028,0.136,0.02,0,22.506,22.495,0.009,1.12,127.3,0.03,0.061,0.005,0
1166.16,280.87,149.3111312,68.9534855,24.119,24.597,0.015,1.23,74.2,-0.01,0.063,0.0,2,22.514,22.504,0.025,1.2,42.9,-0.04,0.022,0.001,2
2897.92,712.07,149.3182965,68.9288321,24.211,24.691,0.014,1.0,77.1,-0.003,0.023,0.0,2,22.597,22.587,0.009,1.03,120.4,0.011,0.002,0.0,2
1795.67,2333.68,149.2448609,68.9355265,23.875,24.213,0.012,1.22,93.6,-0.009,0.048,0.001,0,22.807,22.798,0.011,1.07,96.9,0.004,-0.001,0.001,2
3640.5,3148.63,149.2396696,68.9075765,24.389,24.851,0.016,1.01,70.0,-0.001,0.044,0.007,0,22.854,22.844,0.01,1.1,105.3,0.026,0.022,0.007,0
3316.41,1742.8,149.2863932,68.9184825,24.459,24.942,0.016,1.06,67.0,-0.004,0.064,0.001,0,22.832,22.822,0.01,1.23,105.1,0.021,0.081,0.002,0
1743.35,2939.42,149.222176,68.933329,24.666,25.19,0.018,1.06,58.8,-0.009,0.008,0.034,0,22.838,22.827,0.01,1.06,105.3,0.019,-0.005,0.029,0
2056.2,2941.04,149.2262571,68.9292388,24.185,24.535,0.015,1.11,72.0,-0.012,0.045,0.029,2,23.077,23.068,0.012,1.19,91.8,0.026,-0.026,0.041,0
3618.52,642.51,149.330312,68.9197525,25.02,25.6,0.023,1.01,47.8,0.002,-0.023,0.011,0,22.864,22.852,0.01,1.1,105.9,0.009,0.033,0.009,0
1828.37,2943.2,149.223164,68.9322016,23.946,24.114,0.013,0.98,85.1,-0.003,0.048,0.005,2,23.365,23.358,0.014,1.13,75.4,0.01,0.048,0.008,2
3559.54,1443.56,149.3004586,68.9167276,26.107,26.79,0.048,1.04,22.6,-0.026,0.134,0.001,2,22.869,22.855,0.011,1.12,99.8,0.016,-0.007,0.0,2
3705.69,2243.29,149.2733675,68.9110261,24.512,24.959,0.024,1.15,45.6,0.019,0.138,0.001,2,23.044,23.034,0.013,1.0,82.5,0.029,0.05,0.0,0
1709.64,1872.5,149.2604717,68.9388403,24.232,24.578,0.014,1.16,77.6,0.01,0.07,0.002,0,23.139,23.13,0.012,1.13,89.7,0.03,0.005,0.004,0
426.83,808.27,149.282193,68.9606367,24.764,25.27,0.023,1.23,48.2,0.011,0.088,0.001,2,23.025,23.015,0.011,1.0,97.0,0.013,-0.007,0.0,0
