,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
0,3516.84,1872.18,149.148138,68.8947663,21.986,22.556,0.004,1.66,259.6,0.023,0.027,0.001,0,19.897,19.885,0.003,1.56,426.7,0.025,0.02,0.001,2
1,2988.49,1274.87,149.1628375,68.9044965,21.697,22.161,0.004,1.53,300.3,0.021,0.023,0.002,0,20.155,20.145,0.003,1.59,418.0,0.035,0.004,0.002,0
2,3401.17,3726.28,149.0794204,68.8874662,22.562,23.158,0.005,1.49,198.4,0.016,0.015,0.0,0,20.293,20.282,0.003,1.34,396.8,0.005,0.018,0.0,0
3,1895.67,2003.96,149.121977,68.9153018,22.234,22.645,0.005,1.95,204.5,0.011,0.053,0.0,2,20.908,20.899,0.004,1.75,260.2,0.036,0.014,0.0,2
4,2033.51,1822.26,149.1303887,68.9143656,22.886,23.471,0.007,1.3,153.7,0.03,0.029,0.001,2,20.7,20.688,0.004,1.42,263.7,0.045,0.031,0.001,2
5,3116.38,1642.85,149.1511765,68.9010818,22.541,22.999,0.006,1.4,168.1,0.009,0.011,0.001,2,21.025,21.015,0.004,1.51,274.7,0.022,0.015,0.001,0
6,1873.78,175.39,149.1880568,68.92426,23.302,23.872,0.008,1.7,129.6,-0.009,0.059,0.009,0,21.208,21.197,0.004,1.36,245.8,0.012,0.038,0.014,0
7,2743.95,518.6,149.187055,68.9112728,22.692,23.025,0.006,1.65,185.4,-0.003,0.048,0.003,0,21.64,21.632,0.006,1.22,188.1,0.01,0.035,0.006,2
8,2672.06,825.58,149.1749694,68.9107572,22.921,23.32,0.007,1.23,145.9,0.004,0.056,0.0,2,21.64,21.631,0.006,1.25,182.6,0.025,0.024,0.0,2
9,3613.63,212.5,149.2095996,68.9013655,22.586,22.774,0.007,1.42,161.9,0.005,0.032,0.0,2,21.955,21.947,0.006,1.23,173.6,0.036,0.046,0.0,0
10,2248.36,676.06,149.1748149,68.9169975,23.371,23.872,0.009,1.19,127.3,0.008,0.006,0.001,0,21.662,21.651,0.006,1.25,175.8,0.032,0.015,0.002,2
11,2794.9,1185.1,149.1635436,68.9074494,23.698,24.247,0.01,1.25,105.9,0.021,0.053,0.002,0,21.732,21.721,0.006,1.13,188.1,0.021,0.022,0.002,0
12,4077.58,1458.2,149.1705284,68.8894089,23.306,23.735,0.008,1.4,132.7,0.025,0.07,0.009,0,21.909,21.899,0.006,1.65,171.4,0.041,0.035,0.007,2
